test case : A100SXM_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D  |        flops_2D        | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[4, 32, 1, 64], [4, 32, 1, 64], [4, 32, 1, 64]]          |  bf16  |      10.39       |       10.39       |      10.39       |       2.08        |   [896]   |     [16384, 16384]     |   [128]   |      8.95e-06      |      1.14e-05      |      1.84e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.62%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[8, 32, 1, 64], [8, 32, 1, 64], [8, 32, 1, 64]]          |  bf16  |      10.34       |       10.38       |      10.39       |       2.16        |  [1792]   |     [32768, 32768]     |   [256]   |      1.80e-05      |      2.28e-05      |      3.70e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    1.24%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[16, 32, 1, 64], [16, 32, 1, 64], [16, 32, 1, 64]]        |  bf16  |      10.34       |       10.39       |      10.39       |       2.32        |  [3584]   |     [65536, 65536]     |   [512]   |      3.60e-05      |      4.57e-05      |      7.40e-05       |  2.62e+05  |       0.00%        |       0.00%        |        0.01%        |    2.49%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[32, 32, 1, 64], [32, 32, 1, 64], [32, 32, 1, 64]]        |  bf16  |      10.39       |       10.42       |      10.44       |       2.64        |  [7168]   |    [131072, 131072]    |  [1024]   |      7.16e-05      |      9.09e-05      |      1.47e-04       |  5.24e+05  |       0.01%        |       0.01%        |        0.01%        |    4.95%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[1, 64, 1, 64], [1, 64, 1, 64], [1, 64, 1, 64]]          |  bf16  |      10.39       |       10.40       |      10.44       |       2.04        |   [448]   |      [8192, 8192]      |   [64]    |      4.48e-06      |      5.68e-06      |      9.21e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    0.31%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[2, 64, 1, 64], [2, 64, 1, 64], [2, 64, 1, 64]]          |  bf16  |      10.39       |       10.44       |      10.50       |       2.08        |   [896]   |     [16384, 16384]     |   [128]   |      8.95e-06      |      1.14e-05      |      1.84e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.62%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[4, 64, 1, 64], [4, 64, 1, 64], [4, 64, 1, 64]]          |  bf16  |      10.50       |       10.55       |      10.60       |       2.16        |  [1792]   |     [32768, 32768]     |   [256]   |      1.77e-05      |      2.25e-05      |      3.65e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    1.23%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[8, 64, 1, 64], [8, 64, 1, 64], [8, 64, 1, 64]]          |  bf16  |      10.55       |       10.58       |      10.60       |       2.32        |  [3584]   |     [65536, 65536]     |   [512]   |      3.53e-05      |      4.48e-05      |      7.26e-05       |  2.62e+05  |       0.00%        |       0.00%        |        0.01%        |    2.44%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[16, 64, 1, 64], [16, 64, 1, 64], [16, 64, 1, 64]]        |  bf16  |      10.55       |       10.55       |      10.60       |       2.64        |  [7168]   |    [131072, 131072]    |  [1024]   |      7.06e-05      |      8.96e-05      |      1.45e-04       |  5.24e+05  |       0.01%        |       0.01%        |        0.01%        |    4.88%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[32, 64, 1, 64], [32, 64, 1, 64], [32, 64, 1, 64]]        |  bf16  |      10.60       |       10.63       |      10.65       |       3.29        |  [14336]  |    [262144, 262144]    |  [2048]   |      1.40e-04      |      1.78e-04      |      2.89e-04       |  1.05e+06  |       0.01%        |       0.02%        |        0.03%        |    9.71%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[1, 128, 1, 64], [1, 128, 1, 64], [1, 128, 1, 64]]        |  bf16  |       9.68       |       9.69        |       9.73       |       2.08        |   [896]   |     [16384, 16384]     |   [128]   |      9.62e-06      |      1.22e-05      |      1.98e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.67%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[2, 128, 1, 64], [2, 128, 1, 64], [2, 128, 1, 64]]        |  bf16  |       9.68       |       9.70        |       9.73       |       2.16        |  [1792]   |     [32768, 32768]     |   [256]   |      1.92e-05      |      2.44e-05      |      3.96e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    1.33%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[4, 128, 1, 64], [4, 128, 1, 64], [4, 128, 1, 64]]        |  bf16  |       9.83       |       9.86        |       9.93       |       2.32        |  [3584]   |     [65536, 65536]     |   [512]   |      3.79e-05      |      4.81e-05      |      7.79e-05       |  2.62e+05  |       0.00%        |       0.00%        |        0.01%        |    2.62%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[8, 128, 1, 64], [8, 128, 1, 64], [8, 128, 1, 64]]        |  bf16  |       9.83       |       9.88        |       9.93       |       2.64        |  [7168]   |    [131072, 131072]    |  [1024]   |      7.57e-05      |      9.62e-05      |      1.56e-04       |  5.24e+05  |       0.01%        |       0.01%        |        0.02%        |    5.23%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[16, 128, 1, 64], [16, 128, 1, 64], [16, 128, 1, 64]]       |  bf16  |       9.88       |       9.88        |       9.88       |       3.29        |  [14336]  |    [262144, 262144]    |  [2048]   |      1.51e-04      |      1.91e-04      |      3.10e-04       |  1.05e+06  |       0.02%        |       0.02%        |        0.03%        |    10.41%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[32, 128, 1, 64], [32, 128, 1, 64], [32, 128, 1, 64]]       |  bf16  |       9.93       |       9.94        |       9.98       |       4.57        |  [28672]  |    [524288, 524288]    |  [4096]   |      3.00e-04      |      3.81e-04      |      6.17e-04       |  2.10e+06  |       0.03%        |       0.04%        |        0.06%        |    20.71%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[1, 256, 1, 64], [1, 256, 1, 64], [1, 256, 1, 64]]        |  bf16  |      13.41       |       13.42       |      13.47       |       2.16        |  [1792]   |     [32768, 32768]     |   [256]   |      1.39e-05      |      1.76e-05      |      2.85e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    0.96%     |
