Test Case: A100SXM_aten_gelu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   4   |  768  | N/A |     [[4, 768]]     | bf16  |       2.87       |        2.9        |       2.92       |        2.01        | 3.99e+04 | 6.14e+03 |      0.07%       |     0.21%     |
|   8   |  768  | N/A |     [[8, 768]]     | bf16  |       2.87       |        2.9        |       2.92       |        2.02        | 7.99e+04 | 1.23e+04 |      0.14%       |     0.42%     |
|  16   |  768  | N/A |    [[16, 768]]     | bf16  |       2.97       |        3.0        |       3.02       |        2.03        | 1.60e+05 | 2.46e+04 |      0.28%       |     0.81%     |
|  32   |  768  | N/A |    [[32, 768]]     | bf16  |       2.97       |        3.0        |       3.02       |        2.06        | 3.19e+05 | 4.92e+04 |      0.55%       |     1.62%     |
|  64   |  768  | N/A |    [[64, 768]]     | bf16  |       3.12       |       3.15        |       3.17       |        2.12        | 6.39e+05 | 9.83e+04 |      1.05%       |     3.09%     |
|  128  |  768  | N/A |    [[128, 768]]    | bf16  |       3.28       |        3.3        |       3.33       |        2.24        | 1.28e+06 | 1.97e+05 |       2.0%       |     5.88%     |
|  256  |  768  | N/A |    [[256, 768]]    | bf16  |       3.64       |       3.66        |       3.69       |        2.48        | 2.56e+06 | 3.93e+05 |       3.6%       |     10.6%     |
|  512  |  768  | N/A |    [[512, 768]]    | bf16  |       4.3        |       4.32        |       4.35       |        2.96        | 5.11e+06 | 7.86e+05 |       6.1%       |    17.94%     |
| 1024  |  768  | N/A |   [[1024, 768]]    | bf16  |       5.53       |       5.58        |       5.63       |        3.93        | 1.02e+07 | 1.57e+06 |      9.48%       |     27.9%     |
| 2048  |  768  | N/A |   [[2048, 768]]    | bf16  |       7.63       |       7.68        |       7.73       |        5.86        | 2.04e+07 | 3.15e+06 |      13.74%      |    40.44%     |
| 4096  |  768  | N/A |   [[4096, 768]]    | bf16  |      11.83       |       11.88       |      11.93       |        9.71        | 4.09e+07 | 6.29e+06 |      17.73%      |    52.16%     |
| 8192  |  768  | N/A |   [[8192, 768]]    | bf16  |       23.5       |       23.53       |      23.55       |       17.43        | 8.18e+07 | 1.26e+07 |      17.85%      |    52.52%     |
| 16384 |  768  | N/A |   [[16384, 768]]   | bf16  |      46.18       |       46.27       |      46.34       |       32.86        | 1.64e+08 | 2.52e+07 |      18.17%      |    53.45%     |
| 32768 |  768  | N/A |   [[32768, 768]]   | bf16  |      88.06       |       88.11       |      88.17       |       63.71        | 3.27e+08 | 5.03e+07 |      19.05%      |    56.06%     |
|   1   | 2048  | N/A |    [[1, 2048]]     | bf16  |       2.87       |        2.9        |       2.92       |        2.01        | 2.66e+04 | 4.10e+03 |      0.05%       |     0.14%     |
|   2   | 2048  | N/A |    [[2, 2048]]     | bf16  |       2.87       |        2.9        |       2.92       |        2.01        | 5.32e+04 | 8.19e+03 |       0.1%       |     0.28%     |
|   4   | 2048  | N/A |    [[4, 2048]]     | bf16  |       2.97       |       2.99        |       3.02       |        2.02        | 1.06e+05 | 1.64e+04 |      0.18%       |     0.54%     |
|   8   | 2048  | N/A |    [[8, 2048]]     | bf16  |       2.92       |       2.97        |       3.02       |        2.04        | 2.13e+05 | 3.28e+04 |      0.37%       |     1.1%      |
|  16   | 2048  | N/A |    [[16, 2048]]    | bf16  |       3.02       |       3.05        |       3.07       |        2.08        | 4.26e+05 | 6.55e+04 |      0.72%       |     2.13%     |
|  32   | 2048  | N/A |    [[32, 2048]]    | bf16  |       3.17       |        3.2        |       3.23       |        2.16        | 8.52e+05 | 1.31e+05 |      1.38%       |     4.06%     |
|  64   | 2048  | N/A |    [[64, 2048]]    | bf16  |       3.38       |        3.4        |       3.43       |        2.32        | 1.70e+06 | 2.62e+05 |      2.59%       |     7.61%     |
|  128  | 2048  | N/A |   [[128, 2048]]    | bf16  |       3.94       |       3.96        |       3.99       |        2.64        | 3.41e+06 | 5.24e+05 |      4.44%       |    13.05%     |
|  256  | 2048  | N/A |   [[256, 2048]]    | bf16  |       4.66       |       4.71        |       4.76       |        3.29        | 6.82e+06 | 1.05e+06 |       7.5%       |    22.07%     |
|  512  | 2048  | N/A |   [[512, 2048]]    | bf16  |       6.2        |       6.25        |       6.3        |        4.57        | 1.36e+07 | 2.10e+06 |      11.28%      |    33.18%     |
| 1024  | 2048  | N/A |   [[1024, 2048]]   | bf16  |       9.11       |       9.14        |       9.16       |        7.14        | 2.73e+07 | 4.19e+06 |      15.35%      |    45.16%     |
| 2048  | 2048  | N/A |   [[2048, 2048]]   | bf16  |      15.31       |       15.33       |      15.36       |       12.29        | 5.45e+07 | 8.39e+06 |      18.26%      |    53.74%     |
| 4096  | 2048  | N/A |   [[4096, 2048]]   | bf16  |       31.9       |       31.95       |       32.0       |       22.57        | 1.09e+08 | 1.68e+07 |      17.53%      |    51.59%     |
| 8192  | 2048  | N/A |   [[8192, 2048]]   | bf16  |      60.11       |       60.14       |      60.16       |       43.14        | 2.18e+08 | 3.36e+07 |      18.61%      |    54.75%     |
| 16384 | 2048  | N/A |  [[16384, 2048]]   | bf16  |      115.81      |       115.9       |      115.97      |       84.28        | 4.36e+08 | 6.71e+07 |      19.32%      |    56.84%     |
| 32768 | 2048  | N/A |  [[32768, 2048]]   | bf16  |      227.38      |      227.41       |      227.43      |       166.56       | 8.72e+08 | 1.34e+08 |      19.68%      |     57.9%     |
|   1   | 3072  | N/A |    [[1, 3072]]     | bf16  |       2.82       |        2.9        |       2.97       |        2.01        | 3.99e+04 | 6.14e+03 |      0.07%       |     0.21%     |
|   2   | 3072  | N/A |    [[2, 3072]]     | bf16  |       2.92       |       2.94        |       2.97       |        2.02        | 7.99e+04 | 1.23e+04 |      0.14%       |     0.41%     |
|   4   | 3072  | N/A |    [[4, 3072]]     | bf16  |       2.97       |       2.99        |       3.02       |        2.03        | 1.60e+05 | 2.46e+04 |      0.28%       |     0.81%     |
|   8   | 3072  | N/A |    [[8, 3072]]     | bf16  |       2.97       |       2.99        |       3.02       |        2.06        | 3.19e+05 | 4.92e+04 |      0.55%       |     1.62%     |
|  16   | 3072  | N/A |    [[16, 3072]]    | bf16  |       3.17       |        3.2        |       3.23       |        2.12        | 6.39e+05 | 9.83e+04 |      1.03%       |     3.04%     |
|  32   | 3072  | N/A |    [[32, 3072]]    | bf16  |       3.28       |       3.31        |       3.33       |        2.24        | 1.28e+06 | 1.97e+05 |       2.0%       |     5.88%     |
|  64   | 3072  | N/A |    [[64, 3072]]    | bf16  |       3.64       |       3.68        |       3.74       |        2.48        | 2.56e+06 | 3.93e+05 |       3.6%       |     10.6%     |
|  128  | 3072  | N/A |   [[128, 3072]]    | bf16  |       4.3        |       4.33        |       4.35       |        2.96        | 5.11e+06 | 7.86e+05 |       6.1%       |    17.94%     |
