Test Case: A100SXM_apex_fused_layer_norm_cuda.rms_forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
| 2048  |  128  |  [128]  | 0.0001  |  [[2048, 128]]   | bf16  |       6.3        |       6.35        |       6.4        |        2.64        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        1.71%        |        1.71%         |     8.16%     |
| 4096  |  128  |  [128]  | 0.0001  |  [[4096, 128]]   | bf16  |       9.22       |       9.24        |       9.27       |        3.29        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        2.33%        |        2.33%         |    11.16%     |
| 8192  |  128  |  [128]  | 0.0001  |  [[8192, 128]]   | bf16  |       14.8       |       14.84       |       14.9       |        4.57        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        2.91%        |        2.91%         |     13.9%     |
| 16384 |  128  |  [128]  | 0.0001  |  [[16384, 128]]  | bf16  |      25.75       |       25.8        |      25.86       |        7.14        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        3.34%        |        3.34%         |    15.98%     |
| 32768 |  128  |  [128]  | 0.0001  |  [[32768, 128]]  | bf16  |      48.84       |       48.87       |       48.9       |       12.29        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        3.52%        |        3.52%         |    16.85%     |
| 65536 |  128  |  [128]  | 0.0001  |  [[65536, 128]]  | bf16  |      106.19      |      106.24       |      106.29      |       22.57        | 6.71e+07 | 8.39e+06  | 1.68e+07 |        3.24%        |        3.24%         |     15.5%     |
|   1   |  192  |  [192]  | 0.0001  |    [[1, 192]]    | bf16  |       3.53       |       3.58        |       3.64       |        2.0         | 1.54e+03 | 1.92e+02  | 3.84e+02 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  192  |  [192]  | 0.0001  |    [[2, 192]]    | bf16  |       3.69       |       3.71        |       3.74       |        2.0         | 3.07e+03 | 3.84e+02  | 7.68e+02 |        0.0%         |         0.0%         |     0.02%     |
|   4   |  192  |  [192]  | 0.0001  |    [[4, 192]]    | bf16  |       3.69       |       3.72        |       3.74       |        2.0         | 6.14e+03 | 7.68e+02  | 1.54e+03 |        0.01%        |        0.01%         |     0.04%     |
|   8   |  192  |  [192]  | 0.0001  |    [[8, 192]]    | bf16  |       3.69       |       3.72        |       3.74       |        2.0         | 1.23e+04 | 1.54e+03  | 3.07e+03 |        0.02%        |        0.02%         |     0.08%     |
|  16   |  192  |  [192]  | 0.0001  |   [[16, 192]]    | bf16  |       3.74       |       3.76        |       3.79       |        2.01        | 2.46e+04 | 3.07e+03  | 6.14e+03 |        0.03%        |        0.03%         |     0.16%     |
|  32   |  192  |  [192]  | 0.0001  |   [[32, 192]]    | bf16  |       3.69       |       3.75        |       3.79       |        2.02        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.07%        |        0.07%         |     0.33%     |
|  64   |  192  |  [192]  | 0.0001  |   [[64, 192]]    | bf16  |       3.84       |       3.86        |       3.89       |        2.03        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.13%        |        0.13%         |     0.63%     |
|  128  |  192  |  [192]  | 0.0001  |   [[128, 192]]   | bf16  |       3.94       |       3.99        |       4.04       |        2.06        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.26%        |        0.26%         |     1.22%     |
|  256  |  192  |  [192]  | 0.0001  |   [[256, 192]]   | bf16  |       4.1        |       4.12        |       4.15       |        2.12        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.49%        |        0.49%         |     2.35%     |
|  512  |  192  |  [192]  | 0.0001  |   [[512, 192]]   | bf16  |       4.35       |       4.38        |       4.4        |        2.24        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.93%        |        0.93%         |     4.43%     |
| 1024  |  192  |  [192]  | 0.0001  |  [[1024, 192]]   | bf16  |       4.97       |        5.0        |       5.02       |        2.48        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        1.62%        |        1.62%         |     7.76%     |
| 2048  |  192  |  [192]  | 0.0001  |  [[2048, 192]]   | bf16  |       6.66       |       6.68        |       6.71       |        2.96        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        2.42%        |        2.42%         |    11.58%     |
| 4096  |  192  |  [192]  | 0.0001  |  [[4096, 192]]   | bf16  |       9.88       |       9.93        |       9.98       |        3.93        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        3.27%        |        3.27%         |    15.62%     |
| 8192  |  192  |  [192]  | 0.0001  |  [[8192, 192]]   | bf16  |      15.97       |       16.03       |      16.08       |        5.86        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        4.04%        |        4.04%         |    19.32%     |
| 16384 |  192  |  [192]  | 0.0001  |  [[16384, 192]]  | bf16  |      28.01       |       28.06       |      28.11       |        9.71        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        4.61%        |        4.61%         |    22.03%     |
| 32768 |  192  |  [192]  | 0.0001  |  [[32768, 192]]  | bf16  |       57.5       |       57.55       |       57.6       |       17.43        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        4.49%        |        4.49%         |    21.46%     |
| 65536 |  192  |  [192]  | 0.0001  |  [[65536, 192]]  | bf16  |      117.2       |      117.25       |      117.3       |       32.86        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        4.4%         |         4.4%         |    21.06%     |
|   1   | 3072  | [3072]  | 0.0001  |   [[1, 3072]]    | bf16  |       6.5        |       6.52        |       6.55       |        2.01        | 2.46e+04 | 3.07e+03  | 6.14e+03 |        0.02%        |        0.02%         |     0.09%     |
|   2   | 3072  | [3072]  | 0.0001  |   [[2, 3072]]    | bf16  |       6.66       |       6.71        |       6.76       |        2.02        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.04%        |        0.04%         |     0.18%     |
|   4   | 3072  | [3072]  | 0.0001  |   [[4, 3072]]    | bf16  |       6.6        |       6.66        |       6.71       |        2.03        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.08%        |        0.08%         |     0.37%     |
|   8   | 3072  | [3072]  | 0.0001  |   [[8, 3072]]    | bf16  |       6.6        |       6.66        |       6.71       |        2.06        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.15%        |        0.15%         |     0.73%     |
|  16   | 3072  | [3072]  | 0.0001  |   [[16, 3072]]   | bf16  |       6.81       |       6.83        |       6.86       |        2.12        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.3%         |         0.3%         |     1.42%     |
|  32   | 3072  | [3072]  | 0.0001  |   [[32, 3072]]   | bf16  |       6.81       |       6.84        |       6.86       |        2.24        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.59%        |        0.59%         |     2.83%     |
|  64   | 3072  | [3072]  | 0.0001  |   [[64, 3072]]   | bf16  |       6.86       |       6.88        |       6.91       |        2.48        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        1.18%        |        1.18%         |     5.62%     |
