Test Case: A100SXM_aten_silu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  768  | N/A |     [[1, 768]]     | bf16  |       3.38       |       3.41        |       3.43       |        2.0         | 9.98e+03 | 1.54e+03 |      0.02%       |     0.04%     |
|   2   |  768  | N/A |     [[2, 768]]     | bf16  |       3.38       |       3.41        |       3.43       |        2.0         | 2.00e+04 | 3.07e+03 |      0.03%       |     0.09%     |
|   4   |  768  | N/A |     [[4, 768]]     | bf16  |       3.38       |        3.4        |       3.43       |        2.01        | 3.99e+04 | 6.14e+03 |      0.06%       |     0.18%     |
|   8   |  768  | N/A |     [[8, 768]]     | bf16  |       3.79       |       3.82        |       3.84       |        2.02        | 7.99e+04 | 1.23e+04 |      0.11%       |     0.32%     |
|  16   |  768  | N/A |    [[16, 768]]     | bf16  |       3.79       |       3.84        |       3.89       |        2.03        | 1.60e+05 | 2.46e+04 |      0.22%       |     0.64%     |
|  32   |  768  | N/A |    [[32, 768]]     | bf16  |       3.94       |       3.99        |       4.04       |        2.06        | 3.19e+05 | 4.92e+04 |      0.42%       |     1.22%     |
|  64   |  768  | N/A |    [[64, 768]]     | bf16  |       3.94       |       3.96        |       3.99       |        2.12        | 6.39e+05 | 9.83e+04 |      0.83%       |     2.45%     |
|  128  |  768  | N/A |    [[128, 768]]    | bf16  |       4.04       |       4.07        |       4.1        |        2.24        | 1.28e+06 | 1.97e+05 |      1.62%       |     4.77%     |
|  256  |  768  | N/A |    [[256, 768]]    | bf16  |       4.15       |       4.19        |       4.25       |        2.48        | 2.56e+06 | 3.93e+05 |      3.16%       |     9.29%     |
|  512  |  768  | N/A |    [[512, 768]]    | bf16  |       4.86       |       4.89        |       4.92       |        2.96        | 5.11e+06 | 7.86e+05 |      5.39%       |    15.87%     |
| 1024  |  768  | N/A |   [[1024, 768]]    | bf16  |       5.94       |        6.0        |       6.04       |        3.93        | 1.02e+07 | 1.57e+06 |      8.83%       |    25.97%     |
| 2048  |  768  | N/A |   [[2048, 768]]    | bf16  |       8.04       |       8.09        |       8.14       |        5.86        | 2.04e+07 | 3.15e+06 |      13.04%      |    38.38%     |
| 4096  |  768  | N/A |   [[4096, 768]]    | bf16  |      12.13       |       12.21       |      12.29       |        9.71        | 4.09e+07 | 6.29e+06 |      17.29%      |    50.87%     |
| 8192  |  768  | N/A |   [[8192, 768]]    | bf16  |      22.63       |       22.72       |      22.78       |       17.43        | 8.18e+07 | 1.26e+07 |      18.53%      |    54.54%     |
| 16384 |  768  | N/A |   [[16384, 768]]   | bf16  |      44.29       |       44.34       |      44.39       |       32.86        | 1.64e+08 | 2.52e+07 |      18.94%      |    55.73%     |
| 32768 |  768  | N/A |   [[32768, 768]]   | bf16  |      83.76       |       83.82       |      83.87       |       63.71        | 3.27e+08 | 5.03e+07 |      20.03%      |    58.94%     |
|   1   | 2048  | N/A |    [[1, 2048]]     | bf16  |       3.38       |       3.43        |       3.48       |        2.01        | 2.66e+04 | 4.10e+03 |      0.04%       |     0.12%     |
|   2   | 2048  | N/A |    [[2, 2048]]     | bf16  |       3.53       |       3.56        |       3.58       |        2.01        | 5.32e+04 | 8.19e+03 |      0.08%       |     0.23%     |
