Test Case: A100SXM_aten_baddbmm
|  B  |  M   |  K   |  N   |                        input_shape                        | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  8  |  1   | 8192 | 2048 |       [[8, 1, 2048], [8, 1, 8192], [8, 8192, 2048]]       | bf16  |      212.63      |      212.89       |      213.3       |       166.66       | 2.68e+08 | 1.34e+08 |       0.4%       |    61.95%     |
| 128 |  1   | 8192 | 2048 |    [[128, 1, 2048], [128, 1, 8192], [128, 8192, 2048]]    | bf16  |     3002.21      |      3002.67      |     3003.24      |      2636.62       | 4.29e+09 | 2.15e+09 |      0.46%       |     70.2%     |
|  1  |  64  | 8192 | 2048 |      [[1, 64, 2048], [1, 64, 8192], [1, 8192, 2048]]      | bf16  |      41.78       |       42.01       |      42.19       |       23.37        | 2.15e+09 | 1.74e+07 |      16.47%      |    40.93%     |
|  8  |  64  | 8192 | 2048 |      [[8, 64, 2048], [8, 64, 8192], [8, 8192, 2048]]      | bf16  |      239.77      |      242.53       |      244.38      |       172.99       | 1.72e+10 | 1.39e+08 |      22.97%      |    57.05%     |
| 128 |  64  | 8192 | 2048 |   [[128, 64, 2048], [128, 64, 8192], [128, 8192, 2048]]   | bf16  |      3206.5      |      3209.37      |     3214.75      |      2737.86       | 2.75e+11 | 2.23e+09 |      27.48%      |    68.26%     |
|  1  | 1024 | 8192 | 2048 |    [[1, 1024, 2048], [1, 1024, 8192], [1, 8192, 2048]]    | bf16  |      168.5       |      168.68       |      168.81      |       124.36       | 3.44e+10 | 2.73e+07 |      65.36%      |    15.87%     |
|  8  | 1024 | 8192 | 2048 |    [[8, 1024, 2048], [8, 1024, 8192], [8, 8192, 2048]]    | bf16  |     1440.31      |      1552.24      |     1719.45      |       980.91       | 2.75e+11 | 2.18e+08 |      61.17%      |    14.85%     |
| 128 | 1024 | 8192 | 2048 | [[128, 1024, 2048], [128, 1024, 8192], [128, 8192, 2048]] | bf16  |     21279.69     |     21552.19      |     21687.04     |      15664.56      | 4.40e+12 | 3.49e+09 |      66.24%      |    16.09%     |
|  1  |  1   |  32  | 8192 |         [[1, 1, 8192], [1, 1, 32], [1, 32, 8192]]         | bf16  |      27.34       |       27.54       |       27.8       |        2.33        | 5.24e+05 | 2.70e+05 |      0.01%       |     0.97%     |
|  8  |  1   |  32  | 8192 |         [[8, 1, 8192], [8, 1, 32], [8, 32, 8192]]         | bf16  |      28.93       |       29.14       |      29.29       |        4.65        | 4.19e+06 | 2.16e+06 |      0.05%       |     7.33%     |
| 128 |  1   |  32  | 8192 |      [[128, 1, 8192], [128, 1, 32], [128, 32, 8192]]      | bf16  |      84.99       |       85.07       |      85.25       |       44.43        | 6.71e+07 | 3.46e+07 |      0.25%       |    39.94%     |
|  1  |  64  |  32  | 8192 |        [[1, 64, 8192], [1, 64, 32], [1, 32, 8192]]        | bf16  |      29.29       |       29.41       |      29.64       |        2.97        | 3.36e+07 | 7.88e+05 |      0.37%       |     2.64%     |
|  8  |  64  |  32  | 8192 |        [[8, 64, 8192], [8, 64, 32], [8, 32, 8192]]        | bf16  |      29.08       |       29.29       |      29.44       |        9.73        | 2.68e+08 | 6.31e+06 |      2.96%       |    21.28%     |
| 128 |  64  |  32  | 8192 |     [[128, 64, 8192], [128, 64, 32], [128, 32, 8192]]     | bf16  |      483.74      |      488.92       |      489.88      |       125.74       | 4.29e+09 | 1.01e+08 |      2.85%       |    20.46%     |
