Test Case: A100SXM_aten_add
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  32   | 3072  | N/A |         [[32, 3072], [3072]]         | bf16  |       4.56       |       4.59        |       4.61       |        2.36        | 9.83e+04 | 2.95e+05 |      0.11%       |     6.34%     |
|  64   | 3072  | N/A |         [[64, 3072], [3072]]         | bf16  |       4.76       |       4.81        |       4.86       |        2.72        | 1.97e+05 | 5.90e+05 |      0.21%       |    12.15%     |
|  128  | 3072  | N/A |        [[128, 3072], [3072]]         | bf16  |       5.32       |       5.32        |       5.32       |        3.45        | 3.93e+05 | 1.18e+06 |      0.38%       |    21.75%     |
|  256  | 3072  | N/A |        [[256, 3072], [3072]]         | bf16  |       6.86       |       6.88        |       6.91       |        4.89        | 7.86e+05 | 2.36e+06 |      0.59%       |    33.73%     |
|  512  | 3072  | N/A |        [[512, 3072], [3072]]         | bf16  |       9.93       |       9.99        |      10.04       |        7.79        | 1.57e+06 | 4.72e+06 |      0.81%       |    46.61%     |
| 1024  | 3072  | N/A |        [[1024, 3072], [3072]]        | bf16  |      15.87       |       15.9        |      15.92       |       13.57        | 3.15e+06 | 9.44e+06 |      1.02%       |    58.33%     |
| 2048  | 3072  | N/A |        [[2048, 3072], [3072]]        | bf16  |      33.02       |       33.08       |      33.13       |       25.14        | 6.29e+06 | 1.89e+07 |      0.98%       |    56.07%     |
| 4096  | 3072  | N/A |        [[4096, 3072], [3072]]        | bf16  |      68.15       |       68.2        |      68.25       |       48.28        | 1.26e+07 | 3.77e+07 |      0.95%       |    54.33%     |
| 8192  | 3072  | N/A |        [[8192, 3072], [3072]]        | bf16  |      130.82      |      130.86       |      130.92      |       94.57        | 2.52e+07 | 7.55e+07 |      0.99%       |    56.61%     |
| 16384 | 3072  | N/A |       [[16384, 3072], [3072]]        | bf16  |      256.2       |      256.28       |      256.36      |       187.13       | 5.03e+07 | 1.51e+08 |      1.01%       |    57.81%     |
| 32768 | 3072  | N/A |       [[32768, 3072], [3072]]        | bf16  |      468.58      |      492.36       |      507.03      |       372.27       | 1.01e+08 | 3.02e+08 |       1.1%       |    63.22%     |
|   1   | 4096  | N/A |         [[1, 4096], [4096]]          | bf16  |       2.41       |       2.41        |       2.41       |        2.02        | 4.10e+03 | 1.23e+04 |      0.01%       |     0.5%      |
|   2   | 4096  | N/A |         [[2, 4096], [4096]]          | bf16  |       3.43       |       3.49        |       3.53       |        2.03        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.7%      |
|   4   | 4096  | N/A |         [[4, 4096], [4096]]          | bf16  |       3.53       |       3.58        |       3.64       |        2.06        | 1.64e+04 | 4.92e+04 |      0.02%       |     1.37%     |
|   8   | 4096  | N/A |         [[8, 4096], [4096]]          | bf16  |       3.53       |       3.55        |       3.58       |        2.12        | 3.28e+04 | 9.83e+04 |      0.05%       |     2.73%     |
|  16   | 4096  | N/A |         [[16, 4096], [4096]]         | bf16  |       3.79       |       3.83        |       3.89       |        2.24        | 6.55e+04 | 1.97e+05 |      0.09%       |     5.09%     |
|  32   | 4096  | N/A |         [[32, 4096], [4096]]         | bf16  |       3.79       |       3.81        |       3.84       |        2.48        | 1.31e+05 | 3.93e+05 |      0.18%       |    10.18%     |
|  64   | 4096  | N/A |         [[64, 4096], [4096]]         | bf16  |       4.1        |       4.12        |       4.15       |        2.96        | 2.62e+05 | 7.86e+05 |      0.33%       |    18.81%     |
|  128  | 4096  | N/A |        [[128, 4096], [4096]]         | bf16  |       5.84       |       5.89        |       5.94       |        3.93        | 5.24e+05 | 1.57e+06 |      0.46%       |    26.42%     |
|  256  | 4096  | N/A |        [[256, 4096], [4096]]         | bf16  |       8.14       |       8.18        |       8.24       |        5.86        | 1.05e+06 | 3.15e+06 |      0.66%       |    37.91%     |
