test case : A100SXM_flash_attn::flash_attn.flash_attn_func
|    B     |    C     |    D     |    De    |   Drop    |   MQKV   |   NHK    |   NHQ    |     S     |  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |    2D_flops    |  activation  |   params   |     flops_1D     |              flops_2D              |    flops_SFU     |  flops_efficient_1D  |  flops_efficient_2D  |  flops_efficient_SFU  |     io     | io_efficient |
|    64    |   True   |   128    |   True   |    0.0    |  32768   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 32768, 32, 128], [2, 32768, 8, 128], [2, 32768, 8, 128]]   |  bf16  |     79127.70     |     79298.16      |     79405.88     |     140965.03     |    3.52e+13    |   8.39e+06   |  0.00e+00  |  [481036337152]  |  [17592186044416, 17592186044416]  |  [68719476736]   |       5.61e-01       |       1.60e+00       |       6.41e-01        |  1.88e+09  |    2.33%     |
|   128    |   True   |   128    |   True   |    0.0    |  32768   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 32768, 32, 128], [4, 32768, 8, 128], [4, 32768, 8, 128]]   |  bf16  |    158445.47     |     158857.08     |    159099.69     |     281928.06     |    7.04e+13    |   1.68e+07   |  0.00e+00  |  [962072674304]  |  [35184372088832, 35184372088832]  |  [137438953472]  |       5.60e-01       |       1.60e+00       |       6.41e-01        |  3.76e+09  |    2.33%     |
|    32    |   True   |   128    |   True   |    0.0    |  65536   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 65536, 32, 128], [1, 65536, 8, 128], [1, 65536, 8, 128]]   |  bf16  |    158886.69     |     159390.91     |    159766.27     |     281928.06     |    7.04e+13    |   8.39e+06   |  0.00e+00  |  [962072674304]  |  [35184372088832, 35184372088832]  |  [137438953472]  |       5.59e-01       |       1.60e+00       |       6.39e-01        |  1.88e+09  |    1.16%     |
|    32    |   True   |   128    |   True   |    0.0    |   2048   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 2048, 32, 128], [1, 2048, 32, 128], [1, 2048, 32, 128]]    |  bf16  |      235.74      |      238.74       |      240.69      |       70.83       |    6.87e+10    |   2.62e+05   |  0.00e+00  |   [939524096]    |     [34359738368, 34359738368]     |   [134217728]    |       3.68e-01       |       1.05e+00       |       4.20e-01        |  8.39e+07  |    34.90%    |
|    64    |   True   |   128    |   True   |    0.0    |   2048   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 2048, 32, 128], [2, 2048, 32, 128], [2, 2048, 32, 128]]    |  bf16  |      395.52      |      397.71       |      399.67      |      139.66       |    1.37e+11    |   5.24e+05   |  0.00e+00  |   [1879048192]   |     [68719476736, 68719476736]     |   [268435456]    |       4.39e-01       |       1.25e+00       |       5.01e-01        |  1.68e+08  |    41.61%    |
|   128    |   True   |   128    |   True   |    0.0    |   2048   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 2048, 32, 128], [4, 2048, 32, 128], [4, 2048, 32, 128]]    |  bf16  |      722.79      |      737.15       |      750.59      |      277.32       |    2.75e+11    |   1.05e+06   |  0.00e+00  |   [3758096384]   |    [137438953472, 137438953472]    |   [536870912]    |       4.80e-01       |       1.37e+00       |       5.49e-01        |  3.36e+08  |    45.54%    |
|    32    |   True   |   128    |   True   |    0.0    |   4096   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 4096, 32, 128], [1, 4096, 32, 128], [1, 4096, 32, 128]]    |  bf16  |      739.74      |      744.61       |      747.83      |      277.32       |    2.75e+11    |   5.24e+05   |  0.00e+00  |   [3758096384]   |    [137438953472, 137438953472]    |   [536870912]    |       4.69e-01       |       1.34e+00       |       5.36e-01        |  1.68e+08  |    22.25%    |
|    64    |   True   |   128    |   True   |    0.0    |   4096   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 4096, 32, 128], [2, 4096, 32, 128], [2, 4096, 32, 128]]    |  bf16  |     1350.20      |      1378.59      |     1393.20      |      552.64       |    5.50e+11    |   1.05e+06   |  0.00e+00  |   [7516192768]   |    [274877906944, 274877906944]    |   [1073741824]   |       5.14e-01       |       1.47e+00       |       5.87e-01        |  3.36e+08  |    24.38%    |
|   128    |   True   |   128    |   True   |    0.0    |   4096   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 4096, 32, 128], [4, 4096, 32, 128], [4, 4096, 32, 128]]    |  bf16  |     2576.03      |      2655.83      |     2673.97      |      1103.27      |    1.10e+12    |   2.10e+06   |  0.00e+00  |  [15032385536]   |    [549755813888, 549755813888]    |   [2147483648]   |       5.39e-01       |       1.54e+00       |       6.16e-01        |  6.71e+08  |    25.55%    |
|    32    |   True   |   128    |   True   |    0.0    |   8192   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 8192, 32, 128], [1, 8192, 32, 128], [1, 8192, 32, 128]]    |  bf16  |     2612.01      |      2659.55      |     2678.84      |      1103.27      |    1.10e+12    |   1.05e+06   |  0.00e+00  |  [15032385536]   |    [549755813888, 549755813888]    |   [2147483648]   |       5.31e-01       |       1.52e+00       |       6.07e-01        |  3.36e+08  |    12.60%    |
