Test Case: A100SXM_apex_fused_layer_norm_cuda.forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|   8   |  128  |  [128]  | 0.0001  |    [[8, 128]]    | bf16  |       4.15       |       4.18        |       4.2        |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.05%     |
|  16   |  128  |  [128]  | 0.0001  |   [[16, 128]]    | bf16  |       4.2        |       4.23        |       4.25       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.02%        |        0.02%         |     0.1%      |
|  32   |  128  |  [128]  | 0.0001  |   [[32, 128]]    | bf16  |       4.25       |       4.28        |       4.3        |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.04%        |        0.04%         |     0.19%     |
|  64   |  128  |  [128]  | 0.0001  |   [[64, 128]]    | bf16  |       4.3        |       4.32        |       4.35       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.08%        |        0.08%         |     0.37%     |
|  128  |  128  |  [128]  | 0.0001  |   [[128, 128]]   | bf16  |       4.4        |       4.43        |       4.45       |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.15%        |        0.15%         |     0.73%     |
|  256  |  128  |  [128]  | 0.0001  |   [[256, 128]]   | bf16  |       4.56       |       4.59        |       4.61       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.29%        |        0.29%         |     1.41%     |
|  512  |  128  |  [128]  | 0.0001  |   [[512, 128]]   | bf16  |       4.86       |       4.91        |       4.97       |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.55%        |        0.55%         |     2.65%     |
| 1024  |  128  |  [128]  | 0.0001  |  [[1024, 128]]   | bf16  |       5.68       |       5.71        |       5.73       |        2.32        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.95%        |        0.95%         |     4.53%     |
| 2048  |  128  |  [128]  | 0.0001  |  [[2048, 128]]   | bf16  |       8.24       |       8.27        |       8.29       |        2.64        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        1.31%        |        1.31%         |     6.24%     |
| 4096  |  128  |  [128]  | 0.0001  |  [[4096, 128]]   | bf16  |      13.11       |       13.14       |      13.16       |        3.29        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        1.64%        |        1.64%         |     7.85%     |
