test case : H100PCIE_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |        input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[1, 1, 3, 4, 64]]     |  bf16  |       6.72       |       6.74        |       6.76       |       2.00        |  [112]   |    [2048, 2048]    |   [16]    |      6.62e-07      |      9.07e-07      |      1.36e-06       |  2.56e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[2, 1, 3, 4, 64]]     |  bf16  |       7.01       |       7.03        |       7.04       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      1.27e-06      |      1.74e-06      |      2.61e-06       |  4.61e+03  |       0.00%        |       0.00%        |        0.00%        |    0.07%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[4, 1, 3, 4, 64]]     |  bf16  |       7.01       |       7.03        |       7.05       |       2.01        |  [448]   |    [8192, 8192]    |   [64]    |      2.54e-06      |      3.48e-06      |      5.22e-06       |  8.70e+03  |       0.00%        |       0.00%        |        0.00%        |    0.12%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[8, 1, 3, 4, 64]]     |  bf16  |       6.97       |       6.98        |       7.02       |       2.02        |  [896]   |   [16384, 16384]   |   [128]   |      5.10e-06      |      6.99e-06      |      1.05e-05       |  1.69e+04  |       0.00%        |       0.00%        |        0.00%        |    0.24%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |    [[16, 1, 3, 4, 64]]     |  bf16  |       7.04       |       7.05        |       7.06       |       2.04        |  [1792]  |   [32768, 32768]   |   [256]   |      1.01e-05      |      1.38e-05      |      2.08e-05       |  3.33e+04  |       0.00%        |       0.00%        |        0.00%        |    0.47%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |    [[32, 1, 3, 4, 64]]     |  bf16  |       8.59       |       8.62        |       8.64       |       2.08        |  [3584]  |   [65536, 65536]   |   [512]   |      1.66e-05      |      2.27e-05      |      3.41e-05       |  6.60e+04  |       0.00%        |       0.00%        |        0.00%        |    0.77%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[1, 4, 3, 4, 64]]     |  bf16  |       6.94       |       6.95        |       6.99       |       2.00        |  [112]   |    [2048, 2048]    |   [16]    |      6.41e-07      |      8.79e-07      |      1.32e-06       |  2.56e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[2, 4, 3, 4, 64]]     |  bf16  |       7.07       |       7.08        |       7.09       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      1.26e-06      |      1.72e-06      |      2.59e-06       |  4.61e+03  |       0.00%        |       0.00%        |        0.00%        |    0.07%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[4, 4, 3, 4, 64]]     |  bf16  |       7.08       |       7.11        |       7.13       |       2.01        |  [448]   |    [8192, 8192]    |   [64]    |      2.51e-06      |      3.44e-06      |      5.16e-06       |  8.70e+03  |       0.00%        |       0.00%        |        0.00%        |    0.12%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[8, 4, 3, 4, 64]]     |  bf16  |       7.29       |       7.30        |       7.34       |       2.02        |  [896]   |   [16384, 16384]   |   [128]   |      4.88e-06      |      6.69e-06      |      1.00e-05       |  1.69e+04  |       0.00%        |       0.00%        |        0.00%        |    0.23%     |
