Test Case: H100PCIE_aten_gelu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 2048  |  768  | N/A |   [[2048, 768]]    | bf16  |       5.27       |       5.31        |       5.34       |        5.93        | 2.04e+07 | 3.15e+06 |      7.61%       |    59.69%     |
| 4096  |  768  | N/A |   [[4096, 768]]    | bf16  |       8.17       |        8.2        |       8.22       |        9.86        | 4.09e+07 | 6.29e+06 |      9.81%       |    77.01%     |
| 8192  |  768  | N/A |   [[8192, 768]]    | bf16  |      14.38       |       14.41       |      14.43       |       17.73        | 8.18e+07 | 1.26e+07 |      11.15%      |     87.5%     |
| 16384 |  768  | N/A |   [[16384, 768]]   | bf16  |      32.13       |       32.36       |      32.54       |       33.46        | 1.64e+08 | 2.52e+07 |      9.98%       |    78.33%     |
| 32768 |  768  | N/A |   [[32768, 768]]   | bf16  |      60.38       |       60.58       |      60.77       |       64.91        | 3.27e+08 | 5.03e+07 |      10.62%      |    83.36%     |
|   1   | 2048  | N/A |    [[1, 2048]]     | bf16  |       2.57       |       2.59        |       2.61       |        2.01        | 2.66e+04 | 4.10e+03 |      0.02%       |     0.16%     |
|   2   | 2048  | N/A |    [[2, 2048]]     | bf16  |       2.6        |       2.62        |       2.64       |        2.01        | 5.32e+04 | 8.19e+03 |      0.04%       |     0.32%     |
|   4   | 2048  | N/A |    [[4, 2048]]     | bf16  |       2.6        |       2.64        |       2.68       |        2.02        | 1.06e+05 | 1.64e+04 |      0.08%       |     0.63%     |
|   8   | 2048  | N/A |    [[8, 2048]]     | bf16  |       2.62       |       2.64        |       2.66       |        2.04        | 2.13e+05 | 3.28e+04 |      0.16%       |     1.25%     |
|  16   | 2048  | N/A |    [[16, 2048]]    | bf16  |       2.64       |       2.66        |       2.68       |        2.08        | 4.26e+05 | 6.55e+04 |      0.32%       |     2.48%     |
|  32   | 2048  | N/A |    [[32, 2048]]    | bf16  |       2.71       |       2.72        |       2.74       |        2.16        | 8.52e+05 | 1.31e+05 |      0.62%       |     4.84%     |
|  64   | 2048  | N/A |    [[64, 2048]]    | bf16  |       2.8        |       2.83        |       2.85       |        2.33        | 1.70e+06 | 2.62e+05 |      1.19%       |     9.36%     |
|  128  | 2048  | N/A |   [[128, 2048]]    | bf16  |       3.02       |       3.03        |       3.04       |        2.66        | 3.41e+06 | 5.24e+05 |      2.21%       |    17.36%     |
|  256  | 2048  | N/A |   [[256, 2048]]    | bf16  |       3.44       |       3.45        |       3.47       |        3.31        | 6.82e+06 | 1.05e+06 |      3.88%       |    30.48%     |
|  512  | 2048  | N/A |   [[512, 2048]]    | bf16  |       4.41       |       4.43        |       4.45       |        4.62        | 1.36e+07 | 2.10e+06 |      6.06%       |    47.55%     |
| 1024  | 2048  | N/A |   [[1024, 2048]]   | bf16  |       6.34       |       6.37        |       6.39       |        7.24        | 2.73e+07 | 4.19e+06 |      8.43%       |    66.16%     |
| 2048  | 2048  | N/A |   [[2048, 2048]]   | bf16  |      10.17       |       10.2        |      10.24       |       12.49        | 5.45e+07 | 8.39e+06 |      10.51%      |    82.48%     |
| 4096  | 2048  | N/A |   [[4096, 2048]]   | bf16  |       19.1       |       19.15       |      19.21       |       22.97        | 1.09e+08 | 1.68e+07 |      11.2%       |    87.84%     |
| 8192  | 2048  | N/A |   [[8192, 2048]]   | bf16  |      41.91       |       42.01       |      42.15       |       43.94        | 2.18e+08 | 3.36e+07 |      10.2%       |    80.06%     |
| 16384 | 2048  | N/A |  [[16384, 2048]]   | bf16  |      78.75       |       78.89       |      79.03       |       85.89        | 4.36e+08 | 6.71e+07 |      10.86%      |    85.22%     |
| 32768 | 2048  | N/A |  [[32768, 2048]]   | bf16  |      152.55      |      152.76       |      152.92      |       169.77       | 8.72e+08 | 1.34e+08 |      11.21%      |    87.98%     |
|   1   | 3072  | N/A |    [[1, 3072]]     | bf16  |       2.6        |       2.63        |       2.65       |        2.01        | 3.99e+04 | 6.14e+03 |      0.03%       |     0.24%     |
|   2   | 3072  | N/A |    [[2, 3072]]     | bf16  |       2.6        |       2.62        |       2.63       |        2.02        | 7.99e+04 | 1.23e+04 |      0.06%       |     0.47%     |
|   4   | 3072  | N/A |    [[4, 3072]]     | bf16  |       2.61       |       2.63        |       2.65       |        2.03        | 1.60e+05 | 2.46e+04 |      0.12%       |     0.94%     |
|   8   | 3072  | N/A |    [[8, 3072]]     | bf16  |       2.61       |       2.64        |       2.66       |        2.06        | 3.19e+05 | 4.92e+04 |      0.24%       |     1.88%     |
|  16   | 3072  | N/A |    [[16, 3072]]    | bf16  |       2.68       |        2.7        |       2.72       |        2.12        | 6.39e+05 | 9.83e+04 |      0.47%       |     3.67%     |
|  32   | 3072  | N/A |    [[32, 3072]]    | bf16  |       2.74       |       2.79        |       2.85       |        2.25        | 1.28e+06 | 1.97e+05 |      0.91%       |     7.18%     |
|  64   | 3072  | N/A |    [[64, 3072]]    | bf16  |       2.9        |       2.93        |       2.95       |        2.49        | 2.56e+06 | 3.93e+05 |      1.73%       |    13.56%     |
|  128  | 3072  | N/A |   [[128, 3072]]    | bf16  |       3.22       |       3.24        |       3.27       |        2.98        | 5.11e+06 | 7.86e+05 |      3.11%       |    24.42%     |
|  256  | 3072  | N/A |   [[256, 3072]]    | bf16  |       3.8        |       3.82        |       3.83       |        3.97        | 1.02e+07 | 1.57e+06 |      5.28%       |    41.39%     |
|  512  | 3072  | N/A |   [[512, 3072]]    | bf16  |       5.28       |        5.3        |       5.32       |        5.93        | 2.04e+07 | 3.15e+06 |      7.59%       |    59.58%     |
| 1024  | 3072  | N/A |   [[1024, 3072]]   | bf16  |       8.18       |        8.2        |       8.22       |        9.86        | 4.09e+07 | 6.29e+06 |       9.8%       |    76.91%     |
| 2048  | 3072  | N/A |   [[2048, 3072]]   | bf16  |       14.4       |       14.44       |      14.48       |       17.73        | 8.18e+07 | 1.26e+07 |      11.14%      |    87.38%     |
| 4096  | 3072  | N/A |   [[4096, 3072]]   | bf16  |      32.06       |       32.23       |      32.37       |       33.46        | 1.64e+08 | 2.52e+07 |      10.0%       |     78.5%     |
| 8192  | 3072  | N/A |   [[8192, 3072]]   | bf16  |      60.24       |       60.37       |      60.51       |       64.91        | 3.27e+08 | 5.03e+07 |      10.65%      |    83.55%     |
| 16384 | 3072  | N/A |  [[16384, 3072]]   | bf16  |      115.39      |      115.64       |      115.87      |       127.83       | 6.54e+08 | 1.01e+08 |      11.12%      |    87.24%     |
| 32768 | 3072  | N/A |  [[32768, 3072]]   | bf16  |      225.82      |      225.99       |      226.18      |       253.66       | 1.31e+09 | 2.01e+08 |      11.36%      |    89.15%     |
|   1   | 4096  | N/A |    [[1, 4096]]     | bf16  |       2.39       |       2.42        |       2.44       |        2.01        | 5.32e+04 | 8.19e+03 |      0.04%       |     0.34%     |
|   2   | 4096  | N/A |    [[2, 4096]]     | bf16  |       2.61       |       2.63        |       2.65       |        2.02        | 1.06e+05 | 1.64e+04 |      0.08%       |     0.63%     |
|   4   | 4096  | N/A |    [[4, 4096]]     | bf16  |       2.64       |       2.66        |       2.67       |        2.04        | 2.13e+05 | 3.28e+04 |      0.16%       |     1.24%     |
|   8   | 4096  | N/A |    [[8, 4096]]     | bf16  |       2.64       |       2.66        |       2.69       |        2.08        | 4.26e+05 | 6.55e+04 |      0.32%       |     2.48%     |
|  16   | 4096  | N/A |    [[16, 4096]]    | bf16  |       2.7        |       2.73        |       2.76       |        2.16        | 8.52e+05 | 1.31e+05 |      0.62%       |     4.85%     |
|  32   | 4096  | N/A |    [[32, 4096]]    | bf16  |       2.8        |       2.82        |       2.84       |        2.33        | 1.70e+06 | 2.62e+05 |      1.19%       |     9.36%     |
|  64   | 4096  | N/A |    [[64, 4096]]    | bf16  |       3.0        |       3.01        |       3.02       |        2.66        | 3.41e+06 | 5.24e+05 |      2.23%       |    17.48%     |
|  128  | 4096  | N/A |   [[128, 4096]]    | bf16  |       3.43       |       3.45        |       3.47       |        3.31        | 6.82e+06 | 1.05e+06 |       3.9%       |    30.57%     |
|  256  | 4096  | N/A |   [[256, 4096]]    | bf16  |       4.42       |       4.44        |       4.46       |        4.62        | 1.36e+07 | 2.10e+06 |      6.05%       |    47.45%     |
|  512  | 4096  | N/A |   [[512, 4096]]    | bf16  |       6.34       |       6.37        |       6.41       |        7.24        | 2.73e+07 | 4.19e+06 |      8.43%       |    66.16%     |
| 1024  | 4096  | N/A |   [[1024, 4096]]   | bf16  |      10.09       |       10.12       |      10.15       |       12.49        | 5.45e+07 | 8.39e+06 |      10.6%       |    83.14%     |
| 2048  | 4096  | N/A |   [[2048, 4096]]   | bf16  |      19.08       |       19.14       |       19.2       |       22.97        | 1.09e+08 | 1.68e+07 |      11.21%      |    87.93%     |
| 4096  | 4096  | N/A |   [[4096, 4096]]   | bf16  |      41.73       |       41.92       |      42.11       |       43.94        | 2.18e+08 | 3.36e+07 |      10.25%      |    80.41%     |
| 8192  | 4096  | N/A |   [[8192, 4096]]   | bf16  |      78.72       |       78.86       |      78.96       |       85.89        | 4.36e+08 | 6.71e+07 |      10.87%      |    85.25%     |
| 16384 | 4096  | N/A |  [[16384, 4096]]   | bf16  |      152.56      |      152.71       |      152.86      |       169.77       | 8.72e+08 | 1.34e+08 |      11.21%      |    87.98%     |
| 32768 | 4096  | N/A |  [[32768, 4096]]   | bf16  |      300.44      |      300.54       |      300.64      |       337.54       | 1.74e+09 | 2.68e+08 |      11.39%      |    89.35%     |
|   1   | 5120  | N/A |    [[1, 5120]]     | bf16  |       2.59       |       2.61        |       2.63       |        2.01        | 6.66e+04 | 1.02e+04 |      0.05%       |     0.4%      |
|   2   | 5120  | N/A |    [[2, 5120]]     | bf16  |       2.61       |       2.64        |       2.66       |        2.03        | 1.33e+05 | 2.05e+04 |       0.1%       |     0.78%     |
|   4   | 5120  | N/A |    [[4, 5120]]     | bf16  |       2.61       |       2.63        |       2.65       |        2.05        | 2.66e+05 | 4.10e+04 |       0.2%       |     1.57%     |
|   8   | 5120  | N/A |    [[8, 5120]]     | bf16  |       2.67       |       2.69        |       2.71       |        2.1         | 5.32e+05 | 8.19e+04 |      0.39%       |     3.07%     |
|  16   | 5120  | N/A |    [[16, 5120]]    | bf16  |       2.73       |       2.75        |       2.76       |        2.2         | 1.06e+06 | 1.64e+05 |      0.76%       |     6.0%      |
|  32   | 5120  | N/A |    [[32, 5120]]    | bf16  |       2.87       |       2.88        |       2.9        |        2.41        | 2.13e+06 | 3.28e+05 |      1.46%       |    11.42%     |
|  64   | 5120  | N/A |    [[64, 5120]]    | bf16  |       3.09       |       3.12        |       3.14       |        2.82        | 4.26e+06 | 6.55e+05 |       2.7%       |    21.21%     |
|  128  | 5120  | N/A |   [[128, 5120]]    | bf16  |       3.62       |       3.64        |       3.66       |        3.64        | 8.52e+06 | 1.31e+06 |      4.61%       |    36.21%     |
|  256  | 5120  | N/A |   [[256, 5120]]    | bf16  |       4.85       |       4.86        |       4.87       |        5.28        | 1.70e+07 | 2.62e+06 |      6.89%       |    54.05%     |
|  512  | 5120  | N/A |   [[512, 5120]]    | bf16  |       7.36       |       7.41        |       7.47       |        8.55        | 3.41e+07 | 5.24e+06 |      9.08%       |    71.23%     |
| 1024  | 5120  | N/A |   [[1024, 5120]]   | bf16  |      12.43       |       12.47       |      12.52       |       15.11        | 6.82e+07 | 1.05e+07 |      10.75%      |    84.36%     |
| 2048  | 5120  | N/A |   [[2048, 5120]]   | bf16  |      26.92       |       27.24       |      27.51       |       28.21        | 1.36e+08 | 2.10e+07 |      9.93%       |     77.9%     |
| 4096  | 5120  | N/A |   [[4096, 5120]]   | bf16  |      50.86       |       51.17       |      51.44       |       54.43        | 2.73e+08 | 4.19e+07 |      10.51%      |    82.47%     |
| 8192  | 5120  | N/A |   [[8192, 5120]]   | bf16  |      97.12       |       97.31       |      97.48       |       106.86       | 5.45e+08 | 8.39e+07 |      11.01%      |    86.37%     |
| 16384 | 5120  | N/A |  [[16384, 5120]]   | bf16  |      189.72      |      189.89       |      190.05      |       211.72       | 1.09e+09 | 1.68e+08 |      11.27%      |    88.43%     |
| 32768 | 5120  | N/A |  [[32768, 5120]]   | bf16  |      373.54      |      373.75       |      373.94      |       421.43       | 2.18e+09 | 3.36e+08 |      11.45%      |    89.83%     |
|   1   | 6144  | N/A |    [[1, 6144]]     | bf16  |       2.61       |       2.63        |       2.65       |        2.02        | 7.99e+04 | 1.23e+04 |      0.06%       |     0.47%     |
|   2   | 6144  | N/A |    [[2, 6144]]     | bf16  |       2.63       |       2.64        |       2.65       |        2.03        | 1.60e+05 | 2.46e+04 |      0.12%       |     0.93%     |
|   4   | 6144  | N/A |    [[4, 6144]]     | bf16  |       2.63       |       2.65        |       2.67       |        2.06        | 3.19e+05 | 4.92e+04 |      0.24%       |     1.87%     |
|   8   | 6144  | N/A |    [[8, 6144]]     | bf16  |       2.67       |       2.68        |       2.69       |        2.12        | 6.39e+05 | 9.83e+04 |      0.47%       |     3.68%     |
|  16   | 6144  | N/A |    [[16, 6144]]    | bf16  |       2.73       |       2.75        |       2.77       |        2.25        | 1.28e+06 | 1.97e+05 |      0.92%       |     7.2%      |
