Test Case: H100PCIE_apex_fused_layer_norm_cuda.rms_forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|   2   | 8192  | [8192]  | 0.0001  |   [[2, 8192]]    | bf16  |       8.97       |       8.99        |       9.0        |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.03%        |        0.03%         |     0.37%     |
|   4   | 8192  | [8192]  | 0.0001  |   [[4, 8192]]    | bf16  |       8.98       |        9.0        |       9.03       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.06%        |        0.06%         |     0.73%     |
|   8   | 8192  | [8192]  | 0.0001  |   [[8, 8192]]    | bf16  |       9.06       |       9.08        |       9.1        |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.11%        |        0.11%         |     1.45%     |
|  16   | 8192  | [8192]  | 0.0001  |   [[16, 8192]]   | bf16  |       9.08       |        9.1        |       9.12       |        2.33        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.23%        |        0.23%         |     2.89%     |
|  32   | 8192  | [8192]  | 0.0001  |   [[32, 8192]]   | bf16  |       9.16       |       9.17        |       9.19       |        2.66        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.45%        |        0.45%         |     5.72%     |
|  64   | 8192  | [8192]  | 0.0001  |   [[64, 8192]]   | bf16  |       9.17       |       9.19        |       9.21       |        3.31        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.9%         |         0.9%         |    11.43%     |
|  128  | 8192  | [8192]  | 0.0001  |  [[128, 8192]]   | bf16  |       9.33       |       9.36        |       9.4        |        4.62        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        1.76%        |        1.76%         |    22.48%     |
|  256  | 8192  | [8192]  | 0.0001  |  [[256, 8192]]   | bf16  |       9.76       |       9.78        |       9.8        |        7.24        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        3.37%        |        3.37%         |    42.97%     |
|  512  | 8192  | [8192]  | 0.0001  |  [[512, 8192]]   | bf16  |      18.18       |       18.23       |      18.26       |       12.49        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        3.62%        |        3.62%         |    46.14%     |
| 1024  | 8192  | [8192]  | 0.0001  |  [[1024, 8192]]  | bf16  |      30.17       |       30.32       |      30.44       |       22.97        | 6.71e+07 | 8.39e+06  | 1.68e+07 |        4.36%        |        4.36%         |    55.61%     |
| 2048  | 8192  | [8192]  | 0.0001  |  [[2048, 8192]]  | bf16  |      64.05       |       64.25       |      64.42       |       43.94        | 1.34e+08 | 1.68e+07  | 3.36e+07 |        4.11%        |        4.11%         |    52.39%     |
| 4096  | 8192  | [8192]  | 0.0001  |  [[4096, 8192]]  | bf16  |      112.74      |      112.97       |      113.21      |       85.89        | 2.68e+08 | 3.36e+07  | 6.71e+07 |        4.67%        |        4.67%         |    59.53%     |
