Test Case: H100PCIE_aten_bmm
|  B  |  M  |  K   |  N   |              input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  4  | 256 |  32  |  32  |      [[4, 256, 32], [4, 32, 32]]      | bf16  |      26.02       |       26.13       |      26.26       |        2.09        | 2.10e+06 | 6.96e+04 |      0.01%       |     0.27%     |
|  8  | 256 |  32  |  32  |      [[8, 256, 32], [8, 32, 32]]      | bf16  |      25.58       |       25.78       |      26.04       |        2.17        | 4.19e+06 | 1.39e+05 |      0.02%       |     0.54%     |
| 16  | 256 |  32  |  32  |     [[16, 256, 32], [16, 32, 32]]     | bf16  |      25.72       |       25.97       |      26.16       |        2.35        | 8.39e+06 | 2.79e+05 |      0.04%       |     1.08%     |
| 32  | 256 |  32  |  32  |     [[32, 256, 32], [32, 32, 32]]     | bf16  |      25.74       |       25.79       |      25.93       |        2.7         | 1.68e+07 | 5.57e+05 |      0.09%       |     2.16%     |
|  1  | 512 |  32  |  32  |      [[1, 512, 32], [1, 32, 32]]      | bf16  |      25.89       |       26.06       |      26.33       |        2.04        | 1.05e+06 | 3.38e+04 |      0.01%       |     0.13%     |
|  2  | 512 |  32  |  32  |      [[2, 512, 32], [2, 32, 32]]      | bf16  |       26.0       |       26.08       |      26.26       |        2.08        | 2.10e+06 | 6.76e+04 |      0.01%       |     0.26%     |
|  4  | 512 |  32  |  32  |      [[4, 512, 32], [4, 32, 32]]      | bf16  |      26.03       |       26.12       |      26.26       |        2.17        | 4.19e+06 | 1.35e+05 |      0.02%       |     0.52%     |
|  8  | 512 |  32  |  32  |      [[8, 512, 32], [8, 32, 32]]      | bf16  |      25.86       |       26.05       |      26.45       |        2.34        | 8.39e+06 | 2.70e+05 |      0.04%       |     1.05%     |
| 16  | 512 |  32  |  32  |     [[16, 512, 32], [16, 32, 32]]     | bf16  |      25.77       |       25.95       |      26.13       |        2.68        | 1.68e+07 | 5.41e+05 |      0.09%       |     2.1%      |
| 32  | 512 |  32  |  32  |     [[32, 512, 32], [32, 32, 32]]     | bf16  |      25.84       |       25.94       |      26.16       |        3.35        | 3.36e+07 | 1.08e+06 |      0.17%       |     4.18%     |
|  1  |  1  |  64  |  32  |       [[1, 1, 64], [1, 64, 32]]       | bf16  |      25.47       |       25.61       |      25.76       |        2.0         | 4.10e+03 | 2.14e+03 |       0.0%       |     0.01%     |
|  2  |  1  |  64  |  32  |       [[2, 1, 64], [2, 64, 32]]       | bf16  |      21.17       |       21.3        |       21.4       |        2.01        | 8.19e+03 | 4.29e+03 |       0.0%       |     0.02%     |
|  4  |  1  |  64  |  32  |       [[4, 1, 64], [4, 64, 32]]       | bf16  |      21.18       |       21.27       |      21.46       |        2.01        | 1.64e+04 | 8.58e+03 |       0.0%       |     0.04%     |
|  8  |  1  |  64  |  32  |       [[8, 1, 64], [8, 64, 32]]       | bf16  |       21.4       |       21.51       |      21.73       |        2.02        | 3.28e+04 | 1.72e+04 |       0.0%       |     0.08%     |
| 16  |  1  |  64  |  32  |      [[16, 1, 64], [16, 64, 32]]      | bf16  |      21.28       |       21.32       |      21.44       |        2.04        | 6.55e+04 | 3.43e+04 |       0.0%       |     0.16%     |
| 32  |  1  |  64  |  32  |      [[32, 1, 64], [32, 64, 32]]      | bf16  |      21.15       |       21.25       |      21.34       |        2.09        | 1.31e+05 | 6.86e+04 |       0.0%       |     0.32%     |
|  1  |  2  |  64  |  32  |       [[1, 2, 64], [1, 64, 32]]       | bf16  |      25.43       |       25.66       |      26.03       |        2.0         | 8.19e+03 | 2.24e+03 |       0.0%       |     0.01%     |
|  2  |  2  |  64  |  32  |       [[2, 2, 64], [2, 64, 32]]       | bf16  |      25.61       |       25.77       |      25.85       |        2.01        | 1.64e+04 | 4.48e+03 |       0.0%       |     0.02%     |
|  4  |  2  |  64  |  32  |       [[4, 2, 64], [4, 64, 32]]       | bf16  |       25.2       |       25.33       |      25.53       |        2.01        | 3.28e+04 | 8.96e+03 |       0.0%       |     0.04%     |
|  8  |  2  |  64  |  32  |       [[8, 2, 64], [8, 64, 32]]       | bf16  |      25.54       |       25.67       |      25.83       |        2.02        | 6.55e+04 | 1.79e+04 |       0.0%       |     0.07%     |
