Test Case: H100PCIE_apex_fused_layer_norm_cuda.forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|   2   | 6144  | [6144]  | 0.0001  |   [[2, 6144]]    | bf16  |       8.26       |       8.29        |       8.33       |        2.03        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.02%        |        0.02%         |     0.3%      |
|   4   | 6144  | [6144]  | 0.0001  |   [[4, 6144]]    | bf16  |       8.29       |       8.32        |       8.35       |        2.06        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.05%        |        0.05%         |     0.59%     |
|   8   | 6144  | [6144]  | 0.0001  |   [[8, 6144]]    | bf16  |       8.3        |       8.31        |       8.32       |        2.12        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.09%        |        0.09%         |     1.18%     |
|  16   | 6144  | [6144]  | 0.0001  |   [[16, 6144]]   | bf16  |       8.33       |       8.35        |       8.37       |        2.25        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.19%        |        0.19%         |     2.36%     |
|  32   | 6144  | [6144]  | 0.0001  |   [[32, 6144]]   | bf16  |       8.43       |       8.44        |       8.45       |        2.49        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.37%        |        0.37%         |     4.66%     |
|  64   | 6144  | [6144]  | 0.0001  |   [[64, 6144]]   | bf16  |       8.41       |       8.43        |       8.46       |        2.98        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        0.73%        |        0.73%         |     9.35%     |
|  128  | 6144  | [6144]  | 0.0001  |  [[128, 6144]]   | bf16  |       8.66       |       8.68        |       8.68       |        3.97        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        1.42%        |        1.42%         |    18.16%     |
|  256  | 6144  | [6144]  | 0.0001  |  [[256, 6144]]   | bf16  |       9.67       |       9.74        |       9.76       |        5.93        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        2.55%        |        2.55%         |    32.53%     |
|  512  | 6144  | [6144]  | 0.0001  |  [[512, 6144]]   | bf16  |      12.81       |       12.83       |      12.86       |        9.86        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        3.85%        |        3.85%         |    49.11%     |
| 1024  | 6144  | [6144]  | 0.0001  |  [[1024, 6144]]  | bf16  |      20.91       |       20.95       |      20.99       |       17.73        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        4.72%        |        4.72%         |    60.18%     |
| 2048  | 6144  | [6144]  | 0.0001  |  [[2048, 6144]]  | bf16  |      44.21       |       44.32       |      44.49       |       33.46        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        4.46%        |        4.46%         |    56.92%     |
| 4096  | 6144  | [6144]  | 0.0001  |  [[4096, 6144]]  | bf16  |      78.51       |       78.59       |      78.64       |       64.91        | 2.01e+08 | 2.52e+07  | 5.03e+07 |        5.03%        |        5.03%         |    64.11%     |
| 8192  | 6144  | [6144]  | 0.0001  |  [[8192, 6144]]  | bf16  |      142.05      |      142.39       |      142.53      |       127.83       | 4.03e+08 | 5.03e+07  | 1.01e+08 |        5.56%        |        5.56%         |    70.86%     |
| 16384 | 6144  | [6144]  | 0.0001  | [[16384, 6144]]  | bf16  |      272.37      |      272.55       |      272.68      |       253.66       | 8.05e+08 | 1.01e+08  | 2.01e+08 |        5.8%         |         5.8%         |    73.92%     |
| 32768 | 6144  | [6144]  | 0.0001  | [[32768, 6144]]  | bf16  |      531.1       |       531.2       |      531.38      |       505.32       | 1.61e+09 | 2.01e+08  | 4.03e+08 |        5.95%        |        5.95%         |    75.81%     |
| 65536 | 6144  | [6144]  | 0.0001  | [[65536, 6144]]  | bf16  |     1049.64      |      1049.98      |     1050.15      |      1008.63       | 3.22e+09 | 4.03e+08  | 8.05e+08 |        6.02%        |        6.02%         |    76.72%     |
|   1   | 8192  | [8192]  | 0.0001  |   [[1, 8192]]    | bf16  |       9.8        |       9.83        |       9.88       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.01%        |        0.01%         |     0.17%     |
|   2   | 8192  | [8192]  | 0.0001  |   [[2, 8192]]    | bf16  |       9.9        |       9.93        |       9.95       |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.03%        |        0.03%         |     0.33%     |
|   4   | 8192  | [8192]  | 0.0001  |   [[4, 8192]]    | bf16  |       9.9        |       9.93        |       9.98       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.05%        |        0.05%         |     0.66%     |
|   8   | 8192  | [8192]  | 0.0001  |   [[8, 8192]]    | bf16  |       9.99       |       10.01       |      10.07       |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.1%         |         0.1%         |     1.31%     |
|  16   | 8192  | [8192]  | 0.0001  |   [[16, 8192]]   | bf16  |       10.0       |       10.01       |      10.05       |        2.33        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.21%        |        0.21%         |     2.62%     |
|  32   | 8192  | [8192]  | 0.0001  |   [[32, 8192]]   | bf16  |      10.09       |       10.11       |      10.19       |        2.66        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.41%        |        0.41%         |     5.2%      |
|  64   | 8192  | [8192]  | 0.0001  |   [[64, 8192]]   | bf16  |      10.09       |       10.12       |      10.13       |        3.31        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.82%        |        0.82%         |    10.39%     |
|  128  | 8192  | [8192]  | 0.0001  |  [[128, 8192]]   | bf16  |      10.41       |       10.43       |      10.44       |        4.62        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        1.58%        |        1.58%         |    20.15%     |
|  256  | 8192  | [8192]  | 0.0001  |  [[256, 8192]]   | bf16  |      10.99       |       11.01       |      11.04       |        7.24        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        2.99%        |        2.99%         |    38.16%     |
|  512  | 8192  | [8192]  | 0.0001  |  [[512, 8192]]   | bf16  |      13.63       |       13.66       |      13.71       |       12.49        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        4.83%        |        4.83%         |    61.55%     |
| 1024  | 8192  | [8192]  | 0.0001  |  [[1024, 8192]]  | bf16  |      31.12       |       31.39       |      31.61       |       22.97        | 6.71e+07 | 8.39e+06  | 1.68e+07 |        4.23%        |        4.23%         |    53.91%     |
| 2048  | 8192  | [8192]  | 0.0001  |  [[2048, 8192]]  | bf16  |       61.9       |       62.03       |      62.17       |       43.94        | 1.34e+08 | 1.68e+07  | 3.36e+07 |        4.25%        |        4.25%         |    54.21%     |
| 4096  | 8192  | [8192]  | 0.0001  |  [[4096, 8192]]  | bf16  |      108.84      |      109.07       |      109.26      |       85.89        | 2.68e+08 | 3.36e+07  | 6.71e+07 |        4.84%        |        4.84%         |    61.66%     |
| 8192  | 8192  | [8192]  | 0.0001  |  [[8192, 8192]]  | bf16  |      201.28      |      201.87       |      202.3       |       169.77       | 5.37e+08 | 6.71e+07  | 1.34e+08 |        5.23%        |        5.23%         |    66.68%     |
| 16384 | 8192  | [8192]  | 0.0001  | [[16384, 8192]]  | bf16  |      386.17      |      386.84       |      387.14      |       337.54       | 1.07e+09 | 1.34e+08  | 2.68e+08 |        5.45%        |        5.45%         |    69.51%     |
| 32768 | 8192  | [8192]  | 0.0001  | [[32768, 8192]]  | bf16  |      787.81      |      790.14       |      793.18      |       673.09       | 2.15e+09 | 2.68e+08  | 5.37e+08 |        5.34%        |        5.34%         |    68.15%     |
| 65536 | 8192  | [8192]  | 0.0001  | [[65536, 8192]]  | bf16  |     1606.99      |      1609.81      |     1610.75      |      1344.18       | 4.29e+09 | 5.37e+08  | 1.07e+09 |        5.24%        |        5.24%         |    66.82%     |
|   1   | 13824 | [13824] | 0.0001  |   [[1, 13824]]   | bf16  |      14.36       |       14.38       |       14.4       |        2.03        | 1.11e+05 | 1.38e+04  | 2.76e+04 |        0.02%        |        0.02%         |     0.19%     |
