Test Case: H100PCIE_aten_mm
| B |  M   |  K   |  N   |         input_shape          | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 1 | 512  | 768  |  32  |   [[512, 768], [768, 32]]    | bf16  |      25.28       |       25.44       |      25.66       |        2.54        | 2.52e+07 | 4.34e+05 |      0.13%       |     1.72%     |
| 1 | 1024 | 768  |  32  |   [[1024, 768], [768, 32]]   | bf16  |      25.29       |       25.47       |      25.61       |        3.05        | 5.03e+07 | 8.44e+05 |      0.26%       |     3.34%     |
| 1 | 2048 | 768  |  32  |   [[2048, 768], [768, 32]]   | bf16  |      25.13       |       25.38       |       25.8       |        4.08        | 1.01e+08 | 1.66e+06 |      0.53%       |     6.62%     |
| 1 |  1   | 2048 |  32  |   [[1, 2048], [2048, 32]]    | bf16  |      25.09       |       25.22       |      25.38       |        2.08        | 1.31e+05 | 6.76e+04 |       0.0%       |     0.27%     |
| 1 |  2   | 2048 |  32  |   [[2, 2048], [2048, 32]]    | bf16  |      24.93       |       25.2        |      25.62       |        2.09        | 2.62e+05 | 6.97e+04 |       0.0%       |     0.28%     |
| 1 |  4   | 2048 |  32  |   [[4, 2048], [2048, 32]]    | bf16  |      24.96       |       25.12       |       25.4       |        2.09        | 5.24e+05 | 7.39e+04 |       0.0%       |     0.3%      |
| 1 |  8   | 2048 |  32  |   [[8, 2048], [2048, 32]]    | bf16  |      25.17       |       25.27       |       25.4       |        2.1         | 1.05e+06 | 8.22e+04 |      0.01%       |     0.33%     |
| 1 |  32  | 2048 |  32  |   [[32, 2048], [2048, 32]]   | bf16  |      25.44       |       25.56       |      25.67       |        2.17        | 4.19e+06 | 1.32e+05 |      0.02%       |     0.52%     |
| 1 |  64  | 2048 |  32  |   [[64, 2048], [2048, 32]]   | bf16  |      25.39       |       25.46       |      25.61       |        2.25        | 8.39e+06 | 1.99e+05 |      0.04%       |     0.78%     |
| 1 | 128  | 2048 |  32  |  [[128, 2048], [2048, 32]]   | bf16  |      25.37       |       25.51       |      25.67       |        2.41        | 1.68e+07 | 3.32e+05 |      0.09%       |     1.31%     |
| 1 | 256  | 2048 |  32  |  [[256, 2048], [2048, 32]]   | bf16  |      25.36       |       25.53       |      25.76       |        2.75        | 3.36e+07 | 5.98e+05 |      0.18%       |     2.36%     |
| 1 | 512  | 2048 |  32  |  [[512, 2048], [2048, 32]]   | bf16  |      25.17       |       25.3        |       25.4       |        3.41        | 6.71e+07 | 1.13e+06 |      0.35%       |     4.49%     |
| 1 | 1024 | 2048 |  32  |  [[1024, 2048], [2048, 32]]  | bf16  |      25.06       |       25.22       |      25.53       |        4.74        | 1.34e+08 | 2.20e+06 |      0.71%       |     8.76%     |
| 1 | 2048 | 2048 |  32  |  [[2048, 2048], [2048, 32]]  | bf16  |      25.43       |       25.56       |      25.76       |        7.41        | 2.68e+08 | 4.33e+06 |       1.4%       |    17.01%     |
| 1 |  1   | 3072 |  32  |   [[1, 3072], [3072, 32]]    | bf16  |      28.91       |       29.34       |       29.6       |        2.13        | 1.97e+05 | 1.01e+05 |       0.0%       |     0.35%     |
| 1 |  2   | 3072 |  32  |   [[2, 3072], [3072, 32]]    | bf16  |       29.1       |       29.42       |      29.61       |        2.13        | 3.93e+05 | 1.05e+05 |       0.0%       |     0.36%     |
| 1 |  4   | 3072 |  32  |   [[4, 3072], [3072, 32]]    | bf16  |       29.3       |       29.49       |      29.66       |        2.14        | 7.86e+05 | 1.11e+05 |       0.0%       |     0.38%     |
| 1 |  8   | 3072 |  32  |   [[8, 3072], [3072, 32]]    | bf16  |      29.31       |       29.46       |      29.73       |        2.15        | 1.57e+06 | 1.23e+05 |      0.01%       |     0.42%     |
| 1 |  32  | 3072 |  32  |   [[32, 3072], [3072, 32]]   | bf16  |      29.42       |       29.55       |      29.68       |        2.25        | 6.29e+06 | 1.98e+05 |      0.03%       |     0.67%     |
| 1 |  64  | 3072 |  32  |   [[64, 3072], [3072, 32]]   | bf16  |      29.48       |       29.65       |      29.95       |        2.37        | 1.26e+07 | 2.97e+05 |      0.06%       |     1.01%     |
| 1 | 128  | 3072 |  32  |  [[128, 3072], [3072, 32]]   | bf16  |      29.67       |       29.82       |      29.99       |        2.62        | 2.52e+07 | 4.96e+05 |      0.11%       |     1.67%     |
| 1 | 256  | 3072 |  32  |  [[256, 3072], [3072, 32]]   | bf16  |      29.34       |       29.5        |      29.92       |        3.12        | 5.03e+07 | 8.93e+05 |      0.23%       |     3.04%     |
| 1 | 512  | 3072 |  32  |  [[512, 3072], [3072, 32]]   | bf16  |      29.71       |       29.87       |      30.16       |        4.11        | 1.01e+08 | 1.69e+06 |      0.45%       |     5.68%     |
| 1 | 1024 | 3072 |  32  |  [[1024, 3072], [3072, 32]]  | bf16  |       29.3       |       29.55       |      29.77       |        6.1         | 2.01e+08 | 3.28e+06 |      0.91%       |    11.18%     |
| 1 | 2048 | 3072 |  32  |  [[2048, 3072], [3072, 32]]  | bf16  |      29.48       |       29.58       |      29.68       |       10.07        | 4.03e+08 | 6.46e+06 |      1.81%       |     21.9%     |
| 1 |  1   | 4096 |  32  |   [[1, 4096], [4096, 32]]    | bf16  |      29.16       |       29.39       |      29.69       |        2.17        | 2.62e+05 | 1.35e+05 |       0.0%       |     0.46%     |
| 1 |  2   | 4096 |  32  |   [[2, 4096], [4096, 32]]    | bf16  |      29.07       |       29.4        |       29.9       |        2.17        | 5.24e+05 | 1.39e+05 |       0.0%       |     0.48%     |
| 1 |  4   | 4096 |  32  |   [[4, 4096], [4096, 32]]    | bf16  |      29.28       |       29.43       |      29.55       |        2.18        | 1.05e+06 | 1.48e+05 |       0.0%       |     0.5%      |
| 1 |  8   | 4096 |  32  |   [[8, 4096], [4096, 32]]    | bf16  |      29.39       |       29.53       |      29.75       |        2.21        | 2.10e+06 | 1.64e+05 |      0.01%       |     0.56%     |
| 1 |  32  | 4096 |  32  |   [[32, 4096], [4096, 32]]   | bf16  |      29.22       |       29.41       |      29.67       |        2.33        | 8.39e+06 | 2.63e+05 |      0.04%       |     0.9%      |
| 1 |  64  | 4096 |  32  |   [[64, 4096], [4096, 32]]   | bf16  |      29.33       |       29.47       |      29.68       |        2.49        | 1.68e+07 | 3.95e+05 |      0.08%       |     1.35%     |
| 1 | 128  | 4096 |  32  |  [[128, 4096], [4096, 32]]   | bf16  |      29.35       |       29.63       |      29.99       |        2.82        | 3.36e+07 | 6.59e+05 |      0.15%       |     2.25%     |
| 1 | 256  | 4096 |  32  |  [[256, 4096], [4096, 32]]   | bf16  |      29.42       |       29.54       |      29.64       |        3.48        | 6.71e+07 | 1.19e+06 |       0.3%       |     4.04%     |
| 1 | 512  | 4096 |  32  |  [[512, 4096], [4096, 32]]   | bf16  |      29.39       |       29.48       |      29.69       |        4.81        | 1.34e+08 | 2.24e+06 |       0.6%       |     7.64%     |
| 1 | 1024 | 4096 |  32  |  [[1024, 4096], [4096, 32]]  | bf16  |      29.64       |       29.8        |      29.99       |        7.45        | 2.68e+08 | 4.36e+06 |       1.2%       |     14.7%     |
| 1 | 2048 | 4096 |  32  |  [[2048, 4096], [4096, 32]]  | bf16  |      29.57       |       29.78       |      30.27       |       12.73        | 5.37e+08 | 8.59e+06 |       2.4%       |    29.03%     |
| 1 |  1   | 5120 |  32  |   [[1, 5120], [5120, 32]]    | bf16  |      29.11       |       29.37       |      29.71       |        2.21        | 3.28e+05 | 1.69e+05 |       0.0%       |     0.58%     |
| 1 |  2   | 5120 |  32  |   [[2, 5120], [5120, 32]]    | bf16  |      29.09       |       29.23       |       29.5       |        2.22        | 6.55e+05 | 1.74e+05 |       0.0%       |     0.6%      |
| 1 |  4   | 5120 |  32  |   [[4, 5120], [5120, 32]]    | bf16  |      29.04       |       29.24       |      29.41       |        2.23        | 1.31e+06 | 1.84e+05 |      0.01%       |     0.64%     |
| 1 |  8   | 5120 |  32  |   [[8, 5120], [5120, 32]]    | bf16  |      29.01       |       29.27       |      29.55       |        2.26        | 2.62e+06 | 2.05e+05 |      0.01%       |     0.71%     |
| 1 |  32  | 5120 |  32  |   [[32, 5120], [5120, 32]]   | bf16  |      29.36       |       29.57       |      29.75       |        2.41        | 1.05e+07 | 3.29e+05 |      0.05%       |     1.12%     |
| 1 |  64  | 5120 |  32  |   [[64, 5120], [5120, 32]]   | bf16  |      29.27       |       29.4        |      29.52       |        2.62        | 2.10e+07 | 4.94e+05 |      0.09%       |     1.69%     |
| 1 | 128  | 5120 |  32  |  [[128, 5120], [5120, 32]]   | bf16  |      29.39       |       29.64       |      30.03       |        3.03        | 4.19e+07 | 8.23e+05 |      0.19%       |     2.8%      |
| 1 | 256  | 5120 |  32  |  [[256, 5120], [5120, 32]]   | bf16  |      29.48       |       29.64       |      29.82       |        3.85        | 8.39e+07 | 1.48e+06 |      0.38%       |     5.03%     |
| 1 | 512  | 5120 |  32  |  [[512, 5120], [5120, 32]]   | bf16  |      29.37       |       29.61       |      29.77       |        5.5         | 1.68e+08 | 2.80e+06 |      0.76%       |     9.54%     |
| 1 | 1024 | 5120 |  32  |  [[1024, 5120], [5120, 32]]  | bf16  |      29.43       |       29.56       |      29.69       |        8.8         | 3.36e+08 | 5.44e+06 |      1.51%       |    18.48%     |
| 1 | 2048 | 5120 |  32  |  [[2048, 5120], [5120, 32]]  | bf16  |      29.39       |       29.48       |      29.54       |       15.39        | 6.71e+08 | 1.07e+07 |      3.02%       |    36.46%     |
| 1 |  1   | 6144 |  32  |   [[1, 6144], [6144, 32]]    | bf16  |      29.23       |       29.33       |      29.53       |        2.25        | 3.93e+05 | 2.03e+05 |       0.0%       |     0.69%     |
