Test Case: H100PCIE_aten_silu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  512  | 3072  | N/A |   [[512, 3072]]    | bf16  |       5.24       |       5.27        |       5.3        |        5.93        | 2.04e+07 | 3.15e+06 |      7.65%       |    60.03%     |
| 1024  | 3072  | N/A |   [[1024, 3072]]   | bf16  |       7.6        |       7.63        |       7.66       |        9.86        | 4.09e+07 | 6.29e+06 |      10.55%      |    82.78%     |
| 2048  | 3072  | N/A |   [[2048, 3072]]   | bf16  |      12.76       |       12.8        |      12.85       |       17.73        | 8.18e+07 | 1.26e+07 |      12.57%      |    98.61%     |
| 4096  | 3072  | N/A |   [[4096, 3072]]   | bf16  |      32.13       |       32.27       |       32.4       |       33.46        | 1.64e+08 | 2.52e+07 |      9.98%       |    78.33%     |
| 8192  | 3072  | N/A |   [[8192, 3072]]   | bf16  |      60.11       |       60.24       |      60.34       |       64.91        | 3.27e+08 | 5.03e+07 |      10.67%      |    83.73%     |
| 16384 | 3072  | N/A |  [[16384, 3072]]   | bf16  |      115.68      |      115.79       |      115.89      |       127.83       | 6.54e+08 | 1.01e+08 |      11.09%      |    87.02%     |
| 32768 | 3072  | N/A |  [[32768, 3072]]   | bf16  |      225.94      |      226.02       |      226.09      |       253.66       | 1.31e+09 | 2.01e+08 |      11.36%      |    89.11%     |
|   1   | 4096  | N/A |    [[1, 4096]]     | bf16  |       2.9        |       2.93        |       2.95       |        2.01        | 5.32e+04 | 8.19e+03 |      0.04%       |     0.28%     |
|   2   | 4096  | N/A |    [[2, 4096]]     | bf16  |       3.03       |       3.04        |       3.06       |        2.02        | 1.06e+05 | 1.64e+04 |      0.07%       |     0.54%     |
|   4   | 4096  | N/A |    [[4, 4096]]     | bf16  |       3.13       |       3.18        |       3.23       |        2.04        | 2.13e+05 | 3.28e+04 |      0.13%       |     1.05%     |
|   8   | 4096  | N/A |    [[8, 4096]]     | bf16  |       2.8        |        3.1        |       3.36       |        2.08        | 4.26e+05 | 6.55e+04 |       0.3%       |     2.34%     |
|  16   | 4096  | N/A |    [[16, 4096]]    | bf16  |       3.21       |       3.22        |       3.24       |        2.16        | 8.52e+05 | 1.31e+05 |      0.52%       |     4.08%     |
|  32   | 4096  | N/A |    [[32, 4096]]    | bf16  |       3.32       |       3.33        |       3.35       |        2.33        | 1.70e+06 | 2.62e+05 |      1.01%       |     7.9%      |
|  64   | 4096  | N/A |    [[64, 4096]]    | bf16  |       3.33       |       3.35        |       3.36       |        2.66        | 3.41e+06 | 5.24e+05 |      2.01%       |    15.74%     |
|  128  | 4096  | N/A |   [[128, 4096]]    | bf16  |       2.88       |       2.91        |       2.94       |        3.31        | 6.82e+06 | 1.05e+06 |      4.64%       |    36.41%     |
|  256  | 4096  | N/A |   [[256, 4096]]    | bf16  |       3.64       |       3.68        |       3.71       |        4.62        | 1.36e+07 | 2.10e+06 |      7.34%       |    57.61%     |
|  512  | 4096  | N/A |   [[512, 4096]]    | bf16  |       5.91       |       5.94        |       5.97       |        7.24        | 2.73e+07 | 4.19e+06 |      9.05%       |    70.97%     |
| 1024  | 4096  | N/A |   [[1024, 4096]]   | bf16  |       8.97       |        9.0        |       9.04       |       12.49        | 5.45e+07 | 8.39e+06 |      11.92%      |    93.52%     |
| 2048  | 4096  | N/A |   [[2048, 4096]]   | bf16  |       18.5       |       18.62       |      18.75       |       22.97        | 1.09e+08 | 1.68e+07 |      11.56%      |    90.69%     |
| 4096  | 4096  | N/A |   [[4096, 4096]]   | bf16  |      41.34       |       41.54       |      41.73       |       43.94        | 2.18e+08 | 3.36e+07 |      10.34%      |    81.17%     |
| 8192  | 4096  | N/A |   [[8192, 4096]]   | bf16  |       78.0       |       78.15       |      78.28       |       85.89        | 4.36e+08 | 6.71e+07 |      10.97%      |    86.04%     |
| 16384 | 4096  | N/A |  [[16384, 4096]]   | bf16  |      152.54      |       152.7       |      152.83      |       169.77       | 8.72e+08 | 1.34e+08 |      11.21%      |    87.99%     |
| 32768 | 4096  | N/A |  [[32768, 4096]]   | bf16  |      299.4       |      299.63       |      299.8       |       337.54       | 1.74e+09 | 2.68e+08 |      11.43%      |    89.66%     |
|   1   | 5120  | N/A |    [[1, 5120]]     | bf16  |       2.83       |       2.85        |       2.87       |        2.01        | 6.66e+04 | 1.02e+04 |      0.05%       |     0.36%     |
|   2   | 5120  | N/A |    [[2, 5120]]     | bf16  |       2.99       |       3.02        |       3.06       |        2.03        | 1.33e+05 | 2.05e+04 |      0.09%       |     0.68%     |
|   4   | 5120  | N/A |    [[4, 5120]]     | bf16  |       3.06       |       3.08        |       3.1        |        2.05        | 2.66e+05 | 4.10e+04 |      0.17%       |     1.34%     |
|   8   | 5120  | N/A |    [[8, 5120]]     | bf16  |       3.16       |       3.18        |       3.19       |        2.1         | 5.32e+05 | 8.19e+04 |      0.33%       |     2.59%     |
|  16   | 5120  | N/A |    [[16, 5120]]    | bf16  |       3.18       |       3.21        |       3.25       |        2.2         | 1.06e+06 | 1.64e+05 |      0.66%       |     5.15%     |
|  32   | 5120  | N/A |    [[32, 5120]]    | bf16  |       3.28       |       3.29        |       3.31       |        2.41        | 2.13e+06 | 3.28e+05 |      1.27%       |     9.99%     |
|  64   | 5120  | N/A |    [[64, 5120]]    | bf16  |       3.38       |        3.4        |       3.42       |        2.82        | 4.26e+06 | 6.55e+05 |      2.47%       |    19.39%     |
|  128  | 5120  | N/A |   [[128, 5120]]    | bf16  |       3.91       |       3.92        |       3.93       |        3.64        | 8.52e+06 | 1.31e+06 |      4.27%       |    33.52%     |
|  256  | 5120  | N/A |   [[256, 5120]]    | bf16  |       4.87       |       4.89        |       4.92       |        5.28        | 1.70e+07 | 2.62e+06 |      6.86%       |    53.83%     |
|  512  | 5120  | N/A |   [[512, 5120]]    | bf16  |       6.86       |       6.89        |       6.92       |        8.55        | 3.41e+07 | 5.24e+06 |      9.74%       |    76.43%     |
| 1024  | 5120  | N/A |   [[1024, 5120]]   | bf16  |      10.81       |       10.86       |       10.9       |       15.11        | 6.82e+07 | 1.05e+07 |      12.36%      |     97.0%     |
| 2048  | 5120  | N/A |   [[2048, 5120]]   | bf16  |      27.42       |       27.49       |      27.56       |       28.21        | 1.36e+08 | 2.10e+07 |      9.75%       |    76.48%     |
| 4096  | 5120  | N/A |   [[4096, 5120]]   | bf16  |      50.88       |       51.01       |      51.15       |       54.43        | 2.73e+08 | 4.19e+07 |      10.51%      |    82.44%     |
| 8192  | 5120  | N/A |   [[8192, 5120]]   | bf16  |      96.71       |       96.85       |      96.97       |       106.86       | 5.45e+08 | 8.39e+07 |      11.06%      |    86.74%     |
| 16384 | 5120  | N/A |  [[16384, 5120]]   | bf16  |      188.8       |      189.06       |      189.28      |       211.72       | 1.09e+09 | 1.68e+08 |      11.33%      |    88.86%     |
| 32768 | 5120  | N/A |  [[32768, 5120]]   | bf16  |      372.7       |      373.01       |      373.24      |       421.43       | 2.18e+09 | 3.36e+08 |      11.47%      |    90.03%     |
|   1   | 6144  | N/A |    [[1, 6144]]     | bf16  |       2.82       |       2.83        |       2.84       |        2.02        | 7.99e+04 | 1.23e+04 |      0.06%       |     0.44%     |
|   2   | 6144  | N/A |    [[2, 6144]]     | bf16  |       3.06       |       3.08        |       3.1        |        2.03        | 1.60e+05 | 2.46e+04 |       0.1%       |     0.8%      |
|   4   | 6144  | N/A |    [[4, 6144]]     | bf16  |       3.28       |       3.29        |       3.3        |        2.06        | 3.19e+05 | 4.92e+04 |      0.19%       |     1.5%      |
|   8   | 6144  | N/A |    [[8, 6144]]     | bf16  |       3.22       |       3.23        |       3.23       |        2.12        | 6.39e+05 | 9.83e+04 |      0.39%       |     3.05%     |
|  16   | 6144  | N/A |    [[16, 6144]]    | bf16  |       3.22       |       3.24        |       3.27       |        2.25        | 1.28e+06 | 1.97e+05 |      0.78%       |     6.11%     |
|  32   | 6144  | N/A |    [[32, 6144]]    | bf16  |       3.33       |       3.35        |       3.38       |        2.49        | 2.56e+06 | 3.93e+05 |       1.5%       |    11.81%     |
|  64   | 6144  | N/A |    [[64, 6144]]    | bf16  |       3.52       |       3.53        |       3.55       |        2.98        | 5.11e+06 | 7.86e+05 |      2.85%       |    22.34%     |
|  128  | 6144  | N/A |   [[128, 6144]]    | bf16  |       4.03       |       4.05        |       4.06       |        3.97        | 1.02e+07 | 1.57e+06 |      4.97%       |    39.03%     |
|  256  | 6144  | N/A |   [[256, 6144]]    | bf16  |       5.26       |       5.29        |       5.32       |        5.93        | 2.04e+07 | 3.15e+06 |      7.62%       |     59.8%     |
|  512  | 6144  | N/A |   [[512, 6144]]    | bf16  |       7.69       |       7.71        |       7.72       |        9.86        | 4.09e+07 | 6.29e+06 |      10.43%      |    81.81%     |
| 1024  | 6144  | N/A |   [[1024, 6144]]   | bf16  |      12.78       |       12.83       |      12.87       |       17.73        | 8.18e+07 | 1.26e+07 |      12.55%      |    98.46%     |
| 2048  | 6144  | N/A |   [[2048, 6144]]   | bf16  |      31.98       |       32.22       |      32.41       |       33.46        | 1.64e+08 | 2.52e+07 |      10.03%      |    78.69%     |
