test case : H100PCIE_flash_attn::flash_attn.flash_attn_func
|    B     |    C     |    D     |    De    |   Drop    |   MQKV   |   NHK    |   NHQ    |     S     |  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                             input_shape                              | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |    2D_flops     |  activation  |   params   |     flops_1D      |               flops_2D               |    flops_SFU     |  flops_efficient_1D  |  flops_efficient_2D  |  flops_efficient_SFU  |     io     | io_efficient |
|    32    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[1, 8192, 32, 128], [1, 8192, 8, 128], [1, 8192, 8, 128]]      |  bf16  |     2038.63      |      2269.98      |     2342.33      |      1819.98      |    1.10e+12     |   1.05e+06   |  0.00e+00  |   [15032385536]   |     [549755813888, 549755813888]     |   [2147483648]   |       2.60e-01       |       8.03e-01       |       2.97e-01        |  2.35e+08  |    11.52%    |
|    64    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[2, 8192, 32, 128], [2, 8192, 8, 128], [2, 8192, 8, 128]]      |  bf16  |     4102.23      |      4221.46      |     4255.12      |      3637.95      |    2.20e+12     |   2.10e+06   |  0.00e+00  |   [30064771072]   |    [1099511627776, 1099511627776]    |   [4294967296]   |       2.59e-01       |       7.98e-01       |       2.96e-01        |  4.70e+08  |    11.45%    |
|   128    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[4, 8192, 32, 128], [4, 8192, 8, 128], [4, 8192, 8, 128]]      |  bf16  |     8269.63      |      8465.41      |     8689.30      |      7273.90      |    4.40e+12     |   4.19e+06   |  0.00e+00  |   [60129542144]   |    [2199023255552, 2199023255552]    |   [8589934592]   |       2.57e-01       |       7.91e-01       |       2.93e-01        |  9.40e+08  |    11.36%    |
|    32    |   True   |   128    |   True   |    0.0    |  16384   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[1, 16384, 32, 128], [1, 16384, 8, 128], [1, 16384, 8, 128]]     |  bf16  |     8217.29      |      8364.01      |     8662.22      |      7273.90      |    4.40e+12     |   2.10e+06   |  0.00e+00  |   [60129542144]   |    [2199023255552, 2199023255552]    |   [8589934592]   |       2.58e-01       |       7.96e-01       |       2.95e-01        |  4.70e+08  |    5.72%     |
|    64    |   True   |   128    |   True   |    0.0    |  16384   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[2, 16384, 32, 128], [2, 16384, 8, 128], [2, 16384, 8, 128]]     |  bf16  |     16079.91     |     16794.12      |     17395.81     |     14545.80      |    8.80e+12     |   4.19e+06   |  0.00e+00  |  [120259084288]   |    [4398046511104, 4398046511104]    |  [17179869184]   |       2.64e-01       |       8.14e-01       |       3.02e-01        |  9.40e+08  |    5.84%     |
|   128    |   True   |   128    |   True   |    0.0    |  16384   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[4, 16384, 32, 128], [4, 16384, 8, 128], [4, 16384, 8, 128]]     |  bf16  |     32238.48     |     33945.49      |     34462.51     |     29089.61      |    1.76e+13     |   8.39e+06   |  0.00e+00  |  [240518168576]   |    [8796093022208, 8796093022208]    |  [34359738368]   |       2.63e-01       |       8.12e-01       |       3.01e-01        |  1.88e+09  |    5.83%     |
|    32    |   True   |   128    |   True   |    0.0    |  32768   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[1, 32768, 32, 128], [1, 32768, 8, 128], [1, 32768, 8, 128]]     |  bf16  |     32291.18     |     33791.47      |     34181.75     |     29089.61      |    1.76e+13     |   4.19e+06   |  0.00e+00  |  [240518168576]   |    [8796093022208, 8796093022208]    |  [34359738368]   |       2.63e-01       |       8.11e-01       |       3.00e-01        |  9.40e+08  |    2.91%     |
|    64    |   True   |   128    |   True   |    0.0    |  32768   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[2, 32768, 32, 128], [2, 32768, 8, 128], [2, 32768, 8, 128]]     |  bf16  |     66172.01     |     67989.70      |     68547.38     |     58177.22      |    3.52e+13     |   8.39e+06   |  0.00e+00  |  [481036337152]   |   [17592186044416, 17592186044416]   |  [68719476736]   |       2.57e-01       |       7.91e-01       |       2.93e-01        |  1.88e+09  |    2.84%     |
|   128    |   True   |   128    |   True   |    0.0    |  32768   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[4, 32768, 32, 128], [4, 32768, 8, 128], [4, 32768, 8, 128]]     |  bf16  |    133835.19     |     136280.80     |    137008.73     |     116352.44     |    7.04e+13     |   1.68e+07   |  0.00e+00  |  [962072674304]   |   [35184372088832, 35184372088832]   |  [137438953472]  |       2.54e-01       |       7.82e-01       |       2.90e-01        |  3.76e+09  |    2.81%     |
|    32    |   True   |   128    |   True   |    0.0    |  65536   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[1, 65536, 32, 128], [1, 65536, 8, 128], [1, 65536, 8, 128]]     |  bf16  |    134687.80     |     136768.50     |    137406.19     |     116352.44     |    7.04e+13     |   8.39e+06   |  0.00e+00  |  [962072674304]   |   [35184372088832, 35184372088832]   |  [137438953472]  |       2.52e-01       |       7.77e-01       |       2.88e-01        |  1.88e+09  |    1.40%     |
|    64    |   True   |   128    |   True   |    0.0    |  65536   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[2, 65536, 32, 128], [2, 65536, 8, 128], [2, 65536, 8, 128]]     |  bf16  |    276944.19     |     279189.59     |    280190.41     |     232702.87     |    1.41e+14     |   1.68e+07   |  0.00e+00  |  [1924145348608]  |   [70368744177664, 70368744177664]   |  [274877906944]  |       2.45e-01       |       7.56e-01       |       2.80e-01        |  3.76e+09  |    1.36%     |
|   128    |   True   |   128    |   True   |    0.0    |  65536   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[4, 65536, 32, 128], [4, 65536, 8, 128], [4, 65536, 8, 128]]     |  bf16  |    553179.31     |     558423.25     |    560794.75     |     465403.75     |    2.81e+14     |   3.36e+07   |  0.00e+00  |  [3848290697216]  |  [140737488355328, 140737488355328]  |  [549755813888]  |       2.46e-01       |       7.57e-01       |       2.81e-01        |  7.52e+09  |    1.36%     |
|    32    |   True   |   128    |   True   |    0.0    |  131072  |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 131072, 32, 128], [1, 131072, 8, 128], [1, 131072, 8, 128]]   |  bf16  |    585922.38     |     587076.81     |    588111.25     |     465403.75     |    2.81e+14     |   1.68e+07   |  0.00e+00  |  [3848290697216]  |  [140737488355328, 140737488355328]  |  [549755813888]  |       2.32e-01       |       7.15e-01       |       2.65e-01        |  3.76e+09  |    0.64%     |
|    32    |   True   |   128    |   True   |    0.0    |   2048   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 2048, 32, 128], [1, 2048, 32, 128], [1, 2048, 32, 128]]     |  bf16  |      192.68      |      193.77       |      195.19      |       59.67       |    6.87e+10     |   2.62e+05   |  0.00e+00  |    [939524096]    |      [34359738368, 34359738368]      |   [134217728]    |       1.72e-01       |       5.31e-01       |       1.97e-01        |  8.39e+07  |    43.54%    |
|    64    |   True   |   128    |   True   |    0.0    |   2048   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 2048, 32, 128], [2, 2048, 32, 128], [2, 2048, 32, 128]]     |  bf16  |      319.32      |      320.35       |      322.63      |      117.34       |    1.37e+11     |   5.24e+05   |  0.00e+00  |   [1879048192]    |      [68719476736, 68719476736]      |   [268435456]    |       2.08e-01       |       6.40e-01       |       2.37e-01        |  1.68e+08  |    52.54%    |
|   128    |   True   |   128    |   True   |    0.0    |   2048   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 2048, 32, 128], [4, 2048, 32, 128], [4, 2048, 32, 128]]     |  bf16  |      566.40      |      599.94       |      639.15      |      232.69       |    2.75e+11     |   1.05e+06   |  0.00e+00  |   [3758096384]    |     [137438953472, 137438953472]     |   [536870912]    |       2.34e-01       |       7.22e-01       |       2.68e-01        |  3.36e+08  |    59.24%    |
|    32    |   True   |   128    |   True   |    0.0    |   4096   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 4096, 32, 128], [1, 4096, 32, 128], [1, 4096, 32, 128]]     |  bf16  |      583.28      |      601.57       |      623.71      |      117.34       |    2.75e+11     |   5.24e+05   |  0.00e+00  |   [3758096384]    |     [137438953472, 137438953472]     |   [536870912]    |       2.27e-01       |       7.01e-01       |       2.60e-01        |  1.68e+08  |    28.76%    |
|    64    |   True   |   128    |   True   |    0.0    |   4096   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 4096, 32, 128], [2, 4096, 32, 128], [2, 4096, 32, 128]]     |  bf16  |     1046.28      |      1092.86      |     1152.82      |      232.69       |    5.50e+11     |   1.05e+06   |  0.00e+00  |   [7516192768]    |     [274877906944, 274877906944]     |   [1073741824]   |       2.54e-01       |       7.82e-01       |       2.90e-01        |  3.36e+08  |    32.07%    |
|   128    |   True   |   128    |   True   |    0.0    |   4096   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 4096, 32, 128], [4, 4096, 32, 128], [4, 4096, 32, 128]]     |  bf16  |     1981.21      |      2116.89      |     2302.74      |      463.37       |    1.10e+12     |   2.10e+06   |  0.00e+00  |   [15032385536]   |     [549755813888, 549755813888]     |   [2147483648]   |       2.68e-01       |       8.26e-01       |       3.06e-01        |  6.71e+08  |    33.87%    |
