Test Case: H100PCIE_aten_add
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  768  | N/A |          [[1, 768], [768]]           | bf16  |       2.55       |       2.56        |       2.58       |        2.0         | 7.68e+02 | 2.30e+03 |       0.0%       |     0.09%     |
|   2   |  768  | N/A |          [[2, 768], [768]]           | bf16  |       3.45       |       3.48        |       3.5        |        2.01        | 1.54e+03 | 4.61e+03 |       0.0%       |     0.13%     |
|   4   |  768  | N/A |          [[4, 768], [768]]           | bf16  |       3.5        |       3.52        |       3.55       |        2.01        | 3.07e+03 | 9.22e+03 |       0.0%       |     0.26%     |
|   8   |  768  | N/A |          [[8, 768], [768]]           | bf16  |       3.49       |       3.52        |       3.55       |        2.02        | 6.14e+03 | 1.84e+04 |       0.0%       |     0.53%     |
|  16   |  768  | N/A |          [[16, 768], [768]]          | bf16  |       3.53       |       3.55        |       3.58       |        2.05        | 1.23e+04 | 3.69e+04 |      0.01%       |     1.04%     |
|  32   |  768  | N/A |          [[32, 768], [768]]          | bf16  |       3.57       |       3.58        |       3.6        |        2.09        | 2.46e+04 | 7.37e+04 |      0.01%       |     2.07%     |
|  64   |  768  | N/A |          [[64, 768], [768]]          | bf16  |       3.64       |       3.66        |       3.69       |        2.18        | 4.92e+04 | 1.47e+05 |      0.03%       |     4.05%     |
|  128  |  768  | N/A |         [[128, 768], [768]]          | bf16  |       3.66       |       3.68        |       3.7        |        2.37        | 9.83e+04 | 2.95e+05 |      0.05%       |     8.06%     |
|  256  |  768  | N/A |         [[256, 768], [768]]          | bf16  |       3.78       |       3.79        |       3.8        |        2.74        | 1.97e+05 | 5.90e+05 |       0.1%       |     15.6%     |
|  512  |  768  | N/A |         [[512, 768], [768]]          | bf16  |       4.04       |       4.07        |       4.1        |        3.47        | 3.93e+05 | 1.18e+06 |      0.19%       |     29.2%     |
| 1024  |  768  | N/A |         [[1024, 768], [768]]         | bf16  |       5.11       |       5.16        |       5.21       |        4.95        | 7.86e+05 | 2.36e+06 |       0.3%       |    46.17%     |
| 2048  |  768  | N/A |         [[2048, 768], [768]]         | bf16  |       7.13       |       7.15        |       7.18       |        7.9         | 1.57e+06 | 4.72e+06 |      0.43%       |    66.18%     |
| 4096  |  768  | N/A |         [[4096, 768], [768]]         | bf16  |      11.18       |       11.21       |      11.25       |        13.8        | 3.15e+06 | 9.44e+06 |      0.55%       |    84.41%     |
| 8192  |  768  | N/A |         [[8192, 768], [768]]         | bf16  |      20.66       |       20.72       |      20.79       |       25.59        | 6.29e+06 | 1.89e+07 |       0.6%       |    91.36%     |
| 16384 |  768  | N/A |        [[16384, 768], [768]]         | bf16  |      44.53       |       44.58       |      44.62       |       49.19        | 1.26e+07 | 3.77e+07 |      0.55%       |    84.77%     |
| 32768 |  768  | N/A |        [[32768, 768], [768]]         | bf16  |      84.48       |       84.54       |      84.58       |       96.37        | 2.52e+07 | 7.55e+07 |      0.58%       |    89.37%     |
|   1   | 2048  | N/A |         [[1, 2048], [2048]]          | bf16  |       2.5        |       2.52        |       2.54       |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.25%     |
|   2   | 2048  | N/A |         [[2, 2048], [2048]]          | bf16  |       2.8        |       2.82        |       2.84       |        2.02        | 4.10e+03 | 1.23e+04 |       0.0%       |     0.44%     |
|   4   | 2048  | N/A |         [[4, 2048], [2048]]          | bf16  |       2.86       |       2.87        |       2.87       |        2.03        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.86%     |
|   8   | 2048  | N/A |         [[8, 2048], [2048]]          | bf16  |       3.4        |       3.41        |       3.42       |        2.06        | 1.64e+04 | 4.92e+04 |      0.01%       |     1.45%     |
|  16   | 2048  | N/A |         [[16, 2048], [2048]]         | bf16  |       3.41       |       3.42        |       3.44       |        2.12        | 3.28e+04 | 9.83e+04 |      0.02%       |     2.88%     |
|  32   | 2048  | N/A |         [[32, 2048], [2048]]         | bf16  |       3.44       |       3.45        |       3.47       |        2.25        | 6.55e+04 | 1.97e+05 |      0.04%       |     5.72%     |
|  64   | 2048  | N/A |         [[64, 2048], [2048]]         | bf16  |       3.55       |       3.56        |       3.58       |        2.49        | 1.31e+05 | 3.93e+05 |      0.07%       |    11.08%     |
|  128  | 2048  | N/A |        [[128, 2048], [2048]]         | bf16  |       3.68       |        3.7        |       3.72       |        2.98        | 2.62e+05 | 7.86e+05 |      0.14%       |    21.37%     |
|  256  | 2048  | N/A |        [[256, 2048], [2048]]         | bf16  |       4.08       |        4.1        |       4.12       |        3.97        | 5.24e+05 | 1.57e+06 |      0.25%       |    38.55%     |
|  512  | 2048  | N/A |        [[512, 2048], [2048]]         | bf16  |       5.79       |       5.82        |       5.86       |        5.93        | 1.05e+06 | 3.15e+06 |      0.36%       |    54.33%     |
| 1024  | 2048  | N/A |        [[1024, 2048], [2048]]        | bf16  |       8.3        |       8.31        |       8.32       |        9.86        | 2.10e+06 | 6.29e+06 |       0.5%       |     75.8%     |
