Test Case: H20SXM_aten_bmm
|  B  |  M   |  K   |  N   |              input_shape               | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 128 |  64  | 3072 | 2048 |  [[128, 64, 3072], [128, 3072, 2048]]  | bf16  |     1145.81      |      1146.1       |     1146.23      |       775.87       | 1.03e+11 | 8.47e+08 |      60.79%      |    36.97%     |
|  1  | 1024 | 3072 | 2048 |   [[1, 1024, 3072], [1, 3072, 2048]]   | bf16  |      121.4       |      121.56       |      121.77      |       98.73        | 1.29e+10 | 1.15e+07 |      71.71%      |     4.75%     |
|  8  | 1024 | 3072 | 2048 |   [[8, 1024, 3072], [8, 3072, 2048]]   | bf16  |     1190.39      |      1190.64      |     1190.77      |       775.87       | 1.03e+11 | 9.23e+07 |      58.51%      |     3.88%     |
| 128 | 1024 | 3072 | 2048 | [[128, 1024, 3072], [128, 3072, 2048]] | bf16  |     17896.41     |     17896.94      |     17897.44     |      12383.89      | 1.65e+12 | 1.48e+09 |      62.27%      |     4.12%     |
|  1  |  1   | 8192 | 2048 |    [[1, 1, 8192], [1, 8192, 2048]]     | bf16  |      37.91       |       37.99       |       38.1       |       12.49        | 3.36e+07 | 1.68e+07 |       0.6%       |    22.14%     |
|  8  |  1   | 8192 | 2048 |    [[8, 1, 8192], [8, 8192, 2048]]     | bf16  |      230.4       |       230.6       |      230.75      |       85.94        | 2.68e+08 | 1.34e+08 |      0.79%       |    29.14%     |
| 128 |  1   | 8192 | 2048 |  [[128, 1, 8192], [128, 8192, 2048]]   | bf16  |     3030.87      |      3031.45      |     3032.51      |       1345.0       | 4.29e+09 | 2.15e+09 |      0.96%       |    35.45%     |
|  1  |  64  | 8192 | 2048 |    [[1, 64, 8192], [1, 8192, 2048]]    | bf16  |      38.38       |       38.61       |      38.78       |       18.12        | 2.15e+09 | 1.74e+07 |      37.81%      |    22.71%     |
|  8  |  64  | 8192 | 2048 |    [[8, 64, 8192], [8, 8192, 2048]]    | bf16  |      235.53      |      235.68       |      235.86      |       130.98       | 1.72e+10 | 1.39e+08 |      49.28%      |    29.61%     |
| 128 |  64  | 8192 | 2048 |  [[128, 64, 8192], [128, 8192, 2048]]  | bf16  |     3031.09      |      3031.46      |     3032.11      |      2065.65       | 2.75e+11 | 2.23e+09 |      61.27%      |    36.81%     |
|  1  | 1024 | 8192 | 2048 |   [[1, 1024, 8192], [1, 8192, 2048]]   | bf16  |      307.67      |      307.89       |      308.07      |       259.96       | 3.44e+10 | 2.73e+07 |      75.46%      |     4.43%     |
|  8  | 1024 | 8192 | 2048 |   [[8, 1024, 8192], [8, 8192, 2048]]   | bf16  |     3110.44      |      3110.67      |     3110.88      |      2065.65       | 2.75e+11 | 2.18e+08 |      59.71%      |     3.51%     |
| 128 | 1024 | 8192 | 2048 | [[128, 1024, 8192], [128, 8192, 2048]] | bf16  |     46918.21     |     46919.15      |     46919.74     |      33020.37      | 4.40e+12 | 3.49e+09 |      63.34%      |     3.72%     |
|  1  |  1   |  32  | 8192 |      [[1, 1, 32], [1, 32, 8192]]       | bf16  |       13.4       |       13.65       |       13.9       |        2.17        | 5.24e+05 | 2.70e+05 |      0.03%       |     1.01%     |
|  8  |  1   |  32  | 8192 |      [[8, 1, 32], [8, 32, 8192]]       | bf16  |      13.32       |       13.58       |      13.85       |        3.35        | 4.19e+06 | 2.16e+06 |      0.21%       |     8.12%     |
| 128 |  1   |  32  | 8192 |    [[128, 1, 32], [128, 32, 8192]]     | bf16  |      60.48       |       60.6        |      60.72       |       23.63        | 6.71e+07 | 3.46e+07 |      0.75%       |    28.61%     |
|  1  |  64  |  32  | 8192 |      [[1, 64, 32], [1, 32, 8192]]      | bf16  |      13.82       |       14.11       |      14.29       |        2.49        | 3.36e+07 | 7.88e+05 |      1.64%       |     2.85%     |
|  8  |  64  |  32  | 8192 |      [[8, 64, 32], [8, 32, 8192]]      | bf16  |       15.2       |       15.26       |      15.36       |        5.94        | 2.68e+08 | 6.31e+06 |      11.93%      |    20.75%     |
| 128 |  64  |  32  | 8192 |    [[128, 64, 32], [128, 32, 8192]]    | bf16  |      145.15      |      145.46       |      145.74      |       65.08        | 4.29e+09 | 1.01e+08 |      19.99%      |    34.77%     |
|  1  | 1024 |  32  | 8192 |     [[1, 1024, 32], [1, 32, 8192]]     | bf16  |      21.77       |       21.9        |      21.98       |        7.43        | 5.37e+08 | 8.68e+06 |      16.66%      |    19.94%     |
|  8  | 1024 |  32  | 8192 |     [[8, 1024, 32], [8, 32, 8192]]     | bf16  |      128.47      |       128.6       |      128.75      |       45.42        | 4.29e+09 | 6.95e+07 |      22.59%      |    27.04%     |
| 128 | 1024 |  32  | 8192 |   [[128, 1024, 32], [128, 32, 8192]]   | bf16  |     1879.01      |      1879.99      |     1880.74      |       696.68       | 6.87e+10 | 1.11e+09 |      24.71%      |    29.58%     |
|  1  |  1   | 3072 | 8192 |    [[1, 1, 3072], [1, 3072, 8192]]     | bf16  |      37.88       |       37.95       |      38.01       |       17.74        | 5.03e+07 | 2.52e+07 |       0.9%       |    33.23%     |
|  8  |  1   | 3072 | 8192 |    [[8, 1, 3072], [8, 3072, 8192]]     | bf16  |      303.78      |      303.97       |      304.16      |       127.89       | 4.03e+08 | 2.01e+08 |       0.9%       |    33.15%     |
| 128 |  1   | 3072 | 8192 |  [[128, 1, 3072], [128, 3072, 8192]]   | bf16  |     4467.89      |      4468.18      |     4468.41      |      2016.17       | 6.44e+09 | 3.22e+09 |      0.97%       |    36.06%     |
|  1  |  64  | 3072 | 8192 |    [[1, 64, 3072], [1, 3072, 8192]]    | bf16  |      38.12       |       38.27       |      38.44       |       26.18        | 3.22e+09 | 2.59e+07 |      57.1%       |    33.95%     |
|  8  |  64  | 3072 | 8192 |    [[8, 64, 3072], [8, 3072, 8192]]    | bf16  |      304.18      |      304.32       |      304.48      |       195.47       | 2.58e+10 | 2.07e+08 |      57.24%      |    34.04%     |
| 128 |  64  | 3072 | 8192 |  [[128, 64, 3072], [128, 3072, 8192]]  | bf16  |     4468.52      |      4468.76      |     4469.07      |      3097.47       | 4.12e+11 | 3.31e+09 |      62.35%      |    37.08%     |
|  1  | 1024 | 3072 | 8192 |   [[1, 1024, 3072], [1, 3072, 8192]]   | bf16  |      399.83      |      399.95       |      400.12      |       388.93       | 5.15e+10 | 3.67e+07 |      87.1%       |     4.59%     |
|  8  | 1024 | 3072 | 8192 |   [[8, 1024, 3072], [8, 3072, 8192]]   | bf16  |     4568.01      |      4568.24      |     4568.59      |      3097.47       | 4.12e+11 | 2.94e+08 |      60.99%      |     3.21%     |
| 128 | 1024 | 3072 | 8192 | [[128, 1024, 3072], [128, 3072, 8192]] | bf16  |     71053.85     |      71056.4      |     71057.62     |      49529.55      | 6.60e+12 | 4.70e+09 |      62.73%      |     3.31%     |
|  1  |  1   | 8192 | 8192 |    [[1, 1, 8192], [1, 8192, 8192]]     | bf16  |       84.4       |       84.55       |      84.67       |       43.95        | 1.34e+08 | 6.71e+07 |      1.07%       |    39.77%     |
|  8  |  1   | 8192 | 8192 |    [[8, 1, 8192], [8, 8192, 8192]]     | bf16  |      793.43      |      793.52       |      793.6       |       337.63       | 1.07e+09 | 5.37e+08 |      0.91%       |    33.84%     |
| 128 |  1   | 8192 | 8192 |  [[128, 1, 8192], [128, 8192, 8192]]   | bf16  |     11861.91     |     11862.24      |     11862.72     |      5372.02       | 1.72e+10 | 8.59e+09 |      0.98%       |    36.22%     |
|  1  |  64  | 8192 | 8192 |    [[1, 64, 8192], [1, 8192, 8192]]    | bf16  |      84.73       |       84.92       |      85.18       |       66.49        | 8.59e+09 | 6.82e+07 |      68.5%       |    40.22%     |
|  8  |  64  | 8192 | 8192 |    [[8, 64, 8192], [8, 8192, 8192]]    | bf16  |      793.94      |      794.96       |      796.64      |       517.91       | 6.87e+10 | 5.45e+08 |      58.48%      |    34.34%     |
| 128 |  64  | 8192 | 8192 |  [[128, 64, 8192], [128, 8192, 8192]]  | bf16  |     11862.2      |     11862.63      |     11863.27     |      8256.59       | 1.10e+12 | 8.72e+09 |      62.63%      |    36.77%     |
|  1  | 1024 | 8192 | 8192 |   [[1, 1024, 8192], [1, 8192, 8192]]   | bf16  |     1043.92      |      1045.19      |     1047.26      |      1033.82       | 1.37e+11 | 8.39e+07 |      88.96%      |     4.02%     |
|  8  | 1024 | 8192 | 8192 |   [[8, 1024, 8192], [8, 8192, 8192]]   | bf16  |     11959.48     |     11959.79      |     11960.14     |      8256.59       | 1.10e+12 | 6.71e+08 |      62.12%      |     2.81%     |
