test case : H20SXM_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |        input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[8, 32, 3, 1, 64]]     |  bf16  |       8.56       |       8.58        |       8.65       |       2.00        |   [56]   |    [1024, 1024]    |    [8]    |      3.01e-07      |      1.82e-06      |      6.20e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[16, 32, 3, 1, 64]]    |  bf16  |       8.50       |       8.54        |       8.60       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      6.06e-07      |      3.66e-06      |      1.25e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[32, 32, 3, 1, 64]]    |  bf16  |       8.61       |       8.63        |       8.67       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      1.20e-06      |      7.23e-06      |      2.46e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[1, 64, 3, 1, 64]]     |  bf16  |       8.42       |       8.45        |       8.50       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      3.82e-08      |      2.31e-07      |      7.87e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[2, 64, 3, 1, 64]]     |  bf16  |       8.43       |       8.46        |       8.49       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      7.64e-08      |      4.62e-07      |      1.57e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[4, 64, 3, 1, 64]]     |  bf16  |       8.46       |       8.49        |       8.52       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.52e-07      |      9.20e-07      |      3.13e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[8, 64, 3, 1, 64]]     |  bf16  |       8.66       |       8.68        |       8.73       |       2.00        |   [56]   |    [1024, 1024]    |    [8]    |      2.98e-07      |      1.80e-06      |      6.12e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[16, 64, 3, 1, 64]]    |  bf16  |       8.63       |       8.68        |       8.74       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      5.97e-07      |      3.61e-06      |      1.23e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[32, 64, 3, 1, 64]]    |  bf16  |       8.72       |       8.76        |       8.79       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      1.18e-06      |      7.14e-06      |      2.43e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[1, 128, 3, 1, 64]]    |  bf16  |       7.89       |       7.92        |       7.96       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      4.08e-08      |      2.47e-07      |      8.40e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[2, 128, 3, 1, 64]]    |  bf16  |       7.91       |       7.94        |       7.97       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      8.15e-08      |      4.92e-07      |      1.68e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[4, 128, 3, 1, 64]]    |  bf16  |       7.92       |       7.98        |       8.05       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.63e-07      |      9.83e-07      |      3.35e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[8, 128, 3, 1, 64]]    |  bf16  |       8.14       |       8.16        |       8.18       |       2.00        |   [56]   |    [1024, 1024]    |    [8]    |      3.17e-07      |      1.91e-06      |      6.52e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |   [[16, 128, 3, 1, 64]]    |  bf16  |       8.05       |       8.09        |       8.13       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      6.40e-07      |      3.87e-06      |      1.32e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |   [[32, 128, 3, 1, 64]]    |  bf16  |       8.18       |       8.20        |       8.22       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      1.26e-06      |      7.61e-06      |      2.59e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
