Test Case: H20SXM_apex_fused_layer_norm_cuda.forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|  64   |  192  |  [192]  | 0.0001  |   [[64, 192]]    | bf16  |       2.99       |        3.0        |       3.02       |        2.02        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.07%        |        0.07%         |     0.41%     |
|  128  |  192  |  [192]  | 0.0001  |   [[128, 192]]   | bf16  |       2.97       |       3.02        |       3.05       |        2.03        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.15%        |        0.15%         |     0.83%     |
|  256  |  192  |  [192]  | 0.0001  |   [[256, 192]]   | bf16  |       3.11       |       3.13        |       3.19       |        2.06        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.29%        |        0.29%         |     1.58%     |
|  512  |  192  |  [192]  | 0.0001  |   [[512, 192]]   | bf16  |       3.38       |       3.41        |       3.47       |        2.12        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.53%        |        0.53%         |     2.91%     |
| 1024  |  192  |  [192]  | 0.0001  |  [[1024, 192]]   | bf16  |       4.97       |       4.99        |       5.03       |        2.25        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.72%        |        0.72%         |     3.96%     |
| 2048  |  192  |  [192]  | 0.0001  |  [[2048, 192]]   | bf16  |       7.26       |       7.28        |       7.3        |        2.49        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        0.98%        |        0.98%         |     5.42%     |
| 4096  |  192  |  [192]  | 0.0001  |  [[4096, 192]]   | bf16  |      12.28       |       12.31       |      12.36       |        2.98        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        1.16%        |        1.16%         |     6.4%      |
| 8192  |  192  |  [192]  | 0.0001  |  [[8192, 192]]   | bf16  |      21.85       |       21.89       |      21.96       |        3.97        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        1.31%        |        1.31%         |     7.2%      |
| 16384 |  192  |  [192]  | 0.0001  |  [[16384, 192]]  | bf16  |      41.06       |       41.09       |      41.15       |        5.93        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        1.39%        |        1.39%         |     7.66%     |
| 32768 |  192  |  [192]  | 0.0001  |  [[32768, 192]]  | bf16  |      80.82       |       80.86       |      80.91       |        9.86        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        1.42%        |        1.42%         |     7.78%     |
| 65536 |  192  |  [192]  | 0.0001  |  [[65536, 192]]  | bf16  |      169.51      |      169.56       |      169.65      |       17.73        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        1.35%        |        1.35%         |     7.42%     |
|   1   | 3072  | [3072]  | 0.0001  |   [[1, 3072]]    | bf16  |       4.7        |       4.72        |       4.75       |        2.0         | 2.46e+04 | 3.07e+03  | 6.14e+03 |        0.01%        |        0.01%         |     0.07%     |
|   2   | 3072  | [3072]  | 0.0001  |   [[2, 3072]]    | bf16  |       4.69       |       4.72        |       4.75       |        2.01        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.02%        |        0.02%         |     0.13%     |
|   4   | 3072  | [3072]  | 0.0001  |   [[4, 3072]]    | bf16  |       4.69       |       4.72        |       4.75       |        2.02        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.05%        |        0.05%         |     0.26%     |
|   8   | 3072  | [3072]  | 0.0001  |   [[8, 3072]]    | bf16  |       4.73       |       4.77        |       4.81       |        2.03        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.09%        |        0.09%         |     0.52%     |
|  16   | 3072  | [3072]  | 0.0001  |   [[16, 3072]]   | bf16  |       4.76       |       4.79        |       4.83       |        2.06        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.19%        |        0.19%         |     1.03%     |
|  32   | 3072  | [3072]  | 0.0001  |   [[32, 3072]]   | bf16  |       4.81       |       4.83        |       4.86       |        2.12        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.37%        |        0.37%         |     2.04%     |
|  64   | 3072  | [3072]  | 0.0001  |   [[64, 3072]]   | bf16  |       4.88       |       4.89        |       4.92       |        2.25        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.73%        |        0.73%         |     4.03%     |
|  128  | 3072  | [3072]  | 0.0001  |  [[128, 3072]]   | bf16  |       5.0        |       5.03        |       5.08       |        2.49        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        1.43%        |        1.43%         |     7.86%     |
|  256  | 3072  | [3072]  | 0.0001  |  [[256, 3072]]   | bf16  |       5.6        |       5.66        |       5.7        |        2.98        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        2.55%        |        2.55%         |    14.04%     |
|  512  | 3072  | [3072]  | 0.0001  |  [[512, 3072]]   | bf16  |       7.56       |        7.6        |       7.63       |        3.97        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        3.78%        |        3.78%         |    20.81%     |
| 1024  | 3072  | [3072]  | 0.0001  |  [[1024, 3072]]  | bf16  |      11.54       |       11.61       |       11.7       |        5.93        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        4.96%        |        4.96%         |    27.26%     |
| 2048  | 3072  | [3072]  | 0.0001  |  [[2048, 3072]]  | bf16  |      19.72       |       19.85       |      19.91       |        9.86        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        5.8%         |         5.8%         |     31.9%     |
| 4096  | 3072  | [3072]  | 0.0001  |  [[4096, 3072]]  | bf16  |      41.75       |       41.87       |      41.93       |       17.73        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        5.48%        |        5.48%         |    30.14%     |
| 8192  | 3072  | [3072]  | 0.0001  |  [[8192, 3072]]  | bf16  |      78.68       |       78.78       |      78.86       |       33.46        | 2.01e+08 | 2.52e+07  | 5.03e+07 |        5.82%        |        5.82%         |    31.99%     |
| 16384 | 3072  | [3072]  | 0.0001  | [[16384, 3072]]  | bf16  |      150.05      |      150.13       |      150.24      |       64.91        | 4.03e+08 | 5.03e+07  | 1.01e+08 |        6.1%         |         6.1%         |    33.54%     |
| 32768 | 3072  | [3072]  | 0.0001  | [[32768, 3072]]  | bf16  |      297.46      |      297.58       |      297.72      |       127.83       | 8.05e+08 | 1.01e+08  | 2.01e+08 |        6.15%        |        6.15%         |    33.84%     |
| 65536 | 3072  | [3072]  | 0.0001  | [[65536, 3072]]  | bf16  |      582.81      |      582.93       |      583.01      |       253.66       | 1.61e+09 | 2.01e+08  | 4.03e+08 |        6.28%        |        6.28%         |    34.54%     |
|   1   | 6144  | [6144]  | 0.0001  |   [[1, 6144]]    | bf16  |       6.91       |       6.93        |       6.97       |        2.01        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.02%        |        0.02%         |     0.09%     |
|   2   | 6144  | [6144]  | 0.0001  |   [[2, 6144]]    | bf16  |       6.95       |       6.98        |       7.01       |        2.02        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.03%        |        0.03%         |     0.18%     |
|   4   | 6144  | [6144]  | 0.0001  |   [[4, 6144]]    | bf16  |       6.96       |       6.98        |       7.02       |        2.03        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.06%        |        0.06%         |     0.35%     |
|   8   | 6144  | [6144]  | 0.0001  |   [[8, 6144]]    | bf16  |       7.02       |       7.04        |       7.07       |        2.06        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.13%        |        0.13%         |     0.7%      |
|  16   | 6144  | [6144]  | 0.0001  |   [[16, 6144]]   | bf16  |       7.0        |       7.02        |       7.03       |        2.12        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.26%        |        0.26%         |     1.4%      |
|  32   | 6144  | [6144]  | 0.0001  |   [[32, 6144]]   | bf16  |       7.02       |       7.06        |       7.09       |        2.25        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.51%        |        0.51%         |     2.8%      |
|  64   | 6144  | [6144]  | 0.0001  |   [[64, 6144]]   | bf16  |       7.1        |       7.12        |       7.15       |        2.49        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        1.01%        |        1.01%         |     5.54%     |
|  128  | 6144  | [6144]  | 0.0001  |  [[128, 6144]]   | bf16  |       7.32       |       7.34        |       7.38       |        2.98        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        1.95%        |        1.95%         |    10.74%     |
