Test Case: H20SXM_aten_add
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   4   | 2048  | N/A |         [[4, 2048], [2048]]          | bf16  |       2.73       |       2.76        |       2.8        |        2.02        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.45%     |
|   8   | 2048  | N/A |         [[8, 2048], [2048]]          | bf16  |       2.72       |       2.74        |       2.76       |        2.03        | 1.64e+04 | 4.92e+04 |      0.01%       |     0.9%      |
|  16   | 2048  | N/A |         [[16, 2048], [2048]]         | bf16  |       2.77       |        2.8        |       2.84       |        2.06        | 3.28e+04 | 9.83e+04 |      0.03%       |     1.77%     |
|  32   | 2048  | N/A |         [[32, 2048], [2048]]         | bf16  |       2.77       |       2.79        |       2.81       |        2.12        | 6.55e+04 | 1.97e+05 |      0.05%       |     3.55%     |
|  64   | 2048  | N/A |         [[64, 2048], [2048]]         | bf16  |       2.91       |       2.93        |       2.96       |        2.25        | 1.31e+05 | 3.93e+05 |       0.1%       |     6.76%     |
|  128  | 2048  | N/A |        [[128, 2048], [2048]]         | bf16  |       3.07       |       3.09        |       3.11       |        2.49        | 2.62e+05 | 7.86e+05 |      0.19%       |    12.81%     |
|  256  | 2048  | N/A |        [[256, 2048], [2048]]         | bf16  |       4.11       |       4.14        |       4.18       |        2.98        | 5.24e+05 | 1.57e+06 |      0.29%       |    19.13%     |
|  512  | 2048  | N/A |        [[512, 2048], [2048]]         | bf16  |       5.77       |       5.81        |       5.84       |        3.97        | 1.05e+06 | 3.15e+06 |      0.41%       |    27.26%     |
| 1024  | 2048  | N/A |        [[1024, 2048], [2048]]        | bf16  |       9.26       |        9.3        |       9.34       |        5.93        | 2.10e+06 | 6.29e+06 |      0.51%       |    33.97%     |
| 2048  | 2048  | N/A |        [[2048, 2048], [2048]]        | bf16  |       16.2       |       16.24       |      16.28       |        9.86        | 4.19e+06 | 1.26e+07 |      0.59%       |    38.84%     |
| 4096  | 2048  | N/A |        [[4096, 2048], [2048]]        | bf16  |      31.43       |       31.46       |       31.5       |       17.73        | 8.39e+06 | 2.52e+07 |      0.61%       |    40.03%     |
| 8192  | 2048  | N/A |        [[8192, 2048], [2048]]        | bf16  |      70.72       |       70.76       |       70.8       |       33.46        | 1.68e+07 | 5.03e+07 |      0.54%       |    35.59%     |
| 16384 | 2048  | N/A |       [[16384, 2048], [2048]]        | bf16  |      138.04      |      138.08       |      138.12      |       64.91        | 3.36e+07 | 1.01e+08 |      0.55%       |    36.46%     |
| 32768 | 2048  | N/A |       [[32768, 2048], [2048]]        | bf16  |      272.46      |      272.69       |      272.91      |       127.83       | 6.71e+07 | 2.01e+08 |      0.56%       |    36.95%     |
|   1   | 3072  | N/A |         [[1, 3072], [3072]]          | bf16  |       1.77       |       1.83        |       1.91       |        2.01        | 3.07e+03 | 9.22e+03 |       0.0%       |     0.26%     |
|   2   | 3072  | N/A |         [[2, 3072], [3072]]          | bf16  |       2.64       |       2.69        |       2.75       |        2.01        | 6.14e+03 | 1.84e+04 |      0.01%       |     0.35%     |
|   4   | 3072  | N/A |         [[4, 3072], [3072]]          | bf16  |       2.7        |       2.74        |       2.78       |        2.02        | 1.23e+04 | 3.69e+04 |      0.01%       |     0.68%     |
|   8   | 3072  | N/A |         [[8, 3072], [3072]]          | bf16  |       2.77       |       2.79        |       2.8        |        2.05        | 2.46e+04 | 7.37e+04 |      0.02%       |     1.33%     |
|  16   | 3072  | N/A |         [[16, 3072], [3072]]         | bf16  |       2.78       |       2.81        |       2.84       |        2.09        | 4.92e+04 | 1.47e+05 |      0.04%       |     2.65%     |
|  32   | 3072  | N/A |         [[32, 3072], [3072]]         | bf16  |       2.83       |       2.86        |       2.89       |        2.18        | 9.83e+04 | 2.95e+05 |      0.08%       |     5.21%     |
|  64   | 3072  | N/A |         [[64, 3072], [3072]]         | bf16  |       3.01       |       3.04        |       3.07       |        2.37        | 1.97e+05 | 5.90e+05 |      0.15%       |     9.8%      |
|  128  | 3072  | N/A |        [[128, 3072], [3072]]         | bf16  |       3.42       |       3.43        |       3.45       |        2.74        | 3.93e+05 | 1.18e+06 |      0.26%       |    17.25%     |
|  256  | 3072  | N/A |        [[256, 3072], [3072]]         | bf16  |       5.01       |       5.04        |       5.07       |        3.47        | 7.86e+05 | 2.36e+06 |      0.36%       |    23.55%     |
|  512  | 3072  | N/A |        [[512, 3072], [3072]]         | bf16  |       7.51       |       7.53        |       7.55       |        4.95        | 1.57e+06 | 4.72e+06 |      0.48%       |    31.42%     |
| 1024  | 3072  | N/A |        [[1024, 3072], [3072]]        | bf16  |      12.76       |       12.79       |      12.82       |        7.9         | 3.15e+06 | 9.44e+06 |      0.56%       |    36.98%     |
| 2048  | 3072  | N/A |        [[2048, 3072], [3072]]        | bf16  |      24.04       |       24.09       |      24.13       |        13.8        | 6.29e+06 | 1.89e+07 |      0.59%       |    39.26%     |
| 4096  | 3072  | N/A |        [[4096, 3072], [3072]]        | bf16  |      52.05       |       52.09       |      52.13       |       25.59        | 1.26e+07 | 3.77e+07 |      0.55%       |    36.26%     |
| 8192  | 3072  | N/A |        [[8192, 3072], [3072]]        | bf16  |      104.43      |       104.5       |      104.57      |       49.19        | 2.52e+07 | 7.55e+07 |      0.55%       |    36.15%     |
| 16384 | 3072  | N/A |       [[16384, 3072], [3072]]        | bf16  |      205.38      |      205.43       |      205.47      |       96.37        | 5.03e+07 | 1.51e+08 |      0.56%       |    36.76%     |
| 32768 | 3072  | N/A |       [[32768, 3072], [3072]]        | bf16  |      407.02      |      407.09       |      407.16      |       190.74       | 1.01e+08 | 3.02e+08 |      0.56%       |     37.1%     |
|   1   | 4096  | N/A |         [[1, 4096], [4096]]          | bf16  |       1.8        |       1.83        |       1.85       |        2.01        | 4.10e+03 | 1.23e+04 |      0.01%       |     0.34%     |
|   2   | 4096  | N/A |         [[2, 4096], [4096]]          | bf16  |       2.72       |       2.73        |       2.74       |        2.02        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.45%     |
|   4   | 4096  | N/A |         [[4, 4096], [4096]]          | bf16  |       2.75       |       2.77        |       2.79       |        2.03        | 1.64e+04 | 4.92e+04 |      0.01%       |     0.89%     |
