test case : H20SXM_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |  flops_1D   |          flops_2D          | flops_SFU  | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[1, 8192, 32, 128], [1, 8192, 8, 128], [1, 8192, 8, 128]]     |  bf16  |     6599.70      |      6620.05      |     6631.85      |       2.04        | [1503238... | [549755813888, 54975581... | [214748... |      1.05e-01      |      1.27e+00      |      2.16e-01       |  2.71e+08  |       10.48%       |      126.64%       |       21.56%        |    2.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[2, 8192, 32, 128], [2, 8192, 8, 128], [2, 8192, 8, 128]]     |  bf16  |     12766.77     |     12777.30      |     12787.58     |       2.08        | [3006477... | [1099511627776, 1099511... | [429496... |      1.08e-01      |      1.31e+00      |      2.23e-01       |  5.39e+08  |       10.84%       |      130.93%       |       22.30%        |    2.11%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[4, 8192, 32, 128], [4, 8192, 8, 128], [4, 8192, 8, 128]]     |  bf16  |     25090.92     |     25105.52      |     25116.47     |       2.05        | [6012954... | [2199023255552, 2199023... | [858993... |      1.10e-01      |      1.33e+00      |      2.27e-01       |  1.08e+09  |       11.03%       |      133.24%       |       22.69%        |    2.14%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[8, 8192, 32, 128], [8, 8192, 8, 128], [8, 8192, 8, 128]]     |  bf16  |     49751.69     |     49764.11      |     49773.66     |       2.09        | [1202590... | [4398046511104, 4398046... | [171798... |      1.11e-01      |      1.34e+00      |      2.29e-01       |  2.15e+09  |       11.12%       |      134.39%       |       22.88%        |    2.16%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 16384, 32, 128], [1, 16384, 8, 128], [1, 16384, 8, 128]]   |  bf16  |     25318.47     |     25344.35      |     25366.25     |       2.17        | [6012954... | [2199023255552, 2199023... | [858993... |      1.09e-01      |      1.32e+00      |      2.25e-01       |  5.41e+08  |       10.93%       |      132.04%       |       22.48%        |    1.07%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 16384, 32, 128], [2, 16384, 8, 128], [2, 16384, 8, 128]]   |  bf16  |     49723.04     |     49751.64      |     49773.96     |       2.34        | [1202590... | [4398046511104, 4398046... | [171798... |      1.11e-01      |      1.34e+00      |      2.29e-01       |  1.08e+09  |       11.13%       |      134.47%       |       22.90%        |    1.08%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 2048, 32, 128], [1, 2048, 32, 128], [1, 2048, 32, 128]]    |  bf16  |      527.82      |      529.78       |      530.83      |       2.05        | [939524096] | [34359738368, 34359738368] | [134217... |      8.19e-02      |      9.90e-01      |      1.69e-01       |  6.76e+07  |       8.19%        |       98.97%       |       16.85%        |    6.41%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 2048, 32, 128], [2, 2048, 32, 128], [2, 2048, 32, 128]]    |  bf16  |      937.62      |      940.27       |      942.30      |       2.09        | [1879048... | [68719476736, 68719476736] | [268435... |      9.22e-02      |      1.11e+00      |      1.90e-01       |  1.35e+08  |       9.22%        |      111.42%       |       18.97%        |    7.19%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 2048, 32, 128], [4, 2048, 32, 128], [4, 2048, 32, 128]]    |  bf16  |     1758.74      |      1762.04      |     1765.07      |       2.17        | [3758096... | [137438953472, 13743895... | [536870... |      9.83e-02      |      1.19e+00      |      2.02e-01       |  2.69e+08  |       9.83%        |      118.80%       |       20.23%        |    7.65%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[8, 2048, 32, 128], [8, 2048, 32, 128], [8, 2048, 32, 128]]    |  bf16  |     3406.09      |      3407.74      |     3409.18      |       2.34        | [7516192... | [274877906944, 27487790... | [107374... |      1.02e-01      |      1.23e+00      |      2.09e-01       |  5.37e+08  |       10.16%       |      122.69%       |       20.89%        |    7.89%     |
