Test Case: H20SXM_aten_sub
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 32768 | 13824 | N/A |      [[32768, 13824], [13824]]       | bf16  |     1817.32      |      1817.78      |     1818.32      |       851.35       | 4.53e+08 | 1.36e+09 |      0.57%       |    37.39%     |
|   1   | 16384 | N/A |        [[1, 16384], [16384]]         | bf16  |       1.64       |       1.67        |       1.71       |        2.03        | 1.64e+04 | 4.92e+04 |      0.02%       |     1.5%      |
|   2   | 16384 | N/A |        [[2, 16384], [16384]]         | bf16  |       2.59       |       2.61        |       2.63       |        2.06        | 3.28e+04 | 9.83e+04 |      0.03%       |     1.9%      |
|   4   | 16384 | N/A |        [[4, 16384], [16384]]         | bf16  |       2.63       |       2.65        |       2.69       |        2.12        | 6.55e+04 | 1.97e+05 |      0.06%       |     3.74%     |
|   8   | 16384 | N/A |        [[8, 16384], [16384]]         | bf16  |       2.7        |       2.73        |       2.77       |        2.25        | 1.31e+05 | 3.93e+05 |      0.11%       |     7.28%     |
|  16   | 16384 | N/A |        [[16, 16384], [16384]]        | bf16  |       3.07       |        3.1        |       3.13       |        2.49        | 2.62e+05 | 7.86e+05 |      0.19%       |    12.81%     |
|  32   | 16384 | N/A |        [[32, 16384], [16384]]        | bf16  |       4.13       |       4.15        |       4.17       |        2.98        | 5.24e+05 | 1.57e+06 |      0.29%       |    19.04%     |
|  64   | 16384 | N/A |        [[64, 16384], [16384]]        | bf16  |       5.78       |        5.8        |       5.84       |        3.97        | 1.05e+06 | 3.15e+06 |      0.41%       |    27.21%     |
|  128  | 16384 | N/A |       [[128, 16384], [16384]]        | bf16  |       9.25       |       9.29        |       9.33       |        5.93        | 2.10e+06 | 6.29e+06 |      0.52%       |    34.01%     |
|  256  | 16384 | N/A |       [[256, 16384], [16384]]        | bf16  |      16.21       |       16.24       |      16.28       |        9.86        | 4.19e+06 | 1.26e+07 |      0.59%       |    38.81%     |
|  512  | 16384 | N/A |       [[512, 16384], [16384]]        | bf16  |      31.36       |       31.41       |      31.47       |       17.73        | 8.39e+06 | 2.52e+07 |      0.61%       |    40.12%     |
| 1024  | 16384 | N/A |       [[1024, 16384], [16384]]       | bf16  |      70.65       |       70.74       |      70.81       |       33.46        | 1.68e+07 | 5.03e+07 |      0.54%       |    35.62%     |
| 2048  | 16384 | N/A |       [[2048, 16384], [16384]]       | bf16  |      137.9       |      137.98       |      138.05      |       64.91        | 3.36e+07 | 1.01e+08 |      0.55%       |     36.5%     |
| 4096  | 16384 | N/A |       [[4096, 16384], [16384]]       | bf16  |      272.53      |      272.59       |      272.65      |       127.83       | 6.71e+07 | 2.01e+08 |      0.56%       |    36.94%     |
| 8192  | 16384 | N/A |       [[8192, 16384], [16384]]       | bf16  |      541.63      |      541.75       |      541.85      |       253.66       | 1.34e+08 | 4.03e+08 |      0.56%       |    37.17%     |
| 16384 | 16384 | N/A |      [[16384, 16384], [16384]]       | bf16  |     1078.26      |      1078.72      |      1079.1      |       505.32       | 2.68e+08 | 8.05e+08 |      0.57%       |    37.34%     |
| 32768 | 16384 | N/A |      [[32768, 16384], [16384]]       | bf16  |     2154.08      |      2154.68      |     2155.27      |      1008.63       | 5.37e+08 | 1.61e+09 |      0.57%       |    37.39%     |
|   1   |  32   | N/A |          [[1, 32], [1, 32]]          | bf16  |       1.58       |       1.63        |       1.68       |        2.0         | 3.20e+01 | 9.60e+01 |       0.0%       |     0.0%      |
