test case : H20SXM_aten::scaled_dot_product_attention
|  is_causal  |  scale   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |  flops_1D   |          flops_2D          |  flops_SFU  | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|    True     |   0.08   |         [[8, 1, 32, 64], [8, 1, 32, 64], [8, 1, 32, 64]]          |  bf16  |       8.30       |       8.32        |       8.35       |       2.08        |   [1792]    |       [32768, 32768]       |    [256]    |      9.93e-06      |      6.00e-05      |      2.04e-05       |  1.31e+05  |       0.00%        |       0.01%        |        0.00%        |    0.79%     |
|    True     |   0.08   |        [[16, 1, 32, 64], [16, 1, 32, 64], [16, 1, 32, 64]]        |  bf16  |       8.28       |       8.31        |       8.34       |       2.16        |   [3584]    |       [65536, 65536]       |    [512]    |      1.99e-05      |      1.20e-04      |      4.10e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.00%        |    1.58%     |
|    True     |   0.08   |        [[32, 1, 32, 64], [32, 1, 32, 64], [32, 1, 32, 64]]        |  bf16  |       8.32       |       8.34        |       8.37       |       2.33        |   [7168]    |      [131072, 131072]      |   [1024]    |      3.97e-05      |      2.40e-04      |      8.16e-05       |  5.24e+05  |       0.00%        |       0.02%        |        0.01%        |    3.15%     |
|    True     |   0.08   |         [[1, 1, 64, 64], [1, 1, 64, 64], [1, 1, 64, 64]]          |  bf16  |       8.01       |       8.06        |       8.12       |       2.02        |    [448]    |        [8192, 8192]        |    [64]     |      2.57e-06      |      1.56e-05      |      5.30e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    0.21%     |
|    True     |   0.08   |         [[2, 1, 64, 64], [2, 1, 64, 64], [2, 1, 64, 64]]          |  bf16  |       8.04       |       8.07        |       8.11       |       2.04        |    [896]    |       [16384, 16384]       |    [128]    |      5.13e-06      |      3.10e-05      |      1.06e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.41%     |
|    True     |   0.08   |         [[4, 1, 64, 64], [4, 1, 64, 64], [4, 1, 64, 64]]          |  bf16  |       8.05       |       8.07        |       8.10       |       2.08        |   [1792]    |       [32768, 32768]       |    [256]    |      1.02e-05      |      6.18e-05      |      2.11e-05       |  1.31e+05  |       0.00%        |       0.01%        |        0.00%        |    0.81%     |
|    True     |   0.08   |         [[8, 1, 64, 64], [8, 1, 64, 64], [8, 1, 64, 64]]          |  bf16  |       8.35       |       8.37        |       8.39       |       2.16        |   [3584]    |       [65536, 65536]       |    [512]    |      1.97e-05      |      1.19e-04      |      4.06e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.00%        |    1.57%     |
|    True     |   0.08   |        [[16, 1, 64, 64], [16, 1, 64, 64], [16, 1, 64, 64]]        |  bf16  |       8.31       |       8.34        |       8.40       |       2.33        |   [7168]    |      [131072, 131072]      |   [1024]    |      3.97e-05      |      2.40e-04      |      8.16e-05       |  5.24e+05  |       0.00%        |       0.02%        |        0.01%        |    3.15%     |
|    True     |   0.08   |        [[32, 1, 64, 64], [32, 1, 64, 64], [32, 1, 64, 64]]        |  bf16  |       8.33       |       8.35        |       8.37       |       2.66        |   [14336]   |      [262144, 262144]      |   [2048]    |      7.92e-05      |      4.79e-04      |      1.63e-04       |  1.05e+06  |       0.01%        |       0.05%        |        0.02%        |    6.30%     |
|    True     |   0.08   |        [[1, 1, 128, 64], [1, 1, 128, 64], [1, 1, 128, 64]]        |  bf16  |       7.46       |       7.50        |       7.53       |       2.04        |    [896]    |       [16384, 16384]       |    [128]    |      5.53e-06      |      3.34e-05      |      1.14e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.44%     |
|    True     |   0.08   |        [[2, 1, 128, 64], [2, 1, 128, 64], [2, 1, 128, 64]]        |  bf16  |       7.45       |       7.48        |       7.53       |       2.08        |   [1792]    |       [32768, 32768]       |    [256]    |      1.11e-05      |      6.68e-05      |      2.28e-05       |  1.31e+05  |       0.00%        |       0.01%        |        0.00%        |    0.88%     |
|    True     |   0.08   |        [[4, 1, 128, 64], [4, 1, 128, 64], [4, 1, 128, 64]]        |  bf16  |       7.46       |       7.49        |       7.51       |       2.16        |   [3584]    |       [65536, 65536]       |    [512]    |      2.21e-05      |      1.34e-04      |      4.55e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.00%        |    1.76%     |
|    True     |   0.08   |        [[8, 1, 128, 64], [8, 1, 128, 64], [8, 1, 128, 64]]        |  bf16  |       7.65       |       7.69        |       7.73       |       2.33        |   [7168]    |      [131072, 131072]      |   [1024]    |      4.31e-05      |      2.60e-04      |      8.87e-05       |  5.24e+05  |       0.00%        |       0.03%        |        0.01%        |    3.43%     |
|    True     |   0.08   |      [[16, 1, 128, 64], [16, 1, 128, 64], [16, 1, 128, 64]]       |  bf16  |       7.67       |       7.68        |       7.71       |       2.66        |   [14336]   |      [262144, 262144]      |   [2048]    |      8.61e-05      |      5.20e-04      |      1.77e-04       |  1.05e+06  |       0.01%        |       0.05%        |        0.02%        |    6.84%     |
|    True     |   0.08   |      [[32, 1, 128, 64], [32, 1, 128, 64], [32, 1, 128, 64]]       |  bf16  |       7.70       |       7.71        |       7.74       |       3.31        |   [28672]   |      [524288, 524288]      |   [4096]    |      1.71e-04      |      1.04e-03      |      3.53e-04       |  2.10e+06  |       0.02%        |       0.10%        |        0.04%        |    13.63%    |
|    True     |   0.08   |        [[1, 1, 256, 64], [1, 1, 256, 64], [1, 1, 256, 64]]        |  bf16  |      11.61       |       11.64       |      11.66       |       2.08        |   [1792]    |       [32768, 32768]       |    [256]    |      7.11e-06      |      4.29e-05      |      1.46e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    0.57%     |
|    True     |   0.08   |        [[2, 1, 256, 64], [2, 1, 256, 64], [2, 1, 256, 64]]        |  bf16  |      11.65       |       11.67       |      11.71       |       2.16        |   [3584]    |       [65536, 65536]       |    [512]    |      1.42e-05      |      8.55e-05      |      2.91e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.00%        |    1.13%     |
|    True     |   0.08   |        [[4, 1, 256, 64], [4, 1, 256, 64], [4, 1, 256, 64]]        |  bf16  |      11.94       |       11.98       |      12.08       |       2.33        |   [7168]    |      [131072, 131072]      |   [1024]    |      2.76e-05      |      1.67e-04      |      5.69e-05       |  5.24e+05  |       0.00%        |       0.02%        |        0.01%        |    2.20%     |
|    True     |   0.08   |        [[8, 1, 256, 64], [8, 1, 256, 64], [8, 1, 256, 64]]        |  bf16  |      11.90       |       11.93       |      11.94       |       2.66        |   [14336]   |      [262144, 262144]      |   [2048]    |      5.55e-05      |      3.35e-04      |      1.14e-04       |  1.05e+06  |       0.01%        |       0.03%        |        0.01%        |    4.41%     |
|    True     |   0.08   |      [[16, 1, 256, 64], [16, 1, 256, 64], [16, 1, 256, 64]]       |  bf16  |      11.99       |       12.01       |      12.07       |       3.31        |   [28672]   |      [524288, 524288]      |   [4096]    |      1.10e-04      |      6.65e-04      |      2.26e-04       |  2.10e+06  |       0.01%        |       0.07%        |        0.02%        |    8.75%     |
|    True     |   0.08   |      [[32, 1, 256, 64], [32, 1, 256, 64], [32, 1, 256, 64]]       |  bf16  |      12.26       |       12.31       |      12.35       |       4.62        |   [57344]   |     [1048576, 1048576]     |   [8192]    |      2.15e-04      |      1.30e-03      |      4.43e-04       |  4.19e+06  |       0.02%        |       0.13%        |        0.04%        |    17.11%    |
|    True     |   0.08   |        [[1, 1, 512, 64], [1, 1, 512, 64], [1, 1, 512, 64]]        |  bf16  |      11.49       |       11.54       |      11.60       |       2.16        |   [3584]    |       [65536, 65536]       |    [512]    |      1.44e-05      |      8.67e-05      |      2.95e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.00%        |    1.14%     |
|    True     |   0.08   |        [[2, 1, 512, 64], [2, 1, 512, 64], [2, 1, 512, 64]]        |  bf16  |      11.70       |       11.73       |      11.77       |       2.33        |   [7168]    |      [131072, 131072]      |   [1024]    |      2.82e-05      |      1.70e-04      |      5.80e-05       |  5.24e+05  |       0.00%        |       0.02%        |        0.01%        |    2.24%     |
|    True     |   0.08   |        [[4, 1, 512, 64], [4, 1, 512, 64], [4, 1, 512, 64]]        |  bf16  |      11.90       |       11.93       |      11.95       |       2.66        |   [14336]   |      [262144, 262144]      |   [2048]    |      5.54e-05      |      3.35e-04      |      1.14e-04       |  1.05e+06  |       0.01%        |       0.03%        |        0.01%        |    4.41%     |
|    True     |   0.08   |        [[8, 1, 512, 64], [8, 1, 512, 64], [8, 1, 512, 64]]        |  bf16  |      20.27       |       20.31       |      20.33       |       3.31        |   [28672]   |      [524288, 524288]      |   [4096]    |      6.51e-05      |      3.93e-04      |      1.34e-04       |  2.10e+06  |       0.01%        |       0.04%        |        0.01%        |    5.17%     |
|    True     |   0.08   |      [[16, 1, 512, 64], [16, 1, 512, 64], [16, 1, 512, 64]]       |  bf16  |      20.57       |       20.60       |      20.64       |       4.62        |   [57344]   |     [1048576, 1048576]     |   [8192]    |      1.28e-04      |      7.75e-04      |      2.64e-04       |  4.19e+06  |       0.01%        |       0.08%        |        0.03%        |    10.19%    |
