Test Case: H20SXM_aten_baddbmm
|  B  |  M   |  K   |  N   |                        input_shape                        | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  1  | 1024 | 3072 | 2048 |    [[1, 1024, 2048], [1, 1024, 3072], [1, 3072, 2048]]    | bf16  |      128.11      |      128.38       |      128.64      |       98.73        | 1.29e+10 | 1.15e+07 |      67.96%      |     4.5%      |
|  8  | 1024 | 3072 | 2048 |    [[8, 1024, 2048], [8, 1024, 3072], [8, 3072, 2048]]    | bf16  |     1244.63      |      1244.81      |     1244.96      |       775.87       | 1.03e+11 | 9.23e+07 |      55.96%      |     3.71%     |
| 128 | 1024 | 3072 | 2048 | [[128, 1024, 2048], [128, 1024, 3072], [128, 3072, 2048]] | bf16  |     18713.88     |     18715.49      |     18716.39     |      12383.89      | 1.65e+12 | 1.48e+09 |      59.55%      |     3.94%     |
|  1  |  1   | 8192 | 2048 |       [[1, 1, 2048], [1, 1, 8192], [1, 8192, 2048]]       | bf16  |      40.22       |       40.34       |      40.49       |       12.49        | 3.36e+07 | 1.68e+07 |      0.56%       |    20.87%     |
|  8  |  1   | 8192 | 2048 |       [[8, 1, 2048], [8, 1, 8192], [8, 8192, 2048]]       | bf16  |      233.82      |      234.05       |      234.14      |       85.94        | 2.68e+08 | 1.34e+08 |      0.78%       |    28.72%     |
| 128 |  1   | 8192 | 2048 |    [[128, 1, 2048], [128, 1, 8192], [128, 8192, 2048]]    | bf16  |     3037.68      |      3037.96      |     3038.47      |       1345.0       | 4.29e+09 | 2.15e+09 |      0.96%       |    35.37%     |
|  1  |  64  | 8192 | 2048 |      [[1, 64, 2048], [1, 64, 8192], [1, 8192, 2048]]      | bf16  |      40.22       |       40.3        |      40.46       |       18.12        | 2.15e+09 | 1.74e+07 |      36.08%      |    21.67%     |
|  8  |  64  | 8192 | 2048 |      [[8, 64, 2048], [8, 64, 8192], [8, 8192, 2048]]      | bf16  |      242.72      |      242.98       |      243.12      |       130.98       | 1.72e+10 | 1.39e+08 |      47.82%      |    28.73%     |
| 128 |  64  | 8192 | 2048 |   [[128, 64, 2048], [128, 64, 8192], [128, 8192, 2048]]   | bf16  |     3065.78      |      3066.22      |     3066.71      |      2065.65       | 2.75e+11 | 2.23e+09 |      60.58%      |    36.39%     |
|  1  | 1024 | 8192 | 2048 |    [[1, 1024, 2048], [1, 1024, 8192], [1, 8192, 2048]]    | bf16  |      314.87      |      315.14       |      315.47      |       259.96       | 3.44e+10 | 2.73e+07 |      73.73%      |     4.33%     |
|  8  | 1024 | 8192 | 2048 |    [[8, 1024, 2048], [8, 1024, 8192], [8, 8192, 2048]]    | bf16  |     3161.96      |      3162.23      |     3162.44      |      2065.65       | 2.75e+11 | 2.18e+08 |      58.74%      |     3.45%     |
| 128 | 1024 | 8192 | 2048 | [[128, 1024, 2048], [128, 1024, 8192], [128, 8192, 2048]] | bf16  |     47721.11     |     47722.31      |     47723.02     |      33020.37      | 4.40e+12 | 3.49e+09 |      62.27%      |     3.66%     |
|  1  |  1   |  32  | 8192 |         [[1, 1, 8192], [1, 1, 32], [1, 32, 8192]]         | bf16  |      17.62       |       17.84       |      18.22       |        2.17        | 5.24e+05 | 2.70e+05 |      0.02%       |     0.77%     |
|  8  |  1   |  32  | 8192 |         [[8, 1, 8192], [8, 1, 32], [8, 32, 8192]]         | bf16  |      17.37       |       17.74       |      17.95       |        3.35        | 4.19e+06 | 2.16e+06 |      0.16%       |     6.23%     |
| 128 |  1   |  32  | 8192 |      [[128, 1, 8192], [128, 1, 32], [128, 32, 8192]]      | bf16  |      68.41       |       68.51       |      68.71       |       23.63        | 6.71e+07 | 3.46e+07 |      0.66%       |    25.29%     |
|  1  |  64  |  32  | 8192 |        [[1, 64, 8192], [1, 64, 32], [1, 32, 8192]]        | bf16  |      18.03       |       18.2        |       18.4       |        2.49        | 3.36e+07 | 7.88e+05 |      1.26%       |     2.19%     |
|  8  |  64  |  32  | 8192 |        [[8, 64, 8192], [8, 64, 32], [8, 32, 8192]]        | bf16  |      22.73       |       22.95       |      23.17       |        5.94        | 2.68e+08 | 6.31e+06 |      7.98%       |    13.88%     |
| 128 |  64  |  32  | 8192 |     [[128, 64, 8192], [128, 64, 32], [128, 32, 8192]]     | bf16  |      374.74      |      374.87       |      374.99      |       65.08        | 4.29e+09 | 1.01e+08 |      7.74%       |    13.47%     |
|  1  | 1024 |  32  | 8192 |      [[1, 1024, 8192], [1, 1024, 32], [1, 32, 8192]]      | bf16  |      42.41       |       42.52       |      42.65       |        7.43        | 5.37e+08 | 8.68e+06 |      8.55%       |    10.24%     |
|  8  | 1024 |  32  | 8192 |      [[8, 1024, 8192], [8, 1024, 32], [8, 32, 8192]]      | bf16  |      360.06      |      360.36       |      360.51      |       45.42        | 4.29e+09 | 6.95e+07 |      8.06%       |     9.65%     |
| 128 | 1024 |  32  | 8192 |   [[128, 1024, 8192], [128, 1024, 32], [128, 32, 8192]]   | bf16  |      5529.9      |      5530.82      |     5532.27      |       696.68       | 6.87e+10 | 1.11e+09 |       8.4%       |    10.05%     |
|  1  |  1   | 3072 | 8192 |       [[1, 1, 8192], [1, 1, 3072], [1, 3072, 8192]]       | bf16  |      41.03       |       41.15       |      41.44       |       17.74        | 5.03e+07 | 2.52e+07 |      0.83%       |    30.68%     |
|  8  |  1   | 3072 | 8192 |       [[8, 1, 8192], [8, 1, 3072], [8, 3072, 8192]]       | bf16  |      307.38      |      307.58       |      307.67      |       127.89       | 4.03e+08 | 2.01e+08 |      0.89%       |    32.76%     |
| 128 |  1   | 3072 | 8192 |    [[128, 1, 8192], [128, 1, 3072], [128, 3072, 8192]]    | bf16  |      4482.3      |      4482.58      |     4483.14      |      2016.17       | 6.44e+09 | 3.22e+09 |      0.97%       |    35.95%     |
|  1  |  64  | 3072 | 8192 |      [[1, 64, 8192], [1, 64, 3072], [1, 3072, 8192]]      | bf16  |      42.82       |       42.95       |      42.99       |       26.18        | 3.22e+09 | 2.59e+07 |      50.83%      |    30.23%     |
|  8  |  64  | 3072 | 8192 |      [[8, 64, 8192], [8, 64, 3072], [8, 3072, 8192]]      | bf16  |      316.73      |       316.8       |      316.9       |       195.47       | 2.58e+10 | 2.07e+08 |      54.97%      |    32.69%     |
| 128 |  64  | 3072 | 8192 |   [[128, 64, 8192], [128, 64, 3072], [128, 3072, 8192]]   | bf16  |     4604.64      |      4604.94      |     4605.32      |      3097.47       | 4.12e+11 | 3.31e+09 |      60.5%       |    35.98%     |
|  1  | 1024 | 3072 | 8192 |    [[1, 1024, 8192], [1, 1024, 3072], [1, 3072, 8192]]    | bf16  |      416.75      |      416.91       |      417.06      |       388.93       | 5.15e+10 | 3.67e+07 |      83.56%      |     4.4%      |
|  8  | 1024 | 3072 | 8192 |    [[8, 1024, 8192], [8, 1024, 3072], [8, 3072, 8192]]    | bf16  |     4768.85      |      4769.65      |     4770.12      |      3097.47       | 4.12e+11 | 2.94e+08 |      58.42%      |     3.08%     |
| 128 | 1024 | 3072 | 8192 | [[128, 1024, 8192], [128, 1024, 3072], [128, 3072, 8192]] | bf16  |     74238.35     |      74245.3      |     74255.74     |      49529.55      | 6.60e+12 | 4.70e+09 |      60.04%      |     3.16%     |
|  1  |  1   | 8192 | 8192 |       [[1, 1, 8192], [1, 1, 8192], [1, 8192, 8192]]       | bf16  |      87.44       |       87.56       |       87.7       |       43.95        | 1.34e+08 | 6.71e+07 |      1.04%       |    38.38%     |
|  8  |  1   | 8192 | 8192 |       [[8, 1, 8192], [8, 1, 8192], [8, 8192, 8192]]       | bf16  |      797.18      |      797.45       |      797.62      |       337.63       | 1.07e+09 | 5.37e+08 |      0.91%       |    33.68%     |
| 128 |  1   | 8192 | 8192 |    [[128, 1, 8192], [128, 1, 8192], [128, 8192, 8192]]    | bf16  |     11876.24     |     11876.52      |     11876.85     |      5372.02       | 1.72e+10 | 8.59e+09 |      0.98%       |    36.17%     |
|  1  |  64  | 8192 | 8192 |      [[1, 64, 8192], [1, 64, 8192], [1, 8192, 8192]]      | bf16  |      89.71       |       89.84       |      89.96       |       66.49        | 8.59e+09 | 6.82e+07 |      64.7%       |    37.99%     |
|  8  |  64  | 8192 | 8192 |      [[8, 64, 8192], [8, 64, 8192], [8, 8192, 8192]]      | bf16  |      805.62      |      805.85       |      806.04      |       517.91       | 6.87e+10 | 5.45e+08 |      57.64%      |    33.84%     |
| 128 |  64  | 8192 | 8192 |   [[128, 64, 8192], [128, 64, 8192], [128, 8192, 8192]]   | bf16  |     11997.51     |     11997.85      |     11998.24     |      8256.59       | 1.10e+12 | 8.72e+09 |      61.92%      |    36.36%     |
|  1  | 1024 | 8192 | 8192 |    [[1, 1024, 8192], [1, 1024, 8192], [1, 8192, 8192]]    | bf16  |     1060.88      |      1063.5       |     1064.13      |      1033.82       | 1.37e+11 | 8.39e+07 |      87.54%      |     3.95%     |
|  8  | 1024 | 8192 | 8192 |    [[8, 1024, 8192], [8, 1024, 8192], [8, 8192, 8192]]    | bf16  |     12152.07     |     12152.34      |     12152.78     |      8256.59       | 1.10e+12 | 6.71e+08 |      61.13%      |     2.76%     |
