test case : H20SXM_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D  |        flops_2D        | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[2, 32, 1, 64], [2, 32, 1, 64], [2, 32, 1, 64]]          |  bf16  |       8.47       |       8.50        |       8.54       |       2.02        |   [448]   |      [8192, 8192]      |   [64]    |      2.43e-06      |      1.47e-05      |      5.01e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    0.19%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[4, 32, 1, 64], [4, 32, 1, 64], [4, 32, 1, 64]]          |  bf16  |       8.47       |       8.50        |       8.58       |       2.04        |   [896]   |     [16384, 16384]     |   [128]   |      4.87e-06      |      2.94e-05      |      1.00e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.39%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[8, 32, 1, 64], [8, 32, 1, 64], [8, 32, 1, 64]]          |  bf16  |       8.65       |       8.68        |       8.71       |       2.08        |  [1792]   |     [32768, 32768]     |   [256]   |      9.54e-06      |      5.76e-05      |      1.96e-05       |  1.31e+05  |       0.00%        |       0.01%        |        0.00%        |    0.76%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[16, 32, 1, 64], [16, 32, 1, 64], [16, 32, 1, 64]]        |  bf16  |       8.61       |       8.64        |       8.68       |       2.16        |  [3584]   |     [65536, 65536]     |   [512]   |      1.91e-05      |      1.16e-04      |      3.94e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.00%        |    1.52%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[32, 32, 1, 64], [32, 32, 1, 64], [32, 32, 1, 64]]        |  bf16  |       8.69       |       8.73        |       8.79       |       2.33        |  [7168]   |    [131072, 131072]    |  [1024]   |      3.80e-05      |      2.29e-04      |      7.81e-05       |  5.24e+05  |       0.00%        |       0.02%        |        0.01%        |    3.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[1, 64, 1, 64], [1, 64, 1, 64], [1, 64, 1, 64]]          |  bf16  |       8.38       |       8.41        |       8.46       |       2.02        |   [448]   |      [8192, 8192]      |   [64]    |      2.46e-06      |      1.49e-05      |      5.06e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    0.20%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[2, 64, 1, 64], [2, 64, 1, 64], [2, 64, 1, 64]]          |  bf16  |       8.54       |       8.57        |       8.60       |       2.04        |   [896]   |     [16384, 16384]     |   [128]   |      4.83e-06      |      2.92e-05      |      9.94e-06       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.38%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[4, 64, 1, 64], [4, 64, 1, 64], [4, 64, 1, 64]]          |  bf16  |       8.53       |       8.56        |       8.62       |       2.08        |  [1792]   |     [32768, 32768]     |   [256]   |      9.66e-06      |      5.84e-05      |      1.99e-05       |  1.31e+05  |       0.00%        |       0.01%        |        0.00%        |    0.77%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[8, 64, 1, 64], [8, 64, 1, 64], [8, 64, 1, 64]]          |  bf16  |       8.73       |       8.78        |       8.81       |       2.16        |  [3584]   |     [65536, 65536]     |   [512]   |      1.89e-05      |      1.14e-04      |      3.89e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.00%        |    1.50%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[16, 64, 1, 64], [16, 64, 1, 64], [16, 64, 1, 64]]        |  bf16  |       8.71       |       8.74        |       8.79       |       2.33        |  [7168]   |    [131072, 131072]    |  [1024]   |      3.79e-05      |      2.29e-04      |      7.79e-05       |  5.24e+05  |       0.00%        |       0.02%        |        0.01%        |    3.01%     |
