Test Case: B200_aten-baddbmm
| B  |  M   |  K   |  N   |     _tensor      |    _tensor_1     |    _tensor_2     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 16 |  32  | 4096 | 3072 |  [16, 32, 3072]  |  [16, 32, 4096]  | [16, 4096, 3072] | bf16  |      104.51       |      103.57      |      104.91      |        N/A         |
| 32 |  32  | 4096 | 3072 |  [32, 32, 3072]  |  [32, 32, 4096]  | [32, 4096, 3072] | bf16  |      131.02       |      130.06      |      132.07      |        N/A         |
| 1  | 128  | 4096 | 3072 |  [1, 128, 3072]  |  [1, 128, 4096]  | [1, 4096, 3072]  | bf16  |      106.03       |      104.57      |      109.27      |        N/A         |
| 2  | 128  | 4096 | 3072 |  [2, 128, 3072]  |  [2, 128, 4096]  | [2, 4096, 3072]  | bf16  |      104.58       |      103.47      |      105.51      |        N/A         |
| 8  | 128  | 4096 | 3072 |  [8, 128, 3072]  |  [8, 128, 4096]  | [8, 4096, 3072]  | bf16  |       105.4       |      104.99      |      106.11      |        N/A         |
| 16 | 128  | 4096 | 3072 | [16, 128, 3072]  | [16, 128, 4096]  | [16, 4096, 3072] | bf16  |      106.04       |      104.37      |      109.7       |        N/A         |
| 32 | 128  | 4096 | 3072 | [32, 128, 3072]  | [32, 128, 4096]  | [32, 4096, 3072] | bf16  |      152.58       |      152.07      |      152.85      |        N/A         |
| 1  | 512  | 4096 | 3072 |  [1, 512, 3072]  |  [1, 512, 4096]  | [1, 4096, 3072]  | bf16  |      103.99       |      103.06      |      104.86      |        N/A         |
| 2  | 512  | 4096 | 3072 |  [2, 512, 3072]  |  [2, 512, 4096]  | [2, 4096, 3072]  | bf16  |      104.86       |      104.21      |      105.42      |        N/A         |
| 8  | 512  | 4096 | 3072 |  [8, 512, 3072]  |  [8, 512, 4096]  | [8, 4096, 3072]  | bf16  |      105.35       |      104.68      |      106.04      |        N/A         |
| 16 | 512  | 4096 | 3072 | [16, 512, 3072]  | [16, 512, 4096]  | [16, 4096, 3072] | bf16  |      160.25       |      160.11      |      160.44      |        N/A         |
| 32 | 512  | 4096 | 3072 | [32, 512, 3072]  | [32, 512, 4096]  | [32, 4096, 3072] | bf16  |      315.53       |      308.22      |      328.04      |        N/A         |
| 1  | 1024 | 4096 | 3072 | [1, 1024, 3072]  | [1, 1024, 4096]  | [1, 4096, 3072]  | bf16  |      105.32       |      104.03      |      106.95      |        N/A         |
| 2  | 1024 | 4096 | 3072 | [2, 1024, 3072]  | [2, 1024, 4096]  | [2, 4096, 3072]  | bf16  |      105.01       |      104.36      |      105.46      |        N/A         |
| 8  | 1024 | 4096 | 3072 | [8, 1024, 3072]  | [8, 1024, 4096]  | [8, 4096, 3072]  | bf16  |      153.96       |      153.67      |      154.22      |        N/A         |
| 16 | 1024 | 4096 | 3072 | [16, 1024, 3072] | [16, 1024, 4096] | [16, 4096, 3072] | bf16  |      294.84       |      290.59      |      297.3       |        N/A         |
| 32 | 1024 | 4096 | 3072 | [32, 1024, 3072] | [32, 1024, 4096] | [32, 4096, 3072] | bf16  |      575.63       |      572.59      |      589.11      |        N/A         |
| 1  |  1   | 6144 | 3072 |   [1, 1, 3072]   |   [1, 1, 6144]   | [1, 6144, 3072]  | bf16  |      107.82       |      107.01      |      108.44      |        N/A         |
| 2  |  1   | 6144 | 3072 |   [2, 1, 3072]   |   [2, 1, 6144]   | [2, 6144, 3072]  | bf16  |      104.92       |      104.24      |      105.57      |        N/A         |
| 8  |  1   | 6144 | 3072 |   [8, 1, 3072]   |   [8, 1, 6144]   | [8, 6144, 3072]  | bf16  |      105.83       |      104.76      |      106.64      |        N/A         |
| 16 |  1   | 6144 | 3072 |  [16, 1, 3072]   |  [16, 1, 6144]   | [16, 6144, 3072] | bf16  |      107.06       |      106.4       |      107.63      |        N/A         |
| 32 |  1   | 6144 | 3072 |  [32, 1, 3072]   |  [32, 1, 6144]   | [32, 6144, 3072] | bf16  |      183.95       |      183.44      |      184.28      |        N/A         |
| 1  |  2   | 6144 | 3072 |   [1, 2, 3072]   |   [1, 2, 6144]   | [1, 6144, 3072]  | bf16  |      108.66       |      108.22      |      109.26      |        N/A         |
| 2  |  2   | 6144 | 3072 |   [2, 2, 3072]   |   [2, 2, 6144]   | [2, 6144, 3072]  | bf16  |      106.18       |      105.23      |      107.23      |        N/A         |
| 8  |  2   | 6144 | 3072 |   [8, 2, 3072]   |   [8, 2, 6144]   | [8, 6144, 3072]  | bf16  |      105.41       |      104.37      |      107.09      |        N/A         |
| 16 |  2   | 6144 | 3072 |  [16, 2, 3072]   |  [16, 2, 6144]   | [16, 6144, 3072] | bf16  |       107.2       |      106.12      |      107.9       |        N/A         |
| 32 |  2   | 6144 | 3072 |  [32, 2, 3072]   |  [32, 2, 6144]   | [32, 6144, 3072] | bf16  |      183.21       |      182.83      |      183.64      |        N/A         |
| 1  |  8   | 6144 | 3072 |   [1, 8, 3072]   |   [1, 8, 6144]   | [1, 6144, 3072]  | bf16  |      108.42       |      107.98      |      109.31      |        N/A         |
| 2  |  8   | 6144 | 3072 |   [2, 8, 3072]   |   [2, 8, 6144]   | [2, 6144, 3072]  | bf16  |      104.81       |      104.24      |      105.27      |        N/A         |
| 8  |  8   | 6144 | 3072 |   [8, 8, 3072]   |   [8, 8, 6144]   | [8, 6144, 3072]  | bf16  |      104.76       |      103.93      |      105.8       |        N/A         |
| 16 |  8   | 6144 | 3072 |  [16, 8, 3072]   |  [16, 8, 6144]   | [16, 6144, 3072] | bf16  |      107.55       |      106.44      |      108.34      |        N/A         |
| 32 |  8   | 6144 | 3072 |  [32, 8, 3072]   |  [32, 8, 6144]   | [32, 6144, 3072] | bf16  |       178.7       |      178.43      |      178.9       |        N/A         |
| 1  |  32  | 6144 | 3072 |  [1, 32, 3072]   |  [1, 32, 6144]   | [1, 6144, 3072]  | bf16  |      108.08       |      107.31      |      108.82      |        N/A         |
| 2  |  32  | 6144 | 3072 |  [2, 32, 3072]   |  [2, 32, 6144]   | [2, 6144, 3072]  | bf16  |      105.89       |      103.82      |      109.61      |        N/A         |
| 8  |  32  | 6144 | 3072 |  [8, 32, 3072]   |  [8, 32, 6144]   | [8, 6144, 3072]  | bf16  |      104.82       |      103.92      |      105.55      |        N/A         |
| 16 |  32  | 6144 | 3072 |  [16, 32, 3072]  |  [16, 32, 6144]  | [16, 6144, 3072] | bf16  |      106.92       |      106.08      |      107.72      |        N/A         |
| 32 |  32  | 6144 | 3072 |  [32, 32, 3072]  |  [32, 32, 6144]  | [32, 6144, 3072] | bf16  |      188.25       |      187.33      |      189.04      |        N/A         |
| 1  | 128  | 6144 | 3072 |  [1, 128, 3072]  |  [1, 128, 6144]  | [1, 6144, 3072]  | bf16  |      105.79       |      104.11      |      109.31      |        N/A         |
| 2  | 128  | 6144 | 3072 |  [2, 128, 3072]  |  [2, 128, 6144]  | [2, 6144, 3072]  | bf16  |      104.27       |      103.62      |      104.95      |        N/A         |
| 8  | 128  | 6144 | 3072 |  [8, 128, 3072]  |  [8, 128, 6144]  | [8, 6144, 3072]  | bf16  |      104.65       |      104.33      |      105.14      |        N/A         |
| 16 | 128  | 6144 | 3072 | [16, 128, 3072]  | [16, 128, 6144]  | [16, 6144, 3072] | bf16  |       112.9       |      110.96      |      115.09      |        N/A         |
| 32 | 128  | 6144 | 3072 | [32, 128, 3072]  | [32, 128, 6144]  | [32, 6144, 3072] | bf16  |      212.98       |      212.68      |      213.23      |        N/A         |
| 1  | 512  | 6144 | 3072 |  [1, 512, 3072]  |  [1, 512, 6144]  | [1, 6144, 3072]  | bf16  |      104.87       |      104.29      |      105.39      |        N/A         |
| 2  | 512  | 6144 | 3072 |  [2, 512, 3072]  |  [2, 512, 6144]  | [2, 6144, 3072]  | bf16  |      105.04       |      103.69      |      106.44      |        N/A         |
| 8  | 512  | 6144 | 3072 |  [8, 512, 3072]  |  [8, 512, 6144]  | [8, 6144, 3072]  | bf16  |      119.02       |      116.94      |      122.26      |        N/A         |
| 16 | 512  | 6144 | 3072 | [16, 512, 3072]  | [16, 512, 6144]  | [16, 6144, 3072] | bf16  |      227.03       |      226.79      |      227.35      |        N/A         |
| 32 | 512  | 6144 | 3072 | [32, 512, 3072]  | [32, 512, 6144]  | [32, 6144, 3072] | bf16  |      443.36       |      443.0       |      443.83      |        N/A         |
| 1  | 1024 | 6144 | 3072 | [1, 1024, 3072]  | [1, 1024, 6144]  | [1, 6144, 3072]  | bf16  |      103.52       |      102.53      |      104.91      |        N/A         |
