Test Case: B200_aten-baddbmm
| B  |  M   |  K   |  N   |     _tensor      |    _tensor_1     |    _tensor_2     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 8  | 1024 | 3072 | 6144 | [8, 1024, 6144]  | [8, 1024, 3072]  | [8, 3072, 6144]  | bf16  |      233.29       |      228.36      |      243.7       |        N/A         |
| 16 | 1024 | 3072 | 6144 | [16, 1024, 6144] | [16, 1024, 3072] | [16, 3072, 6144] | bf16  |      455.21       |      443.98      |      460.07      |        N/A         |
| 32 | 1024 | 3072 | 6144 | [32, 1024, 6144] | [32, 1024, 3072] | [32, 3072, 6144] | bf16  |      924.21       |      881.55      |      996.59      |        N/A         |
| 1  |  1   | 4096 | 6144 |   [1, 1, 6144]   |   [1, 1, 4096]   | [1, 4096, 6144]  | bf16  |      105.47       |      104.59      |      106.12      |        N/A         |
| 2  |  1   | 4096 | 6144 |   [2, 1, 6144]   |   [2, 1, 4096]   | [2, 4096, 6144]  | bf16  |      104.58       |      103.81      |      105.37      |        N/A         |
| 8  |  1   | 4096 | 6144 |   [8, 1, 6144]   |   [8, 1, 4096]   | [8, 4096, 6144]  | bf16  |       105.5       |      104.61      |      108.33      |        N/A         |
| 16 |  1   | 4096 | 6144 |  [16, 1, 6144]   |  [16, 1, 4096]   | [16, 4096, 6144] | bf16  |      126.28       |      125.68      |      126.59      |        N/A         |
| 32 |  1   | 4096 | 6144 |  [32, 1, 6144]   |  [32, 1, 4096]   | [32, 4096, 6144] | bf16  |      234.33       |      233.97      |      234.82      |        N/A         |
| 1  |  2   | 4096 | 6144 |   [1, 2, 6144]   |   [1, 2, 4096]   | [1, 4096, 6144]  | bf16  |      105.17       |      104.73      |      105.93      |        N/A         |
| 2  |  2   | 4096 | 6144 |   [2, 2, 6144]   |   [2, 2, 4096]   | [2, 4096, 6144]  | bf16  |      105.13       |      104.07      |      106.8       |        N/A         |
| 8  |  2   | 4096 | 6144 |   [8, 2, 6144]   |   [8, 2, 4096]   | [8, 4096, 6144]  | bf16  |      105.05       |      104.0       |      105.67      |        N/A         |
| 16 |  2   | 4096 | 6144 |  [16, 2, 6144]   |  [16, 2, 4096]   | [16, 4096, 6144] | bf16  |      125.73       |      125.27      |      126.18      |        N/A         |
| 32 |  2   | 4096 | 6144 |  [32, 2, 6144]   |  [32, 2, 4096]   | [32, 4096, 6144] | bf16  |      233.98       |      233.76      |      234.27      |        N/A         |
| 1  |  8   | 4096 | 6144 |   [1, 8, 6144]   |   [1, 8, 4096]   | [1, 4096, 6144]  | bf16  |      104.58       |      103.94      |      105.46      |        N/A         |
| 2  |  8   | 4096 | 6144 |   [2, 8, 6144]   |   [2, 8, 4096]   | [2, 4096, 6144]  | bf16  |      105.18       |      104.05      |      106.36      |        N/A         |
| 8  |  8   | 4096 | 6144 |   [8, 8, 6144]   |   [8, 8, 4096]   | [8, 4096, 6144]  | bf16  |      106.69       |      106.15      |      107.28      |        N/A         |
| 16 |  8   | 4096 | 6144 |  [16, 8, 6144]   |  [16, 8, 4096]   | [16, 4096, 6144] | bf16  |      123.69       |      123.11      |      125.25      |        N/A         |
| 32 |  8   | 4096 | 6144 |  [32, 8, 6144]   |  [32, 8, 4096]   | [32, 4096, 6144] | bf16  |      238.33       |      237.68      |      238.74      |        N/A         |
| 1  |  32  | 4096 | 6144 |  [1, 32, 6144]   |  [1, 32, 4096]   | [1, 4096, 6144]  | bf16  |      105.83       |      105.01      |      106.99      |        N/A         |
| 2  |  32  | 4096 | 6144 |  [2, 32, 6144]   |  [2, 32, 4096]   | [2, 4096, 6144]  | bf16  |      105.57       |      103.95      |      109.39      |        N/A         |
| 8  |  32  | 4096 | 6144 |  [8, 32, 6144]   |  [8, 32, 4096]   | [8, 4096, 6144]  | bf16  |      104.83       |      104.18      |      105.65      |        N/A         |
| 16 |  32  | 4096 | 6144 |  [16, 32, 6144]  |  [16, 32, 4096]  | [16, 4096, 6144] | bf16  |      131.41       |      130.7       |      132.34      |        N/A         |
| 32 |  32  | 4096 | 6144 |  [32, 32, 6144]  |  [32, 32, 4096]  | [32, 4096, 6144] | bf16  |      249.68       |      249.24      |      250.29      |        N/A         |
| 1  | 128  | 4096 | 6144 |  [1, 128, 6144]  |  [1, 128, 4096]  | [1, 4096, 6144]  | bf16  |      105.04       |      103.97      |      106.33      |        N/A         |
| 2  | 128  | 4096 | 6144 |  [2, 128, 6144]  |  [2, 128, 4096]  | [2, 4096, 6144]  | bf16  |      105.01       |      104.55      |      105.74      |        N/A         |
| 8  | 128  | 4096 | 6144 |  [8, 128, 6144]  |  [8, 128, 4096]  | [8, 4096, 6144]  | bf16  |      106.19       |      104.98      |      107.4       |        N/A         |
| 16 | 128  | 4096 | 6144 | [16, 128, 6144]  | [16, 128, 4096]  | [16, 4096, 6144] | bf16  |      151.85       |      151.35      |      154.0       |        N/A         |
| 32 | 128  | 4096 | 6144 | [32, 128, 6144]  | [32, 128, 4096]  | [32, 4096, 6144] | bf16  |      286.04       |      285.0       |      286.35      |        N/A         |
| 1  | 512  | 4096 | 6144 |  [1, 512, 6144]  |  [1, 512, 4096]  | [1, 4096, 6144]  | bf16  |      104.94       |      104.47      |      105.85      |        N/A         |
| 2  | 512  | 4096 | 6144 |  [2, 512, 6144]  |  [2, 512, 4096]  | [2, 4096, 6144]  | bf16  |      104.37       |      103.42      |      105.65      |        N/A         |
| 8  | 512  | 4096 | 6144 |  [8, 512, 6144]  |  [8, 512, 4096]  | [8, 4096, 6144]  | bf16  |      158.77       |      158.21      |      160.95      |        N/A         |
| 16 | 512  | 4096 | 6144 | [16, 512, 6144]  | [16, 512, 4096]  | [16, 4096, 6144] | bf16  |      306.66       |      305.88      |      308.22      |        N/A         |
| 32 | 512  | 4096 | 6144 | [32, 512, 6144]  | [32, 512, 4096]  | [32, 4096, 6144] | bf16  |      598.46       |      595.03      |      610.91      |        N/A         |
| 1  | 1024 | 4096 | 6144 | [1, 1024, 6144]  | [1, 1024, 4096]  | [1, 4096, 6144]  | bf16  |      105.03       |      103.63      |      105.93      |        N/A         |
| 2  | 1024 | 4096 | 6144 | [2, 1024, 6144]  | [2, 1024, 4096]  | [2, 4096, 6144]  | bf16  |      105.75       |      104.78      |      106.4       |        N/A         |
| 8  | 1024 | 4096 | 6144 | [8, 1024, 6144]  | [8, 1024, 4096]  | [8, 4096, 6144]  | bf16  |      291.82       |      291.08      |      293.09      |        N/A         |
| 16 | 1024 | 4096 | 6144 | [16, 1024, 6144] | [16, 1024, 4096] | [16, 4096, 6144] | bf16  |      587.74       |      566.55      |      658.58      |        N/A         |
| 32 | 1024 | 4096 | 6144 | [32, 1024, 6144] | [32, 1024, 4096] | [32, 4096, 6144] | bf16  |      1188.9       |     1127.53      |      1261.0      |        N/A         |
| 1  |  1   | 6144 | 6144 |   [1, 1, 6144]   |   [1, 1, 6144]   | [1, 6144, 6144]  | bf16  |      108.73       |      107.67      |      109.91      |        N/A         |
| 2  |  1   | 6144 | 6144 |   [2, 1, 6144]   |   [2, 1, 6144]   | [2, 6144, 6144]  | bf16  |      105.91       |      105.26      |      106.82      |        N/A         |
| 8  |  1   | 6144 | 6144 |   [8, 1, 6144]   |   [8, 1, 6144]   | [8, 6144, 6144]  | bf16  |      106.29       |      105.08      |      107.4       |        N/A         |
| 16 |  1   | 6144 | 6144 |  [16, 1, 6144]   |  [16, 1, 6144]   | [16, 6144, 6144] | bf16  |      181.93       |      181.83      |      182.09      |        N/A         |
| 32 |  1   | 6144 | 6144 |  [32, 1, 6144]   |  [32, 1, 6144]   | [32, 6144, 6144] | bf16  |      343.85       |      343.32      |      344.42      |        N/A         |
| 1  |  2   | 6144 | 6144 |   [1, 2, 6144]   |   [1, 2, 6144]   | [1, 6144, 6144]  | bf16  |      107.48       |      106.67      |      108.36      |        N/A         |
| 2  |  2   | 6144 | 6144 |   [2, 2, 6144]   |   [2, 2, 6144]   | [2, 6144, 6144]  | bf16  |      104.94       |      104.31      |      105.33      |        N/A         |
| 8  |  2   | 6144 | 6144 |   [8, 2, 6144]   |   [8, 2, 6144]   | [8, 6144, 6144]  | bf16  |      106.45       |      105.96      |      107.52      |        N/A         |
| 16 |  2   | 6144 | 6144 |  [16, 2, 6144]   |  [16, 2, 6144]   | [16, 6144, 6144] | bf16  |      182.63       |      182.28      |      182.86      |        N/A         |
| 32 |  2   | 6144 | 6144 |  [32, 2, 6144]   |  [32, 2, 6144]   | [32, 6144, 6144] | bf16  |      347.96       |      346.88      |      348.46      |        N/A         |
| 1  |  8   | 6144 | 6144 |   [1, 8, 6144]   |   [1, 8, 6144]   | [1, 6144, 6144]  | bf16  |      107.03       |      105.97      |      107.65      |        N/A         |
| 2  |  8   | 6144 | 6144 |   [2, 8, 6144]   |   [2, 8, 6144]   | [2, 6144, 6144]  | bf16  |      104.44       |      103.94      |      105.52      |        N/A         |
| 8  |  8   | 6144 | 6144 |   [8, 8, 6144]   |   [8, 8, 6144]   | [8, 6144, 6144]  | bf16  |      106.82       |      105.79      |      108.37      |        N/A         |
| 16 |  8   | 6144 | 6144 |  [16, 8, 6144]   |  [16, 8, 6144]   | [16, 6144, 6144] | bf16  |      178.14       |      177.9       |      178.35      |        N/A         |
| 32 |  8   | 6144 | 6144 |  [32, 8, 6144]   |  [32, 8, 6144]   | [32, 6144, 6144] | bf16  |      348.91       |      348.08      |      349.69      |        N/A         |
| 1  |  32  | 6144 | 6144 |  [1, 32, 6144]   |  [1, 32, 6144]   | [1, 6144, 6144]  | bf16  |      107.67       |      107.49      |      107.82      |        N/A         |
| 2  |  32  | 6144 | 6144 |  [2, 32, 6144]   |  [2, 32, 6144]   | [2, 6144, 6144]  | bf16  |      105.59       |      104.83      |      107.28      |        N/A         |
| 8  |  32  | 6144 | 6144 |  [8, 32, 6144]   |  [8, 32, 6144]   | [8, 6144, 6144]  | bf16  |      107.69       |      107.52      |      108.31      |        N/A         |
| 16 |  32  | 6144 | 6144 |  [16, 32, 6144]  |  [16, 32, 6144]  | [16, 6144, 6144] | bf16  |      188.87       |      188.25      |      189.31      |        N/A         |
| 32 |  32  | 6144 | 6144 |  [32, 32, 6144]  |  [32, 32, 6144]  | [32, 6144, 6144] | bf16  |      362.44       |      361.1       |      363.35      |        N/A         |
| 1  | 128  | 6144 | 6144 |  [1, 128, 6144]  |  [1, 128, 6144]  | [1, 6144, 6144]  | bf16  |      105.95       |      105.3       |      106.76      |        N/A         |
| 2  | 128  | 6144 | 6144 |  [2, 128, 6144]  |  [2, 128, 6144]  | [2, 6144, 6144]  | bf16  |      105.74       |      104.92      |      107.13      |        N/A         |
| 8  | 128  | 6144 | 6144 |  [8, 128, 6144]  |  [8, 128, 6144]  | [8, 6144, 6144]  | bf16  |      111.97       |      110.57      |      113.99      |        N/A         |
| 16 | 128  | 6144 | 6144 | [16, 128, 6144]  | [16, 128, 6144]  | [16, 6144, 6144] | bf16  |      211.44       |      211.13      |      211.86      |        N/A         |
| 32 | 128  | 6144 | 6144 | [32, 128, 6144]  | [32, 128, 6144]  | [32, 6144, 6144] | bf16  |      406.01       |      405.53      |      406.31      |        N/A         |
| 1  | 512  | 6144 | 6144 |  [1, 512, 6144]  |  [1, 512, 6144]  | [1, 6144, 6144]  | bf16  |       105.1       |      104.27      |      107.4       |        N/A         |
| 2  | 512  | 6144 | 6144 |  [2, 512, 6144]  |  [2, 512, 6144]  | [2, 6144, 6144]  | bf16  |      105.11       |      103.32      |      106.21      |        N/A         |
| 8  | 512  | 6144 | 6144 |  [8, 512, 6144]  |  [8, 512, 6144]  | [8, 6144, 6144]  | bf16  |      224.58       |      224.33      |      224.77      |        N/A         |
| 16 | 512  | 6144 | 6144 | [16, 512, 6144]  | [16, 512, 6144]  | [16, 6144, 6144] | bf16  |      451.71       |      437.97      |      480.83      |        N/A         |
| 32 | 512  | 6144 | 6144 | [32, 512, 6144]  | [32, 512, 6144]  | [32, 6144, 6144] | bf16  |      873.67       |      847.12      |      973.76      |        N/A         |
| 1  | 1024 | 6144 | 6144 | [1, 1024, 6144]  | [1, 1024, 6144]  | [1, 6144, 6144]  | bf16  |      105.21       |      104.23      |      106.93      |        N/A         |
| 2  | 1024 | 6144 | 6144 | [2, 1024, 6144]  | [2, 1024, 6144]  | [2, 6144, 6144]  | bf16  |      112.37       |      111.48      |      114.45      |        N/A         |
| 8  | 1024 | 6144 | 6144 | [8, 1024, 6144]  | [8, 1024, 6144]  | [8, 6144, 6144]  | bf16  |      425.32       |      416.47      |      465.46      |        N/A         |
| 16 | 1024 | 6144 | 6144 | [16, 1024, 6144] | [16, 1024, 6144] | [16, 6144, 6144] | bf16  |      812.12       |      805.58      |      829.93      |        N/A         |
| 32 | 1024 | 6144 | 6144 | [32, 1024, 6144] | [32, 1024, 6144] | [32, 6144, 6144] | bf16  |      1765.77      |     1635.64      |     1823.13      |        N/A         |
| 1  |  1   | 8192 | 6144 |   [1, 1, 6144]   |   [1, 1, 8192]   | [1, 8192, 6144]  | bf16  |      107.83       |      106.81      |      108.63      |        N/A         |
| 2  |  1   | 8192 | 6144 |   [2, 1, 6144]   |   [2, 1, 8192]   | [2, 8192, 6144]  | bf16  |      104.39       |      103.59      |      105.08      |        N/A         |
| 8  |  1   | 8192 | 6144 |   [8, 1, 6144]   |   [8, 1, 8192]   | [8, 8192, 6144]  | bf16  |      127.23       |      126.78      |      128.02      |        N/A         |
| 16 |  1   | 8192 | 6144 |  [16, 1, 6144]   |  [16, 1, 8192]   | [16, 8192, 6144] | bf16  |      238.71       |      238.22      |      239.05      |        N/A         |
| 32 |  1   | 8192 | 6144 |  [32, 1, 6144]   |  [32, 1, 8192]   | [32, 8192, 6144] | bf16  |      459.23       |      455.99      |      460.16      |        N/A         |
| 1  |  2   | 8192 | 6144 |   [1, 2, 6144]   |   [1, 2, 8192]   | [1, 8192, 6144]  | bf16  |      108.54       |      108.05      |      108.8       |        N/A         |
| 2  |  2   | 8192 | 6144 |   [2, 2, 6144]   |   [2, 2, 8192]   | [2, 8192, 6144]  | bf16  |      106.66       |      105.98      |      107.53      |        N/A         |
| 8  |  2   | 8192 | 6144 |   [8, 2, 6144]   |   [8, 2, 8192]   | [8, 8192, 6144]  | bf16  |      122.73       |      122.07      |      123.31      |        N/A         |
| 16 |  2   | 8192 | 6144 |  [16, 2, 6144]   |  [16, 2, 8192]   | [16, 8192, 6144] | bf16  |      240.86       |      240.15      |      241.14      |        N/A         |
| 32 |  2   | 8192 | 6144 |  [32, 2, 6144]   |  [32, 2, 8192]   | [32, 8192, 6144] | bf16  |       454.7       |      451.94      |      455.89      |        N/A         |
| 1  |  8   | 8192 | 6144 |   [1, 8, 6144]   |   [1, 8, 8192]   | [1, 8192, 6144]  | bf16  |      108.07       |      107.0       |      109.5       |        N/A         |
| 2  |  8   | 8192 | 6144 |   [2, 8, 6144]   |   [2, 8, 8192]   | [2, 8192, 6144]  | bf16  |      105.46       |      103.85      |      109.1       |        N/A         |
| 8  |  8   | 8192 | 6144 |   [8, 8, 6144]   |   [8, 8, 8192]   | [8, 8192, 6144]  | bf16  |      125.53       |      124.1       |      128.67      |        N/A         |
| 16 |  8   | 8192 | 6144 |  [16, 8, 6144]   |  [16, 8, 8192]   | [16, 8192, 6144] | bf16  |      232.56       |      232.27      |      232.76      |        N/A         |
| 32 |  8   | 8192 | 6144 |  [32, 8, 6144]   |  [32, 8, 8192]   | [32, 8192, 6144] | bf16  |      459.19       |      456.96      |      460.26      |        N/A         |
| 1  |  32  | 8192 | 6144 |  [1, 32, 6144]   |  [1, 32, 8192]   | [1, 8192, 6144]  | bf16  |      108.52       |      107.51      |      108.98      |        N/A         |
| 2  |  32  | 8192 | 6144 |  [2, 32, 6144]   |  [2, 32, 8192]   | [2, 8192, 6144]  | bf16  |      111.52       |      104.63      |      136.88      |        N/A         |
| 8  |  32  | 8192 | 6144 |  [8, 32, 6144]   |  [8, 32, 8192]   | [8, 8192, 6144]  | bf16  |      127.64       |      127.14      |      127.94      |        N/A         |
| 16 |  32  | 8192 | 6144 |  [16, 32, 6144]  |  [16, 32, 8192]  | [16, 8192, 6144] | bf16  |      245.34       |      244.87      |      246.04      |        N/A         |
| 32 |  32  | 8192 | 6144 |  [32, 32, 6144]  |  [32, 32, 8192]  | [32, 8192, 6144] | bf16  |      474.77       |      474.0       |      475.6       |        N/A         |
| 1  | 128  | 8192 | 6144 |  [1, 128, 6144]  |  [1, 128, 8192]  | [1, 8192, 6144]  | bf16  |      105.47       |      104.05      |      107.3       |        N/A         |
| 2  | 128  | 8192 | 6144 |  [2, 128, 6144]  |  [2, 128, 8192]  | [2, 8192, 6144]  | bf16  |      105.34       |      104.85      |      106.08      |        N/A         |
| 8  | 128  | 8192 | 6144 |  [8, 128, 6144]  |  [8, 128, 8192]  | [8, 8192, 6144]  | bf16  |      140.87       |      140.54      |      141.23      |        N/A         |
| 16 | 128  | 8192 | 6144 | [16, 128, 6144]  | [16, 128, 8192]  | [16, 8192, 6144] | bf16  |      273.03       |      272.5       |      273.83      |        N/A         |
| 32 | 128  | 8192 | 6144 | [32, 128, 6144]  | [32, 128, 8192]  | [32, 8192, 6144] | bf16  |      525.21       |      523.98      |      525.91      |        N/A         |
| 1  | 512  | 8192 | 6144 |  [1, 512, 6144]  |  [1, 512, 8192]  | [1, 8192, 6144]  | bf16  |      106.23       |      105.76      |      106.5       |        N/A         |
| 2  | 512  | 8192 | 6144 |  [2, 512, 6144]  |  [2, 512, 8192]  | [2, 8192, 6144]  | bf16  |      106.14       |      105.44      |      106.78      |        N/A         |
| 8  | 512  | 8192 | 6144 |  [8, 512, 6144]  |  [8, 512, 8192]  | [8, 8192, 6144]  | bf16  |      292.99       |      292.08      |      293.93      |        N/A         |
| 16 | 512  | 8192 | 6144 | [16, 512, 6144]  | [16, 512, 8192]  | [16, 8192, 6144] | bf16  |      586.17       |      571.45      |      609.56      |        N/A         |
| 32 | 512  | 8192 | 6144 | [32, 512, 6144]  | [32, 512, 8192]  | [32, 8192, 6144] | bf16  |      1218.71      |     1121.28      |     1282.06      |        N/A         |
| 1  | 1024 | 8192 | 6144 | [1, 1024, 6144]  | [1, 1024, 8192]  | [1, 8192, 6144]  | bf16  |      105.32       |      104.49      |      106.59      |        N/A         |
| 2  | 1024 | 8192 | 6144 | [2, 1024, 6144]  | [2, 1024, 8192]  | [2, 8192, 6144]  | bf16  |      144.71       |      144.47      |      144.91      |        N/A         |
| 8  | 1024 | 8192 | 6144 | [8, 1024, 6144]  | [8, 1024, 8192]  | [8, 8192, 6144]  | bf16  |      581.21       |      547.59      |      619.09      |        N/A         |
| 1  |  1   | 3072 | 8192 |   [1, 1, 8192]   |   [1, 1, 3072]   | [1, 3072, 8192]  | bf16  |      105.45       |      103.82      |      106.3       |        N/A         |
| 2  |  1   | 3072 | 8192 |   [2, 1, 8192]   |   [2, 1, 3072]   | [2, 3072, 8192]  | bf16  |      105.28       |      103.98      |      105.97      |        N/A         |
| 8  |  1   | 3072 | 8192 |   [8, 1, 8192]   |   [8, 1, 3072]   | [8, 3072, 8192]  | bf16  |      106.15       |      105.61      |      106.9       |        N/A         |
| 16 |  1   | 3072 | 8192 |  [16, 1, 8192]   |  [16, 1, 3072]   | [16, 3072, 8192] | bf16  |      124.75       |      124.37      |      125.22      |        N/A         |
| 1  |  2   | 3072 | 8192 |   [1, 2, 8192]   |   [1, 2, 3072]   | [1, 3072, 8192]  | bf16  |      105.16       |      104.07      |      106.24      |        N/A         |
| 2  |  2   | 3072 | 8192 |   [2, 2, 8192]   |   [2, 2, 3072]   | [2, 3072, 8192]  | bf16  |      105.61       |      104.97      |      105.99      |        N/A         |
| 1  |  8   | 3072 | 8192 |   [1, 8, 8192]   |   [1, 8, 3072]   | [1, 3072, 8192]  | bf16  |       106.7       |      105.86      |      109.52      |        N/A         |
| 2  |  8   | 3072 | 8192 |   [2, 8, 8192]   |   [2, 8, 3072]   | [2, 3072, 8192]  | bf16  |      105.83       |      104.99      |      107.22      |        N/A         |
| 1  |  32  | 3072 | 8192 |  [1, 32, 8192]   |  [1, 32, 3072]   | [1, 3072, 8192]  | bf16  |       106.3       |      105.12      |      111.51      |        N/A         |
| 2  |  32  | 3072 | 8192 |  [2, 32, 8192]   |  [2, 32, 3072]   | [2, 3072, 8192]  | bf16  |      105.81       |      104.9       |      106.99      |        N/A         |
| 1  | 128  | 3072 | 8192 |  [1, 128, 8192]  |  [1, 128, 3072]  | [1, 3072, 8192]  | bf16  |      106.17       |      105.6       |      106.75      |        N/A         |
| 1  | 512  | 3072 | 8192 |  [1, 512, 8192]  |  [1, 512, 3072]  | [1, 3072, 8192]  | bf16  |      105.67       |      105.36      |      106.26      |        N/A         |
| 1  |  1   | 4096 | 8192 |   [1, 1, 8192]   |   [1, 1, 4096]   | [1, 4096, 8192]  | bf16  |      107.03       |      106.41      |      108.03      |        N/A         |
| 1  |  2   | 4096 | 8192 |   [1, 2, 8192]   |   [1, 2, 4096]   | [1, 4096, 8192]  | bf16  |      106.95       |      106.32      |      107.49      |        N/A         |
| 1  |  8   | 4096 | 8192 |   [1, 8, 8192]   |   [1, 8, 4096]   | [1, 4096, 8192]  | bf16  |      105.89       |      105.23      |      108.01      |        N/A         |
| 1  |  1   | 3072 | 3072 |   [1, 1, 3072]   |   [1, 1, 3072]   | [1, 3072, 3072]  | fp16  |       107.4       |      106.27      |      108.34      |       254.23       |
| 2  |  1   | 3072 | 3072 |   [2, 1, 3072]   |   [2, 1, 3072]   | [2, 3072, 3072]  | fp16  |      108.06       |      107.21      |      109.55      |       506.46       |
| 1  |  2   | 3072 | 3072 |   [1, 2, 3072]   |   [1, 2, 3072]   | [1, 3072, 3072]  | fp16  |      107.64       |      106.45      |      109.03      |       17.87        |
| 1  |  8   | 3072 | 3072 |   [1, 8, 3072]   |   [1, 8, 3072]   | [1, 3072, 3072]  | fp16  |      105.71       |      104.85      |      106.84      |       33.74        |
| 1  |  32  | 3072 | 3072 |  [1, 32, 3072]   |  [1, 32, 3072]   | [1, 3072, 3072]  | fp16  |      106.79       |      104.69      |      108.47      |       128.98       |
