Test Case: L40S_aten_add
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  128  |  768  | N/A |         [[128, 768], [768]]          | bf16  |       3.04       |       3.11        |       3.18       |        2.85        | 9.83e+04 | 2.95e+05 |      0.07%       |    22.46%     |
|  256  |  768  | N/A |         [[256, 768], [768]]          | bf16  |       3.29       |       3.35        |       3.42       |        3.71        | 1.97e+05 | 5.90e+05 |      0.13%       |     41.5%     |
|  512  |  768  | N/A |         [[512, 768], [768]]          | bf16  |       3.58       |       3.63        |       3.69       |        5.41        | 3.93e+05 | 1.18e+06 |      0.24%       |    76.28%     |
| 1024  |  768  | N/A |         [[1024, 768], [768]]         | bf16  |       4.02       |       4.05        |       4.08       |        8.83        | 7.86e+05 | 2.36e+06 |      0.43%       |    135.85%    |
| 2048  |  768  | N/A |         [[2048, 768], [768]]         | bf16  |       5.18       |       5.23        |       5.29       |       15.65        | 1.57e+06 | 4.72e+06 |      0.66%       |    210.86%    |
| 4096  |  768  | N/A |         [[4096, 768], [768]]         | bf16  |       7.5        |       7.53        |       7.57       |       29.31        | 3.15e+06 | 9.44e+06 |      0.92%       |    291.27%    |
| 8192  |  768  | N/A |         [[8192, 768], [768]]         | bf16  |      11.92       |       12.0        |      12.07       |       56.61        | 6.29e+06 | 1.89e+07 |      1.15%       |    366.53%    |
| 16384 |  768  | N/A |        [[16384, 768], [768]]         | bf16  |      23.35       |       23.51       |      23.66       |       111.23       | 1.26e+07 | 3.77e+07 |      1.18%       |    374.22%    |
| 32768 |  768  | N/A |        [[32768, 768], [768]]         | bf16  |      146.96      |      147.13       |      147.32      |       220.45       | 2.52e+07 | 7.55e+07 |      0.37%       |    118.92%    |
|   1   | 2048  | N/A |         [[1, 2048], [2048]]          | bf16  |       1.86       |       1.89        |       1.93       |        2.02        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.76%     |
|   2   | 2048  | N/A |         [[2, 2048], [2048]]          | bf16  |       2.55       |        2.6        |       2.64       |        2.04        | 4.10e+03 | 1.23e+04 |       0.0%       |     1.12%     |
|   4   | 2048  | N/A |         [[4, 2048], [2048]]          | bf16  |       2.63       |        2.8        |       3.02       |        2.07        | 8.19e+03 | 2.46e+04 |      0.01%       |     2.16%     |
|   8   | 2048  | N/A |         [[8, 2048], [2048]]          | bf16  |       2.59       |       2.68        |       2.81       |        2.14        | 1.64e+04 | 4.92e+04 |      0.01%       |     4.39%     |
|  16   | 2048  | N/A |         [[16, 2048], [2048]]         | bf16  |       2.83       |       2.88        |       2.93       |        2.28        | 3.28e+04 | 9.83e+04 |      0.03%       |     8.04%     |
