Test Case: L40S_aten_silu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  16   | 3072  | N/A |    [[16, 3072]]    | bf16  |       2.32       |       2.35        |       2.38       |        2.28        | 6.39e+05 | 9.83e+04 |       0.6%       |     9.81%     |
|  32   | 3072  | N/A |    [[32, 3072]]    | bf16  |       2.39       |       2.43        |       2.47       |        2.57        | 1.28e+06 | 1.97e+05 |      1.17%       |    19.04%     |
|  64   | 3072  | N/A |    [[64, 3072]]    | bf16  |       2.63       |       2.67        |       2.71       |        3.14        | 2.56e+06 | 3.93e+05 |      2.12%       |    34.61%     |
|  128  | 3072  | N/A |   [[128, 3072]]    | bf16  |       2.93       |       2.96        |       2.99       |        4.28        | 5.11e+06 | 7.86e+05 |      3.81%       |    62.13%     |
|  256  | 3072  | N/A |   [[256, 3072]]    | bf16  |       3.24       |       3.34        |       3.45       |        6.55        | 1.02e+07 | 1.57e+06 |      6.89%       |    112.37%    |
|  512  | 3072  | N/A |   [[512, 3072]]    | bf16  |       4.04       |       4.09        |       4.14       |        11.1        | 2.04e+07 | 3.15e+06 |      11.05%      |    180.24%    |
| 1024  | 3072  | N/A |   [[1024, 3072]]   | bf16  |       5.86       |       5.91        |       5.98       |        20.2        | 4.09e+07 | 6.29e+06 |      15.24%      |    248.52%    |
| 2048  | 3072  | N/A |   [[2048, 3072]]   | bf16  |       9.65       |       9.67        |       9.7        |       38.41        | 8.18e+07 | 1.26e+07 |      18.51%      |    301.84%    |
| 4096  | 3072  | N/A |   [[4096, 3072]]   | bf16  |      17.48       |       17.58       |      17.67       |       74.82        | 1.64e+08 | 2.52e+07 |      20.43%      |    333.26%    |
| 8192  | 3072  | N/A |   [[8192, 3072]]   | bf16  |      152.21      |      154.24       |      155.66      |       147.64       | 3.27e+08 | 5.03e+07 |      4.69%       |    76.54%     |
| 16384 | 3072  | N/A |  [[16384, 3072]]   | bf16  |      300.57      |      302.64       |      304.23      |       293.27       | 6.54e+08 | 1.01e+08 |      4.75%       |    77.52%     |
| 32768 | 3072  | N/A |  [[32768, 3072]]   | bf16  |      605.53      |      606.51       |      607.57      |       584.54       | 1.31e+09 | 2.01e+08 |      4.72%       |    76.96%     |
|   1   | 4096  | N/A |    [[1, 4096]]     | bf16  |       2.19       |       2.23        |       2.28       |        2.02        | 5.32e+04 | 8.19e+03 |      0.05%       |     0.87%     |
|   2   | 4096  | N/A |    [[2, 4096]]     | bf16  |       2.27       |       2.32        |       2.36       |        2.05        | 1.06e+05 | 1.64e+04 |       0.1%       |     1.67%     |
|   4   | 4096  | N/A |    [[4, 4096]]     | bf16  |       2.24       |       2.26        |       2.28       |        2.09        | 2.13e+05 | 3.28e+04 |      0.21%       |     3.39%     |
|   8   | 4096  | N/A |    [[8, 4096]]     | bf16  |       2.24       |       2.26        |       2.28       |        2.19        | 4.26e+05 | 6.55e+04 |      0.42%       |     6.77%     |
|  16   | 4096  | N/A |    [[16, 4096]]    | bf16  |       2.39       |       2.45        |       2.52       |        2.38        | 8.52e+05 | 1.31e+05 |      0.78%       |    12.69%     |
|  32   | 4096  | N/A |    [[32, 4096]]    | bf16  |       2.57       |       2.63        |       2.69       |        2.76        | 1.70e+06 | 2.62e+05 |      1.45%       |    23.61%     |
|  64   | 4096  | N/A |    [[64, 4096]]    | bf16  |       2.71       |       2.76        |       2.82       |        3.52        | 3.41e+06 | 5.24e+05 |      2.75%       |    44.78%     |
|  128  | 4096  | N/A |   [[128, 4096]]    | bf16  |       3.21       |        3.3        |       3.42       |        5.03        | 6.82e+06 | 1.05e+06 |      4.64%       |    75.62%     |
|  256  | 4096  | N/A |   [[256, 4096]]    | bf16  |       3.61       |       3.64        |       3.68       |        8.07        | 1.36e+07 | 2.10e+06 |      8.24%       |    134.47%    |
|  512  | 4096  | N/A |   [[512, 4096]]    | bf16  |       4.78       |       4.83        |       4.88       |       14.14        | 2.73e+07 | 4.19e+06 |      12.45%      |    203.12%    |
| 1024  | 4096  | N/A |   [[1024, 4096]]   | bf16  |       7.13       |       7.19        |       7.23       |       26.27        | 5.45e+07 | 8.39e+06 |      16.7%       |    272.34%    |
| 2048  | 4096  | N/A |   [[2048, 4096]]   | bf16  |       11.9       |       11.93       |      11.96       |       50.55        | 1.09e+08 | 1.68e+07 |      20.01%      |    326.35%    |
| 4096  | 4096  | N/A |   [[4096, 4096]]   | bf16  |      38.31       |       39.89       |      40.89       |       99.09        | 2.18e+08 | 3.36e+07 |      12.43%      |    202.75%    |
| 8192  | 4096  | N/A |   [[8192, 4096]]   | bf16  |      202.93      |      205.04       |      206.46      |       196.18       | 4.36e+08 | 6.71e+07 |      4.69%       |    76.55%     |
| 16384 | 4096  | N/A |  [[16384, 4096]]   | bf16  |      404.64      |      405.96       |      407.01      |       390.36       | 8.72e+08 | 1.34e+08 |      4.71%       |    76.78%     |
| 32768 | 4096  | N/A |  [[32768, 4096]]   | bf16  |      802.58      |      803.17       |      803.8       |       778.72       | 1.74e+09 | 2.68e+08 |      4.75%       |    77.42%     |
|   1   | 5120  | N/A |    [[1, 5120]]     | bf16  |       2.12       |       2.15        |       2.19       |        2.03        | 6.66e+04 | 1.02e+04 |      0.07%       |     1.12%     |
|   2   | 5120  | N/A |    [[2, 5120]]     | bf16  |       2.36       |       2.55        |       2.68       |        2.06        | 1.33e+05 | 2.05e+04 |      0.12%       |     2.01%     |
|   4   | 5120  | N/A |    [[4, 5120]]     | bf16  |       2.28       |       2.31        |       2.35       |        2.12        | 2.66e+05 | 4.10e+04 |      0.25%       |     4.16%     |
|   8   | 5120  | N/A |    [[8, 5120]]     | bf16  |       2.35       |       2.38        |       2.4        |        2.24        | 5.32e+05 | 8.19e+04 |      0.49%       |     8.07%     |
|  16   | 5120  | N/A |    [[16, 5120]]    | bf16  |       2.72       |       2.76        |       2.79       |        2.47        | 1.06e+06 | 1.64e+05 |      0.85%       |    13.94%     |
|  32   | 5120  | N/A |    [[32, 5120]]    | bf16  |       2.59       |       2.64        |       2.69       |        2.95        | 2.13e+06 | 3.28e+05 |       1.8%       |    29.29%     |
|  64   | 5120  | N/A |    [[64, 5120]]    | bf16  |       2.89       |       2.93        |       2.98       |        3.9         | 4.26e+06 | 6.55e+05 |      3.22%       |    52.49%     |
|  128  | 5120  | N/A |   [[128, 5120]]    | bf16  |       3.19       |        3.2        |       3.22       |        5.79        | 8.52e+06 | 1.31e+06 |      5.83%       |    95.11%     |
|  256  | 5120  | N/A |   [[256, 5120]]    | bf16  |       3.86       |       3.89        |       3.92       |        9.59        | 1.70e+07 | 2.62e+06 |      9.64%       |    157.21%    |
|  512  | 5120  | N/A |   [[512, 5120]]    | bf16  |       5.39       |       5.44        |       5.48       |       17.17        | 3.41e+07 | 5.24e+06 |      13.8%       |    225.16%    |
| 1024  | 5120  | N/A |   [[1024, 5120]]   | bf16  |       8.51       |       8.55        |       8.59       |       32.34        | 6.82e+07 | 1.05e+07 |      17.49%      |    285.22%    |
| 2048  | 5120  | N/A |   [[2048, 5120]]   | bf16  |      14.34       |       14.37       |       14.4       |       62.68        | 1.36e+08 | 2.10e+07 |      20.76%      |    338.53%    |
| 4096  | 5120  | N/A |   [[4096, 5120]]   | bf16  |      120.73      |      124.03       |      126.2       |       123.36       | 2.73e+08 | 4.19e+07 |      4.93%       |    80.42%     |
| 8192  | 5120  | N/A |   [[8192, 5120]]   | bf16  |      252.04      |      254.81       |      256.76      |       244.73       | 5.45e+08 | 8.39e+07 |      4.72%       |    77.04%     |
| 16384 | 5120  | N/A |  [[16384, 5120]]   | bf16  |      503.61      |      505.13       |      506.35      |       487.45       | 1.09e+09 | 1.68e+08 |      4.73%       |    77.12%     |
| 32768 | 5120  | N/A |  [[32768, 5120]]   | bf16  |      982.73      |      992.18       |      1003.4      |       972.9        | 2.18e+09 | 3.36e+08 |      4.85%       |    79.04%     |
|   1   | 6144  | N/A |    [[1, 6144]]     | bf16  |       2.21       |       2.25        |       2.29       |        2.04        | 7.99e+04 | 1.23e+04 |      0.08%       |     1.29%     |
|   2   | 6144  | N/A |    [[2, 6144]]     | bf16  |       2.33       |       2.37        |       2.41       |        2.07        | 1.60e+05 | 2.46e+04 |      0.15%       |     2.44%     |
|   4   | 6144  | N/A |    [[4, 6144]]     | bf16  |       2.32       |       2.36        |       2.41       |        2.14        | 3.19e+05 | 4.92e+04 |       0.3%       |     4.9%      |
|   8   | 6144  | N/A |    [[8, 6144]]     | bf16  |       2.33       |       2.35        |       2.37       |        2.28        | 6.39e+05 | 9.83e+04 |       0.6%       |     9.77%     |
|  16   | 6144  | N/A |    [[16, 6144]]    | bf16  |       2.53       |       2.57        |       2.61       |        2.57        | 1.28e+06 | 1.97e+05 |       1.1%       |    17.99%     |
|  32   | 6144  | N/A |    [[32, 6144]]    | bf16  |       2.72       |       2.75        |       2.78       |        3.14        | 2.56e+06 | 3.93e+05 |      2.05%       |    33.46%     |
|  64   | 6144  | N/A |    [[64, 6144]]    | bf16  |       2.94       |       2.97        |       3.01       |        4.28        | 5.11e+06 | 7.86e+05 |       3.8%       |    61.92%     |
|  128  | 6144  | N/A |   [[128, 6144]]    | bf16  |       3.34       |       3.37        |       3.41       |        6.55        | 1.02e+07 | 1.57e+06 |      6.68%       |    109.01%    |
|  256  | 6144  | N/A |   [[256, 6144]]    | bf16  |       4.18       |       4.21        |       4.23       |        11.1        | 2.04e+07 | 3.15e+06 |      10.68%      |    174.21%    |
|  512  | 6144  | N/A |   [[512, 6144]]    | bf16  |       5.94       |       5.97        |       6.0        |        20.2        | 4.09e+07 | 6.29e+06 |      15.03%      |    245.18%    |
