Test Case: L40S_aten_mul
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   2   |  768  | N/A |          [[2, 768], [768]]           | bf16  |       2.57       |        2.6        |       2.64       |        2.01        | 1.54e+03 | 4.61e+03 |       0.0%       |     0.42%     |
|   4   |  768  | N/A |          [[4, 768], [768]]           | bf16  |       2.55       |       2.56        |       2.58       |        2.03        | 3.07e+03 | 9.22e+03 |       0.0%       |     0.84%     |
|   8   |  768  | N/A |          [[8, 768], [768]]           | bf16  |       2.58       |        2.6        |       2.62       |        2.05        | 6.14e+03 | 1.84e+04 |      0.01%       |     1.65%     |
|  16   |  768  | N/A |          [[16, 768], [768]]          | bf16  |       2.57       |       2.59        |       2.61       |        2.11        | 1.23e+04 | 3.69e+04 |      0.01%       |     3.32%     |
|  32   |  768  | N/A |          [[32, 768], [768]]          | bf16  |       2.63       |       2.66        |       2.7        |        2.21        | 2.46e+04 | 7.37e+04 |      0.02%       |     6.49%     |
|  64   |  768  | N/A |          [[64, 768], [768]]          | bf16  |       2.68       |       2.71        |       2.73       |        2.43        | 4.92e+04 | 1.47e+05 |      0.04%       |    12.74%     |
|  128  |  768  | N/A |         [[128, 768], [768]]          | bf16  |       2.83       |       2.87        |       2.92       |        2.85        | 9.83e+04 | 2.95e+05 |      0.08%       |    24.12%     |
|  256  |  768  | N/A |         [[256, 768], [768]]          | bf16  |       3.04       |       3.07        |       3.1        |        3.71        | 1.97e+05 | 5.90e+05 |      0.14%       |    44.91%     |
|  512  |  768  | N/A |         [[512, 768], [768]]          | bf16  |       3.33       |       3.36        |       3.4        |        5.41        | 3.93e+05 | 1.18e+06 |      0.26%       |     82.0%     |
| 1024  |  768  | N/A |         [[1024, 768], [768]]         | bf16  |       3.8        |       3.84        |       3.89       |        8.83        | 7.86e+05 | 2.36e+06 |      0.45%       |    143.72%    |
| 2048  |  768  | N/A |         [[2048, 768], [768]]         | bf16  |       4.97       |       5.04        |       5.14       |       15.65        | 1.57e+06 | 4.72e+06 |      0.69%       |    219.77%    |
| 4096  |  768  | N/A |         [[4096, 768], [768]]         | bf16  |       7.25       |       7.29        |       7.33       |       29.31        | 3.15e+06 | 9.44e+06 |      0.95%       |    301.31%    |
| 8192  |  768  | N/A |         [[8192, 768], [768]]         | bf16  |      11.92       |       12.01       |      12.08       |       56.61        | 6.29e+06 | 1.89e+07 |      1.15%       |    366.53%    |
| 16384 |  768  | N/A |        [[16384, 768], [768]]         | bf16  |      23.34       |       23.52       |      23.71       |       111.23       | 1.26e+07 | 3.77e+07 |      1.18%       |    374.38%    |
| 32768 |  768  | N/A |        [[32768, 768], [768]]         | bf16  |      147.48      |      149.26       |      151.81      |       220.45       | 2.52e+07 | 7.55e+07 |      0.37%       |    118.5%     |
|   1   | 2048  | N/A |         [[1, 2048], [2048]]          | bf16  |       1.85       |       1.87        |       1.9        |        2.02        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.77%     |
|   2   | 2048  | N/A |         [[2, 2048], [2048]]          | bf16  |       2.54       |       2.57        |       2.61       |        2.04        | 4.10e+03 | 1.23e+04 |       0.0%       |     1.12%     |
|   4   | 2048  | N/A |         [[4, 2048], [2048]]          | bf16  |       2.57       |       2.61        |       2.66       |        2.07        | 8.19e+03 | 2.46e+04 |      0.01%       |     2.21%     |
|   8   | 2048  | N/A |         [[8, 2048], [2048]]          | bf16  |       2.54       |       2.58        |       2.62       |        2.14        | 1.64e+04 | 4.92e+04 |      0.01%       |     4.48%     |
|  16   | 2048  | N/A |         [[16, 2048], [2048]]         | bf16  |       2.66       |       2.68        |       2.71       |        2.28        | 3.28e+04 | 9.83e+04 |      0.03%       |     8.55%     |
|  32   | 2048  | N/A |         [[32, 2048], [2048]]         | bf16  |       2.71       |       2.74        |       2.78       |        2.57        | 6.55e+04 | 1.97e+05 |      0.05%       |    16.79%     |
|  64   | 2048  | N/A |         [[64, 2048], [2048]]         | bf16  |       2.75       |       2.79        |       2.84       |        3.14        | 1.31e+05 | 3.93e+05 |       0.1%       |     33.1%     |
|  128  | 2048  | N/A |        [[128, 2048], [2048]]         | bf16  |       2.99       |       3.03        |       3.08       |        4.28        | 2.62e+05 | 7.86e+05 |      0.19%       |    60.88%     |
|  256  | 2048  | N/A |        [[256, 2048], [2048]]         | bf16  |       3.37       |       3.42        |       3.48       |        6.55        | 5.24e+05 | 1.57e+06 |      0.34%       |    108.04%    |
|  512  | 2048  | N/A |        [[512, 2048], [2048]]         | bf16  |       4.15       |       4.19        |       4.22       |        11.1        | 1.05e+06 | 3.15e+06 |      0.55%       |    175.46%    |
| 1024  | 2048  | N/A |        [[1024, 2048], [2048]]        | bf16  |       5.73       |       5.76        |       5.79       |        20.2        | 2.10e+06 | 6.29e+06 |       0.8%       |    254.16%    |
| 2048  | 2048  | N/A |        [[2048, 2048], [2048]]        | bf16  |       8.8        |       8.85        |       8.9        |       38.41        | 4.19e+06 | 1.26e+07 |      1.04%       |    330.99%    |
| 4096  | 2048  | N/A |        [[4096, 2048], [2048]]        | bf16  |       15.0       |       15.02       |      15.05       |       74.82        | 8.39e+06 | 2.52e+07 |      1.22%       |    388.36%    |
| 8192  | 2048  | N/A |        [[8192, 2048], [2048]]        | bf16  |      44.92       |       45.03       |      45.14       |       147.64       | 1.68e+07 | 5.03e+07 |      0.82%       |    259.37%    |
| 16384 | 2048  | N/A |       [[16384, 2048], [2048]]        | bf16  |      205.53      |      207.05       |      208.06      |       293.27       | 3.36e+07 | 1.01e+08 |      0.36%       |    113.37%    |
| 32768 | 2048  | N/A |       [[32768, 2048], [2048]]        | bf16  |      410.47      |       412.5       |      413.82      |       584.54       | 6.71e+07 | 2.01e+08 |      0.36%       |    113.54%    |
|   1   | 3072  | N/A |         [[1, 3072], [3072]]          | bf16  |       1.86       |        1.9        |       1.95       |        2.03        | 3.07e+03 | 9.22e+03 |       0.0%       |     1.15%     |
|   2   | 3072  | N/A |         [[2, 3072], [3072]]          | bf16  |       2.55       |       2.58        |       2.61       |        2.05        | 6.14e+03 | 1.84e+04 |      0.01%       |     1.67%     |
|   4   | 3072  | N/A |         [[4, 3072], [3072]]          | bf16  |       2.56       |       2.61        |       2.67       |        2.11        | 1.23e+04 | 3.69e+04 |      0.01%       |     3.33%     |
|   8   | 3072  | N/A |         [[8, 3072], [3072]]          | bf16  |       2.61       |       2.66        |       2.71       |        2.21        | 2.46e+04 | 7.37e+04 |      0.02%       |     6.54%     |
|  16   | 3072  | N/A |         [[16, 3072], [3072]]         | bf16  |       2.7        |       2.72        |       2.75       |        2.43        | 4.92e+04 | 1.47e+05 |      0.04%       |    12.64%     |
|  32   | 3072  | N/A |         [[32, 3072], [3072]]         | bf16  |       2.77       |       2.84        |       2.95       |        2.85        | 9.83e+04 | 2.95e+05 |      0.08%       |    24.65%     |
|  64   | 3072  | N/A |         [[64, 3072], [3072]]         | bf16  |       2.9        |       2.94        |       2.97       |        3.71        | 1.97e+05 | 5.90e+05 |      0.15%       |    47.08%     |
|  128  | 3072  | N/A |        [[128, 3072], [3072]]         | bf16  |       3.27       |       3.31        |       3.34       |        5.41        | 3.93e+05 | 1.18e+06 |      0.26%       |    83.51%     |
