test case : L40S_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |        input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[2, 128, 3, 1, 64]]    |  bf16  |       5.57       |       5.59        |       5.63       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.11e-07      |      2.83e-07      |      2.29e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[4, 128, 3, 1, 64]]    |  bf16  |       5.64       |       5.65        |       5.70       |       2.01        |   [28]   |     [512, 512]     |    [4]    |      2.20e-07      |      5.58e-07      |      4.52e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[8, 128, 3, 1, 64]]    |  bf16  |       5.64       |       5.65        |       5.66       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      4.39e-07      |      1.12e-06      |      9.03e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.17%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |   [[16, 128, 3, 1, 64]]    |  bf16  |       5.69       |       5.70        |       5.72       |       2.02        |  [112]   |    [2048, 2048]    |   [16]    |      8.70e-07      |      2.21e-06      |      1.79e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.34%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |   [[32, 128, 3, 1, 64]]    |  bf16  |       5.71       |       5.73        |       5.77       |       2.05        |  [224]   |    [4096, 4096]    |   [32]    |      1.73e-06      |      4.41e-06      |      3.57e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.67%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[1, 256, 3, 1, 64]]    |  bf16  |       7.79       |       7.80        |       7.82       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      3.97e-08      |      1.01e-07      |      8.18e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[2, 256, 3, 1, 64]]    |  bf16  |       7.83       |       7.88        |       7.90       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      7.91e-08      |      2.01e-07      |      1.63e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[4, 256, 3, 1, 64]]    |  bf16  |       7.91       |       7.94        |       7.95       |       2.01        |   [28]   |     [512, 512]     |    [4]    |      1.56e-07      |      3.98e-07      |      3.22e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.06%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[8, 256, 3, 1, 64]]    |  bf16  |       8.00       |       8.02        |       8.05       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      3.09e-07      |      7.86e-07      |      6.36e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.12%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |   [[16, 256, 3, 1, 64]]    |  bf16  |       8.06       |       8.09        |       8.11       |       2.02        |  [112]   |    [2048, 2048]    |   [16]    |      6.14e-07      |      1.56e-06      |      1.26e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.24%     |
