test case : L40S_flash_attn::flash_attn.flash_attn_func
|    B     |    C     |    D     |    De    |   Drop    |   MQKV   |   NHK    |   NHQ    |     S     |  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |    2D_flops    |  activation  |   params   |     flops_1D      |              flops_2D              |    flops_SFU     |  flops_efficient_1D  |  flops_efficient_2D  |  flops_efficient_SFU  |     io     | io_efficient |
|    64    |   True   |   128    |   True   |    0.0    |   2048   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[2, 2048, 32, 128], [2, 2048, 8, 128], [2, 2048, 8, 128]]     |  bf16  |      381.54      |      399.06       |      429.31      |      471.40       |    1.37e+11    |   5.24e+05   |  0.00e+00  |   [1879048192]    |     [68719476736, 68719476736]     |   [268435456]    |       1.94e-01       |       1.11e+00       |       2.21e-01        |  1.17e+08  |    71.25%    |
|   128    |   True   |   128    |   True   |    0.0    |   2048   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[4, 2048, 32, 128], [4, 2048, 8, 128], [4, 2048, 8, 128]]     |  bf16  |      764.05      |      852.83       |      924.88      |      940.79       |    2.75e+11    |   1.05e+06   |  0.00e+00  |   [3758096384]    |    [137438953472, 137438953472]    |   [536870912]    |       1.93e-01       |       1.11e+00       |       2.21e-01        |  2.35e+08  |    71.16%    |
|    32    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[1, 4096, 32, 128], [1, 4096, 8, 128], [1, 4096, 8, 128]]     |  bf16  |      715.20      |      777.91       |      828.12      |      940.79       |    2.75e+11    |   5.24e+05   |  0.00e+00  |   [3758096384]    |    [137438953472, 137438953472]    |   [536870912]    |       2.07e-01       |       1.18e+00       |       2.36e-01        |  1.17e+08  |    38.01%    |
|    64    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[2, 4096, 32, 128], [2, 4096, 8, 128], [2, 4096, 8, 128]]     |  bf16  |     1404.19      |      1588.13      |     1680.35      |      1879.58      |    5.50e+11    |   1.05e+06   |  0.00e+00  |   [7516192768]    |    [274877906944, 274877906944]    |   [1073741824]   |       2.10e-01       |       1.20e+00       |       2.40e-01        |  2.35e+08  |    38.72%    |
|   128    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[4, 4096, 32, 128], [4, 4096, 8, 128], [4, 4096, 8, 128]]     |  bf16  |     2848.26      |      3234.43      |     3312.49      |      3757.16      |    1.10e+12    |   2.10e+06   |  0.00e+00  |   [15032385536]   |    [549755813888, 549755813888]    |   [2147483648]   |       2.07e-01       |       1.19e+00       |       2.37e-01        |  4.70e+08  |    38.18%    |
|    32    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[1, 8192, 32, 128], [1, 8192, 8, 128], [1, 8192, 8, 128]]     |  bf16  |     2741.86      |      3046.87      |     3134.64      |      3757.16      |    1.10e+12    |   1.05e+06   |  0.00e+00  |   [15032385536]   |    [549755813888, 549755813888]    |   [2147483648]   |       2.15e-01       |       1.23e+00       |       2.46e-01        |  2.35e+08  |    19.83%    |
|    64    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[2, 8192, 32, 128], [2, 8192, 8, 128], [2, 8192, 8, 128]]     |  bf16  |     5726.38      |      6144.22      |     6280.00      |      7512.33      |    2.20e+12    |   2.10e+06   |  0.00e+00  |   [30064771072]   |   [1099511627776, 1099511627776]   |   [4294967296]   |       2.06e-01       |       1.18e+00       |       2.36e-01        |  4.70e+08  |    18.99%    |
|   128    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[4, 8192, 32, 128], [4, 8192, 8, 128], [4, 8192, 8, 128]]     |  bf16  |     12041.92     |     12577.73      |     12953.39     |     15022.65      |    4.40e+12    |   4.19e+06   |  0.00e+00  |   [60129542144]   |   [2199023255552, 2199023255552]   |   [8589934592]   |       1.96e-01       |       1.12e+00       |       2.24e-01        |  9.40e+08  |    18.06%    |
|    32    |   True   |   128    |   True   |    0.0    |  16384   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 16384, 32, 128], [1, 16384, 8, 128], [1, 16384, 8, 128]]   |  bf16  |     11631.77     |     12086.08      |     12500.52     |     15022.65      |    4.40e+12    |   2.10e+06   |  0.00e+00  |   [60129542144]   |   [2199023255552, 2199023255552]   |   [8589934592]   |       2.03e-01       |       1.16e+00       |       2.32e-01        |  4.70e+08  |    9.35%     |
|    64    |   True   |   128    |   True   |    0.0    |  16384   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 16384, 32, 128], [2, 16384, 8, 128], [2, 16384, 8, 128]]   |  bf16  |     23626.41     |     24385.08      |     25237.08     |     30043.30      |    8.80e+12    |   4.19e+06   |  0.00e+00  |  [120259084288]   |   [4398046511104, 4398046511104]   |  [17179869184]   |       2.00e-01       |       1.14e+00       |       2.29e-01        |  9.40e+08  |    9.21%     |
