Test Case: L40S_aten_baddbmm
|  B  |  M  |  K   |  N   |                       input_shape                       | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  8  | 256 |  32  |  32  |        [[8, 256, 32], [8, 256, 32], [8, 32, 32]]        | bf16  |      29.06       |       29.19       |      29.49       |        2.4         | 4.19e+06 | 1.39e+05 |      0.04%       |     1.11%     |
| 16  | 256 |  32  |  32  |      [[16, 256, 32], [16, 256, 32], [16, 32, 32]]       | bf16  |      29.03       |       29.32       |      29.48       |        2.81        | 8.39e+06 | 2.79e+05 |      0.08%       |     2.22%     |
| 32  | 256 |  32  |  32  |      [[32, 256, 32], [32, 256, 32], [32, 32, 32]]       | bf16  |      29.18       |       29.27       |      29.43       |        3.61        | 1.68e+07 | 5.57e+05 |      0.16%       |     4.42%     |
| 64  | 256 |  32  |  32  |      [[64, 256, 32], [64, 256, 32], [64, 32, 32]]       | bf16  |      28.52       |       28.75       |      29.11       |        5.22        | 3.36e+07 | 1.11e+06 |      0.32%       |     9.04%     |
| 128 | 256 |  32  |  32  |     [[128, 256, 32], [128, 256, 32], [128, 32, 32]]     | bf16  |      28.84       |       28.98       |      29.17       |        8.45        | 6.71e+07 | 2.23e+06 |      0.64%       |    17.88%     |
|  1  |  1  |  64  |  32  |          [[1, 1, 32], [1, 1, 64], [1, 64, 32]]          | bf16  |       28.2       |       28.39       |      28.54       |        2.01        | 4.10e+03 | 2.14e+03 |       0.0%       |     0.02%     |
|  2  |  1  |  64  |  32  |          [[2, 1, 32], [2, 1, 64], [2, 64, 32]]          | bf16  |      27.95       |       28.16       |      28.27       |        2.01        | 8.19e+03 | 4.29e+03 |       0.0%       |     0.04%     |
|  4  |  1  |  64  |  32  |          [[4, 1, 32], [4, 1, 64], [4, 64, 32]]          | bf16  |      28.11       |       28.34       |       28.5       |        2.02        | 1.64e+04 | 8.58e+03 |       0.0%       |     0.07%     |
|  8  |  1  |  64  |  32  |          [[8, 1, 32], [8, 1, 64], [8, 64, 32]]          | bf16  |      28.05       |       28.21       |      28.36       |        2.05        | 3.28e+04 | 1.72e+04 |       0.0%       |     0.14%     |
| 16  |  1  |  64  |  32  |        [[16, 1, 32], [16, 1, 64], [16, 64, 32]]         | bf16  |      28.03       |       28.37       |      28.78       |        2.1         | 6.55e+04 | 3.43e+04 |       0.0%       |     0.28%     |
| 32  |  1  |  64  |  32  |        [[32, 1, 32], [32, 1, 64], [32, 64, 32]]         | bf16  |      27.94       |       28.14       |      28.34       |        2.2         | 1.31e+05 | 6.86e+04 |       0.0%       |     0.57%     |
| 64  |  1  |  64  |  32  |        [[64, 1, 32], [64, 1, 64], [64, 64, 32]]         | bf16  |      28.15       |       28.29       |      28.63       |        2.4         | 2.62e+05 | 1.37e+05 |       0.0%       |     1.13%     |
| 128 |  1  |  64  |  32  |       [[128, 1, 32], [128, 1, 64], [128, 64, 32]]       | bf16  |      28.18       |       28.38       |       28.7       |        2.79        | 5.24e+05 | 2.74e+05 |      0.01%       |     2.25%     |
|  1  |  2  |  64  |  32  |          [[1, 2, 32], [1, 2, 64], [1, 64, 32]]          | bf16  |      29.08       |       29.31       |      29.52       |        2.01        | 8.19e+03 | 2.24e+03 |       0.0%       |     0.02%     |
|  2  |  2  |  64  |  32  |          [[2, 2, 32], [2, 2, 64], [2, 64, 32]]          | bf16  |      28.92       |       29.06       |      29.21       |        2.01        | 1.64e+04 | 4.48e+03 |       0.0%       |     0.04%     |
|  4  |  2  |  64  |  32  |          [[4, 2, 32], [4, 2, 64], [4, 64, 32]]          | bf16  |      28.78       |       29.03       |      29.56       |        2.03        | 3.28e+04 | 8.96e+03 |       0.0%       |     0.07%     |
|  8  |  2  |  64  |  32  |          [[8, 2, 32], [8, 2, 64], [8, 64, 32]]          | bf16  |      28.92       |       29.14       |      29.45       |        2.05        | 6.55e+04 | 1.79e+04 |       0.0%       |     0.14%     |
