test case : L40S_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D  |        flops_2D        | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[8, 32, 1, 64], [8, 32, 1, 64], [8, 32, 1, 64]]          |  bf16  |       5.56       |       5.59        |       5.62       |       2.38        |  [1792]   |     [32768, 32768]     |   [256]   |      1.42e-05      |      3.62e-05      |      2.93e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    5.46%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[16, 32, 1, 64], [16, 32, 1, 64], [16, 32, 1, 64]]        |  bf16  |       5.61       |       5.63        |       5.65       |       2.76        |  [3584]   |     [65536, 65536]     |   [512]   |      2.82e-05      |      7.18e-05      |      5.81e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.01%        |    10.82%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[32, 32, 1, 64], [32, 32, 1, 64], [32, 32, 1, 64]]        |  bf16  |       5.64       |       5.67        |       5.70       |       3.52        |  [7168]   |    [131072, 131072]    |  [1024]   |      5.62e-05      |      1.43e-04      |      1.16e-04       |  5.24e+05  |       0.01%        |       0.01%        |        0.01%        |    21.51%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[1, 64, 1, 64], [1, 64, 1, 64], [1, 64, 1, 64]]          |  bf16  |       5.68       |       5.70        |       5.73       |       2.10        |   [448]   |      [8192, 8192]      |   [64]    |      3.49e-06      |      8.86e-06      |      7.17e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    1.34%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[2, 64, 1, 64], [2, 64, 1, 64], [2, 64, 1, 64]]          |  bf16  |       5.72       |       5.75        |       5.78       |       2.19        |   [896]   |     [16384, 16384]     |   [128]   |      6.92e-06      |      1.76e-05      |      1.42e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    2.66%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[4, 64, 1, 64], [4, 64, 1, 64], [4, 64, 1, 64]]          |  bf16  |       5.75       |       5.77        |       5.80       |       2.38        |  [1792]   |     [32768, 32768]     |   [256]   |      1.38e-05      |      3.50e-05      |      2.83e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    5.28%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[8, 64, 1, 64], [8, 64, 1, 64], [8, 64, 1, 64]]          |  bf16  |       5.76       |       5.79        |       5.86       |       2.76        |  [3584]   |     [65536, 65536]     |   [512]   |      2.75e-05      |      7.00e-05      |      5.66e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.01%        |    10.55%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[16, 64, 1, 64], [16, 64, 1, 64], [16, 64, 1, 64]]        |  bf16  |       5.79       |       5.83        |       5.86       |       3.52        |  [7168]   |    [131072, 131072]    |  [1024]   |      5.48e-05      |      1.39e-04      |      1.13e-04       |  5.24e+05  |       0.01%        |       0.01%        |        0.01%        |    20.98%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[32, 64, 1, 64], [32, 64, 1, 64], [32, 64, 1, 64]]        |  bf16  |       5.83       |       5.86        |       5.89       |       5.03        |  [14336]  |    [262144, 262144]    |  [2048]   |      1.09e-04      |      2.77e-04      |      2.24e-04       |  1.05e+06  |       0.01%        |       0.03%        |        0.02%        |    41.66%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[1, 128, 1, 64], [1, 128, 1, 64], [1, 128, 1, 64]]        |  bf16  |       5.53       |       5.56        |       5.62       |       2.19        |   [896]   |     [16384, 16384]     |   [128]   |      7.16e-06      |      1.82e-05      |      1.47e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    2.75%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[2, 128, 1, 64], [2, 128, 1, 64], [2, 128, 1, 64]]        |  bf16  |       5.56       |       5.57        |       5.61       |       2.38        |  [1792]   |     [32768, 32768]     |   [256]   |      1.43e-05      |      3.62e-05      |      2.93e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    5.46%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[4, 128, 1, 64], [4, 128, 1, 64], [4, 128, 1, 64]]        |  bf16  |       5.62       |       5.65        |       5.66       |       2.76        |  [3584]   |     [65536, 65536]     |   [512]   |      2.82e-05      |      7.17e-05      |      5.80e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.01%        |    10.80%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[8, 128, 1, 64], [8, 128, 1, 64], [8, 128, 1, 64]]        |  bf16  |       5.63       |       5.68        |       5.70       |       3.52        |  [7168]   |    [131072, 131072]    |  [1024]   |      5.63e-05      |      1.43e-04      |      1.16e-04       |  5.24e+05  |       0.01%        |       0.01%        |        0.01%        |    21.55%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[16, 128, 1, 64], [16, 128, 1, 64], [16, 128, 1, 64]]       |  bf16  |       5.68       |       5.70        |       5.72       |       5.03        |  [14336]  |    [262144, 262144]    |  [2048]   |      1.12e-04      |      2.84e-04      |      2.30e-04       |  1.05e+06  |       0.01%        |       0.03%        |        0.02%        |    42.74%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[32, 128, 1, 64], [32, 128, 1, 64], [32, 128, 1, 64]]       |  bf16  |       5.70       |       5.72        |       5.74       |       8.07        |  [28672]  |    [524288, 524288]    |  [4096]   |      2.22e-04      |      5.65e-04      |      4.57e-04       |  2.10e+06  |       0.02%        |       0.06%        |        0.05%        |    85.14%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[1, 256, 1, 64], [1, 256, 1, 64], [1, 256, 1, 64]]        |  bf16  |       7.82       |       7.83        |       7.85       |       2.38        |  [1792]   |     [32768, 32768]     |   [256]   |      1.01e-05      |      2.58e-05      |      2.08e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    3.88%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[2, 256, 1, 64], [2, 256, 1, 64], [2, 256, 1, 64]]        |  bf16  |       7.82       |       7.87        |       7.91       |       2.76        |  [3584]   |     [65536, 65536]     |   [512]   |      2.03e-05      |      5.15e-05      |      4.17e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.00%        |    7.76%     |
