Test Case: L40S_apex_fused_layer_norm_cuda.rms_forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
| 32768 |  128  |  [128]  | 0.0001  |  [[32768, 128]]  | bf16  |      22.13       |       22.18       |      22.26       |       26.27        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        3.31%        |        3.31%         |    87.75%     |
| 65536 |  128  |  [128]  | 0.0001  |  [[65536, 128]]  | bf16  |      41.65       |       41.7        |      41.72       |       50.55        | 6.71e+07 | 8.39e+06  | 1.68e+07 |        3.52%        |        3.52%         |    93.24%     |
|   1   |  192  |  [192]  | 0.0001  |    [[1, 192]]    | bf16  |       2.12       |       2.15        |       2.17       |        2.0         | 1.54e+03 | 1.92e+02  | 3.84e+02 |        0.0%         |         0.0%         |     0.04%     |
|   2   |  192  |  [192]  | 0.0001  |    [[2, 192]]    | bf16  |       2.12       |       2.16        |       2.18       |        2.0         | 3.07e+03 | 3.84e+02  | 7.68e+02 |        0.0%         |         0.0%         |     0.08%     |
|   4   |  192  |  [192]  | 0.0001  |    [[4, 192]]    | bf16  |       2.46       |       2.51        |       2.54       |        2.0         | 6.14e+03 | 7.68e+02  | 1.54e+03 |        0.01%        |        0.01%         |     0.14%     |
|   8   |  192  |  [192]  | 0.0001  |    [[8, 192]]    | bf16  |       2.17       |        2.2        |       2.27       |        2.01        | 1.23e+04 | 1.54e+03  | 3.07e+03 |        0.01%        |        0.01%         |     0.33%     |
|  16   |  192  |  [192]  | 0.0001  |   [[16, 192]]    | bf16  |       2.55       |       2.57        |       2.6        |        2.02        | 2.46e+04 | 3.07e+03  | 6.14e+03 |        0.02%        |        0.02%         |     0.56%     |
|  32   |  192  |  [192]  | 0.0001  |   [[32, 192]]    | bf16  |       2.53       |       2.54        |       2.55       |        2.04        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.04%        |        0.04%         |     1.12%     |
|  64   |  192  |  [192]  | 0.0001  |   [[64, 192]]    | bf16  |       2.59       |       2.62        |       2.66       |        2.07        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.08%        |        0.08%         |     2.2%      |
|  128  |  192  |  [192]  | 0.0001  |   [[128, 192]]   | bf16  |       2.69       |       2.71        |       2.72       |        2.14        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.16%        |        0.16%         |     4.23%     |
