Test Case: L40S_aten_contiguous
|   M   |  N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  32   |  32  |  1  |   [[1, 32, 32]]    | bf16  |       1.45       |       1.48        |       1.51       |        2.01        | 0.00e+00 | 2.05e+03 |        0%        |     0.33%     |
|  32   |  32  |  2  |   [[2, 32, 32]]    | bf16  |       1.46       |        1.5        |       1.54       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.65%     |
|  32   |  32  |  4  |   [[4, 32, 32]]    | bf16  |       1.44       |       1.48        |       1.53       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.32%     |
|  32   |  32  |  8  |   [[8, 32, 32]]    | bf16  |       1.47       |        1.5        |       1.54       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.58%     |
|  32   |  32  | 16  |   [[16, 32, 32]]   | bf16  |       1.47       |        1.5        |       1.54       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.16%     |
|  32   |  32  | 32  |   [[32, 32, 32]]   | bf16  |       1.44       |       1.48        |       1.52       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.53%     |
|  64   |  32  |  1  |   [[1, 64, 32]]    | bf16  |       1.45       |       1.48        |       1.52       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.65%     |
|  64   |  32  |  2  |   [[2, 64, 32]]    | bf16  |       1.46       |       1.49        |       1.53       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.3%      |
|  64   |  32  |  4  |   [[4, 64, 32]]    | bf16  |       1.45       |       1.49        |       1.52       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.62%     |
|  64   |  32  |  8  |   [[8, 64, 32]]    | bf16  |       1.44       |       1.49        |       1.56       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.27%     |
|  64   |  32  | 16  |   [[16, 64, 32]]   | bf16  |       1.41       |       1.46        |       1.51       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.76%     |
|  64   |  32  | 32  |   [[32, 64, 32]]   | bf16  |       1.42       |       1.47        |       1.51       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.37%     |
|  128  |  32  |  1  |   [[1, 128, 32]]   | bf16  |       1.44       |       1.48        |       1.53       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.32%     |
|  128  |  32  |  2  |   [[2, 128, 32]]   | bf16  |       1.42       |       1.49        |       1.55       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.67%     |
|  128  |  32  |  4  |   [[4, 128, 32]]   | bf16  |       1.44       |       1.49        |       1.54       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.27%     |
|  128  |  32  |  8  |   [[8, 128, 32]]   | bf16  |       2.01       |        2.1        |       2.18       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |     7.55%     |
|  128  |  32  | 16  |  [[16, 128, 32]]   | bf16  |       1.45       |        1.5        |       1.55       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    20.92%     |
|  128  |  32  | 32  |  [[32, 128, 32]]   | bf16  |       1.42       |       1.48        |       1.53       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    42.73%     |
|  256  |  32  |  1  |   [[1, 256, 32]]   | bf16  |       1.43       |       1.49        |       1.57       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.65%     |
|  256  |  32  |  2  |   [[2, 256, 32]]   | bf16  |       1.42       |       1.48        |       1.53       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.34%     |
